rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.732821429753124	1.37982001928373e-13	5.07773767096412e-11	0.446534385418865
BRCA	ZNF431|170959	1	mod3	0.736310714444038	4.24992278437828e-13	7.81985792325603e-11	0.43315848457287
BRCA	ZNF417|147687	1	mod3	0.624977350757159	2.25541642316006e-12	1.9195716223721e-10	0.412734222844912
BRCA	ZNF83|55769	1	mod3	0.656832885384791	2.41695077775472e-12	1.9195716223721e-10	0.411872558758521
BRCA	ZNF655|79027	1	mod3	1.04386896322012	2.60811361735339e-12	1.9195716223721e-10	0.410922928931152
BRCA	ZNF701|55762	1	mod3	0.98157260866805	4.21410977217912e-12	2.58465399360319e-10	0.404902955230891
BRCA	ZNF529|57711	1	mod3	0.851804318195549	5.14284899845441e-12	2.6274257110541e-10	0.402386682189026
BRCA	ZNF780B|163131	1	mod3	0.638523941440213	5.82580977713635e-12	2.6274257110541e-10	0.400806138228689
BRCA	ZNF141|7700	1	mod3	0.667479583331564	6.4257694020345e-12	2.6274257110541e-10	0.399560859597219
BRCA	ZNF611|81856	1	mod3	0.872986239867103	9.69500688900821e-12	3.56776253515502e-10	0.394308330055239
BRCA	ZNF674|641339	1	mod3	1.01906255898005	1.21323372707097e-11	4.05881828692833e-10	0.391425729834128
BRCA	ZNF430|80264	1	mod3	0.716281071457949	1.50633354721515e-11	4.61942287812645e-10	0.388631843308301
BRCA	ZNF354B|117608	1	mod3	0.730043597568312	1.69227207267903e-11	4.79043171342986e-10	0.387123950111008
BRCA	ZNF662|389114	1	mod3	0.618449829173282	3.8593966064551e-11	9.46838634116984e-10	0.376340640112994
BRCA	ZNF432|9668	1	mod3	0.707089205713424	4.75149167285271e-11	1.09284308475612e-09	0.373592205392175
BRCA	ZNF708|7562	1	mod3	0.616199919119221	8.21672532553834e-11	1.59932921081659e-09	0.366297587547798
BRCA	ZNF121|7675	1	mod3	0.533318733099256	8.21903500969061e-11	1.59932921081659e-09	0.366293823615375
BRCA	ZNF493|284443	1	mod3	0.573574184665142	8.25740625149871e-11	1.59932921081659e-09	0.366231443830693
BRCA	ZNF136|7695	1	mod3	0.801275142575054	9.80349988330971e-11	1.80384397852899e-09	0.363928766737643
BRCA	ZNF84|7637	1	mod3	0.825430950133284	1.03327637424281e-10	1.81069383676836e-09	0.363221722144792
BRCA	ZNF10|7556	1	mod3	0.576024427707898	1.18036076064722e-10	1.97442163599171e-09	0.361428781561825
BRCA	ZNF720|124411	1	mod3	1.20873488719666	1.35130167359118e-10	2.16208267774589e-09	0.359601777005492
BRCA	ZNF345|25850	1	mod3	0.836716635975017	1.76269427316488e-10	2.70279788551949e-09	0.355997039186846
BRCA	ZNF776|284309	1	mod7	0.583630239708335	6.76950810827441e-09	5.53595329743329e-08	0.351723313251685
BRCA	ZNF700|90592	1	mod3	0.764501340104548	2.48185275656513e-10	3.65328725766387e-09	0.351327847617001
BRCA	ZNF587|84914	1	mod3	0.415306572155635	3.03372106180344e-10	4.29388211824487e-09	0.348572964787117
BRCA	ZNF483|158399	1	mod3	0.453337708662173	3.4638153074116e-10	4.72105197454619e-09	0.346747800107152
BRCA	ZNF461|92283	1	mod3	0.88564597557593	3.77060331131476e-10	4.9556500662994e-09	0.345576977306496
BRCA	ZNF12|7559	1	mod3	0.794390171231533	8.18724783929112e-10	1.03893351891694e-08	0.33478771955527
