rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.915430559358211	2.19377822379783e-19	1.60997948120759e-17	0.583524779172842
BRCA	ZNF32|7580	1	mod3	-1.13484158162429	3.4034913021357e-15	6.26242399592968e-14	0.488420611529403
BRCA	ZNF768|79724	1	mod3	-0.697596334133809	5.60989394136876e-12	5.43273939585185e-11	0.401285276153199
BRCA	ZNF205|7755	1	mod3	-0.546293562390919	8.11663393679429e-12	7.46730322185074e-11	0.396583033067464
BRCA	ZNF747|65988	1	mod3	-1.20698727713444	3.72380972888196e-11	3.18688832611293e-10	0.376812161074305
BRCA	ZNF282|8427	1	mod3	-0.729683331283813	5.2541966568777e-09	2.64869091743972e-08	0.308232727778802
BRCA	ZNF777|27153	1	mod3	-0.653750738681997	2.05909534851073e-08	9.12948299098733e-08	0.288096942463493
BRCA	ZNF71|58491	1	mod3	-0.88540361054631	4.73060866591353e-08	1.97825453301838e-07	0.275571232705197
BRCA	ZNF584|201514	1	mod3	-1.33046838877469	6.76325983380562e-08	2.76542179871163e-07	0.27012692464801
BRCA	ZNF746|155061	1	mod3	-0.99024963272942	8.05196413341892e-07	2.5111210178798e-06	0.231379768692576
BRCA	ZNF394|84124	1	mod3	-0.844873001999111	2.06162980402369e-06	5.79144860977648e-06	0.216206845818821
BRCA	ZNF213|7760	1	mod3	-0.619538975961981	3.60918260069886e-06	9.98630975230963e-06	0.207048760112229
BRCA	ZNF174|7727	1	mod3	-0.891046214937741	1.18126452857352e-05	2.95717922799359e-05	0.187364709950984
BRCA	ZNF837|116412	1	mod3	-0.394025192347114	1.85291725084641e-05	4.48601018625974e-05	0.179788820305518
COADREAD	ZNF32|7580	1	mod3	-0.621346623585129	6.83874032408721e-08	1.25832821963205e-05	0.652397171356314
COADREAD	ZNF583|147949	1	mod2	-1.15113552291433	7.79590949348382e-07	5.73778938720409e-05	0.5748087808752
LUADLUSC	ZNF511|118472	1	mod7	-0.709699951803654	2.33767929123607e-11	2.45790279764249e-10	0.406821113611007
LUADLUSC	ZNF32|7580	1	mod7	-0.555753341447008	7.23953092321671e-10	5.22381839165441e-09	0.358415729466881
LUADLUSC	ZNF627|199692	1	mod7	-0.461519110122594	5.14834110005622e-07	2.56025611462255e-06	0.255301936163276
LUADLUSC	ZNF468|90333	1	mod7	-0.627583495956242	2.22624678047128e-05	8.44596716714878e-05	0.189682004361753
PRAD	ZNF287|57336	1	mod3	-1.18937034941413	1.13801559145227e-08	4.18789737654436e-06	0.496240302330829
THCA	ZNF768|79724	1	mod11	-0.809593997951221	6.37221223084967e-07	1.06589731861485e-05	0.387858686072484
THCA	ZNF32|7580	1	mod11	-0.615177488190971	3.2167010016591e-06	3.11512097002776e-05	0.34896299774346
THCA	ZNF511|118472	1	mod11	-0.558175255504266	1.22321534481831e-05	9.37798431027372e-05	0.315187333275456
