rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF655|79027	1	mod3	1.34984102373905	2.35730216023142e-23	8.67487194965162e-21	0.657407793215827
BRCA	ZNF417|147687	1	mod3	0.782394980627559	3.45286070044241e-21	6.35326368881404e-19	0.618864017493651
BRCA	ZNF841|284371	1	mod3	0.869600487735356	2.75010366749101e-20	3.37346049878898e-18	0.601588232708308
BRCA	ZNF611|81856	1	mod3	1.08579226288797	2.17511145498621e-19	1.60997948120759e-17	0.583600745784014
BRCA	ZNF347|84671	1	mod3	0.959222973634756	2.62496654544715e-19	1.60997948120759e-17	0.58192640271784
BRCA	ZNF354C|30832	1	mod3	0.582967910049033	3.10274889837944e-18	1.63115942086233e-16	0.559301774480983
BRCA	ZNF573|126231	1	mod3	0.691610854708652	3.70404871446856e-18	1.70386240865554e-16	0.55763346295053
BRCA	ZNF660|285349	1	mod3	1.16484845522823	1.61972850061547e-17	6.62288986918327e-16	0.54349384349062
BRCA	ZNF791|163049	1	mod3	0.901820994740662	2.48068762359692e-17	9.12893045483665e-16	0.539326403943384
BRCA	ZNF471|57573	1	mod3	0.852814938446968	3.5537214974228e-17	1.18888137368326e-15	0.53578312077925
BRCA	ZNF81|347344	1	mod3	0.599507295889579	4.87310133014881e-17	1.49441774124564e-15	0.532648733348723
BRCA	ZNF585B|92285	1	mod3	0.945345794401376	7.08971277774087e-17	2.00693407862203e-15	0.52889982327662
BRCA	ZNF846|162993	1	mod3	1.10335597945235	1.76260928752829e-16	4.63314441293151e-15	0.519669490192099
BRCA	ZNF354B|117608	1	mod3	0.856492873226286	4.57966119301268e-16	1.12354354601911e-14	0.509801550796741
BRCA	ZNF432|9668	1	mod3	0.840613028707295	7.11859207882346e-16	1.6372761781294e-14	0.505176131735638
BRCA	ZNF678|339500	1	mod3	0.725664180319303	1.02777887955858e-15	2.22483898633857e-14	0.501292084453565
BRCA	ZNF699|374879	1	mod3	0.769541921713539	1.29245487645642e-15	2.64235219186646e-14	0.498853702154816
BRCA	ZNF333|84449	1	mod3	1.23326450552631	1.87227426821096e-15	3.62629963527175e-14	0.4948851810337
BRCA	ZNF141|7700	1	mod3	0.749753678392151	5.93604546013299e-15	1.04022129968045e-13	0.482331220929836
BRCA	ZNF829|374899	1	mod3	0.786287383416839	1.39964823613934e-14	2.25024315570026e-13	0.472801821120324
BRCA	ZNF121|7675	1	mod3	0.619421433451614	1.40640197231266e-14	2.25024315570026e-13	0.472747862225775
BRCA	ZNF431|170959	1	mod3	0.783559162665546	1.9075604412911e-14	2.92492600997969e-13	0.469320332713275
BRCA	ZNF780B|163131	1	mod3	0.702011519459427	3.18086836372839e-14	4.68223823140818e-13	0.463521269550902
BRCA	ZNF221|7638	1	mod3	0.795823908831995	3.97832762436856e-14	5.63086371449088e-13	0.460964777694268
BRCA	ZKSCAN1|7586	1	mod7	0.411199443520625	6.8611429769535e-12	6.47410414235613e-11	0.455072336331387
BRCA	ZNF37A|7587	1	mod3	0.892120595658031	1.07972313423092e-13	1.47162264221103e-12	0.44940945371031
BRCA	ZNF585A|199704	1	mod3	0.898712336764378	1.39292111739862e-13	1.8306963257239e-12	0.446423310642719
BRCA	ZNF483|158399	1	mod3	0.521217214186617	2.71142716594198e-13	3.4407075760919e-12	0.438539505972696
BRCA	ZNF621|285268	1	mod3	0.912371047451931	4.20293110543787e-13	5.15559548933711e-12	0.43329221111613
BRCA	ZNF484|83744	1	mod3	1.17701128394564	4.40520653126634e-13	5.22940646292262e-12	0.432726662612309
BRCA	ZNF41|7592	1	mod7	1.02469770560534	4.53934260570565e-11	3.79654108840836e-10	0.428440148337535
BRCA	ZNF224|7767	1	mod3	0.831615227682759	7.55078322026463e-13	8.68340070330433e-12	0.426203998520869
BRCA	ZNF720|124411	1	mod3	1.34125938802369	9.32489403276622e-13	1.03986697092666e-11	0.423629760399315
BRCA	ZNF75D|7626	1	mod3	1.289366344247	1.32604893379988e-12	1.43525296364223e-11	0.41930988866981
BRCA	ZNF587|84914	1	mod7	0.40394986777775	9.96555183779711e-11	7.80281505597731e-10	0.416990306201781
BRCA	ZNF708|7562	1	mod3	0.668317574730453	2.34536532721386e-12	2.46598411547058e-11	0.412247229727563
BRCA	ZNF426|79088	1	mod3	0.817859445029219	3.81958468170698e-12	3.90446434130047e-11	0.406141054031109
BRCA	ZNF808|388558	1	mod7	0.961171854760522	2.15171048210807e-10	1.5526067792466e-09	0.405569385496092
BRCA	ZNF529|57711	1	mod3	0.872607059049868	4.51967761941839e-12	4.4952469295837e-11	0.404019721721608
BRCA	ZNF83|55769	1	mod7	0.672085145758204	3.0617590744035e-10	2.08653210996386e-09	0.400264276391697
BRCA	ZNF701|55762	1	mod7	0.914282595499443	4.3441060581115e-10	2.75626039549144e-09	0.394957991014229
BRCA	ZNF844|284391	1	mod3	0.571714872443864	1.17737653997972e-11	1.05676723588424e-10	0.391812109534016
BRCA	ZNF445|353274	1	mod7	0.808925932809955	6.37071635982412e-10	3.90737270069213e-09	0.389098813832766
BRCA	ZNF493|284443	1	mod3	0.603711336343615	1.55950469647794e-11	1.36642316262829e-10	0.388182806793091
BRCA	ZNF662|389114	1	mod7	0.565934773400563	7.35917207679569e-10	4.43963167911609e-09	0.386877653332431
BRCA	ZNF665|79788	1	mod3	0.704906346837748	5.47602188294963e-11	4.47816900650103e-10	0.371709804986277
BRCA	ZNF674|641339	1	mod3	1.00827467991449	8.02605857274361e-11	6.42084685819489e-10	0.366611934630725
BRCA	ZNF441|126068	1	mod3	0.635465261160522	1.04033426474101e-10	7.97589602968111e-10	0.363130129093675
BRCA	ZNF717|100131827	1	mod3	0.75714065729597	1.80908965104234e-10	1.35866324812976e-09	0.355643631890514
BRCA	ZFP28|140612	1	mod3	1.07272682023053	2.07066630278432e-10	1.52401039884926e-09	0.353803633431942
BRCA	ZNF570|148268	1	mod3	0.842287911948602	2.48332022147248e-10	1.75742661827283e-09	0.351319753582325
BRCA	ZNF234|10780	1	mod3	0.963598010639121	2.9166380971775e-10	2.02513739577607e-09	0.349113857336214
BRCA	ZSCAN29|146050	1	mod7	0.958834925948528	8.3518482788634e-09	4.04405285081807e-08	0.348298750528253
BRCA	ZNF430|80264	1	mod3	0.69245456419925	3.27969585493907e-10	2.19441468112287e-09	0.347500309197523
BRCA	ZNF677|342926	1	mod3	0.828756646635406	3.44792125313604e-10	2.2657768234894e-09	0.346811195208766
BRCA	ZNF813|126017	1	mod3	0.639027008154402	3.85257273957245e-10	2.48727503186432e-09	0.345279954185337
BRCA	ZNF12|7559	1	mod3	0.819198475593659	5.38877168499466e-10	3.36113216962379e-09	0.340628720731381
BRCA	ZNF264|9422	1	mod3	0.980902661463621	1.2102017874924e-09	7.1831331902775e-09	0.32928621097626
BRCA	ZNF382|84911	1	mod3	1.01451795864764	1.634995037658e-09	9.55044720409755e-09	0.325021743184713
BRCA	ZNF619|285267	1	mod7	0.698941814272593	3.87786739204698e-08	1.65936651194569e-07	0.322747809636926
BRCA	ZNF429|353088	1	mod3	0.636977978591527	1.92533117106894e-09	1.10706542336464e-08	0.322694123330522
BRCA	ZNF33A|7581	1	mod7	0.580146062286203	3.96109853873694e-08	1.67549915201746e-07	0.322387957838078
BRCA	ZNF845|91664	1	mod3	0.79846547133741	2.53897932784867e-09	1.43745291176663e-08	0.318737309354283
BRCA	ZNF175|7728	1	mod3	0.757500755996771	2.91603262748849e-09	1.61225830496752e-08	0.316748929013298
BRCA	ZNF519|162655	1	mod3	0.70161809741007	2.93536158784847e-09	1.61225830496752e-08	0.316653918822398
BRCA	ZNF765|91661	1	mod3	0.999650145112287	3.25356231047065e-09	1.76075136801941e-08	0.315172231234899
BRCA	ZNF510|22869	1	mod3	0.817488439638582	3.65115609887025e-09	1.9472832527308e-08	0.313508843265076
BRCA	ZNF527|84503	1	mod3	1.22816763041708	4.39424971082981e-09	2.3101198479791e-08	0.310828217312498
BRCA	ZNF727|442319	1	mod3	0.488746494612229	4.64373007452545e-09	2.4068910808808e-08	0.310027276109372
BRCA	ZNF383|163087	1	mod3	0.866979966022885	5.10780717720461e-09	2.61065700168236e-08	0.308643674907172
BRCA	ZNF790|388536	1	mod3	1.01535007529564	5.60874469357253e-09	2.78921357734418e-08	0.307282187399971
BRCA	ZNF91|7644	1	mod3	0.509628999066197	7.38708867472826e-09	3.6245981764e-08	0.303259833750593
BRCA	ZNF568|374900	1	mod3	0.855081177170679	9.65452270485628e-09	4.61410955245079e-08	0.299329373516304
BRCA	ZNF84|7637	1	mod3	0.765294915336139	1.00601018916779e-08	4.74630448222751e-08	0.298723348306078
BRCA	ZNF506|440515	1	mod3	1.01092819541395	1.28290143820962e-08	5.97604720583721e-08	0.295132850244799
BRCA	ZNF721|170960	1	mod3	0.71948094502502	1.38529387608137e-08	6.37235182997431e-08	0.293995343079858
BRCA	ZFP30|22835	1	mod3	0.589219848762562	1.42960476467817e-08	6.49499448643909e-08	0.293528436629657
BRCA	ZNF10|7556	1	mod3	0.528793496709817	1.64800828298275e-08	7.3959396114348e-08	0.291416635539077
BRCA	ZNF778|197320	1	mod7	0.74098348732381	3.89796819405839e-07	1.31601128019586e-06	0.282596673731771
BRCA	ZFP90|146198	1	mod3	0.971505153910633	3.58697503607645e-08	1.57143668247159e-07	0.279760877772496
BRCA	ZNF615|284370	1	mod3	0.769587563581013	3.77307398996626e-08	1.63351909212657e-07	0.278996789131047
BRCA	ZNF776|284309	1	mod7	0.48241923122055	6.19943376874442e-07	2.00122072534907e-06	0.274267038784218
BRCA	ZNF420|147923	1	mod3	0.731269849071135	6.38901450639858e-08	2.64174981837604e-07	0.27099642504386
BRCA	ZNF44|51710	1	mod7	0.689873060886143	7.43534315293975e-07	2.33863784639473e-06	0.270980086603613
BRCA	ZNF304|57343	1	mod7	0.69184486623618	8.2807583178911e-07	2.53943255081994e-06	0.26902664512541
BRCA	ZNF197|10168	1	mod3	0.99155494946973	7.94940585820247e-08	3.21470478661375e-07	0.267653559850569
BRCA	ZNF714|148206	1	mod3	0.415116261257254	8.81556983947028e-08	3.52622793578811e-07	0.266066576854916
BRCA	ZNF169|169841	1	mod7	0.592710053703926	1.08741001765847e-06	3.25338932112452e-06	0.264063732774521
BRCA	ZNF248|57209	1	mod3	0.756661751762189	1.04653722786747e-07	4.14113655758311e-07	0.263427304032416
BRCA	ZNF136|7695	1	mod3	0.695390280715318	1.12974286117531e-07	4.42282311609057e-07	0.262247571930878
BRCA	ZNF134|7693	1	mod7	0.618421695977488	1.25599994562409e-06	3.66831730150528e-06	0.261426145955238
BRCA	ZNF43|7594	1	mod3	0.513965939968881	1.19687981370482e-07	4.63633443624602e-07	0.261356240678124
BRCA	ZFP14|57677	1	mod3	0.570163162094997	1.21690849371708e-07	4.66481589258212e-07	0.261099821907604
BRCA	ZNF562|54811	1	mod3	0.471385352267191	1.28911643225304e-07	4.89066852648576e-07	0.260208550907088
BRCA	ZNF597|146434	1	mod3	1.08305596433974	1.48417263809895e-07	5.57321970224911e-07	0.258025909091727
BRCA	ZNF345|25850	1	mod3	0.726010958576362	1.64432672023727e-07	6.11224477825572e-07	0.256434898216969
BRCA	ZNF461|92283	1	mod3	0.779439579576796	1.68134782830812e-07	6.18736000817386e-07	0.25608881045806
BRCA	ZNF99|7652	1	mod3	0.956818864601424	1.81868998316289e-07	6.62651399805885e-07	0.254867117030455
BRCA	ZNF460|10794	1	mod3	0.572727438875129	1.88809920175031e-07	6.81196574749131e-07	0.254283740749636
BRCA	ZNF514|84874	1	mod3	0.590303693658689	1.91504879365971e-07	6.8421160783182e-07	0.254062887224552
BRCA	ZNF549|256051	1	mod7	0.634553220743808	1.88531031186647e-06	5.33687842128356e-06	0.25394864800609
BRCA	ZNF876P|642280	1	mod3	0.789949716952484	1.94737969860756e-07	6.89072816430366e-07	0.253801923001129
BRCA	ZNF761|388561	1	mod7	0.750170482116795	2.079151254207e-06	5.79642167839528e-06	0.252136983146792
BRCA	ZNF283|284349	1	mod3	0.865968331983154	2.67354679148221e-07	9.37014494538529e-07	0.248846449765465
BRCA	ZNF557|79230	1	mod3	0.638089296170274	3.16923075456227e-07	1.10026124309332e-06	0.246174933912644
BRCA	ZNF713|349075	1	mod3	0.460461694185861	3.26416072140547e-07	1.12262723876375e-06	0.245710500044359
BRCA	ZNF254|9534	1	mod3	0.53516819131833	3.73330728274451e-07	1.27208988893517e-06	0.243594062081385
BRCA	ZNF548|147694	1	mod7	0.698270889305179	3.68051580838061e-06	1.01076852051049e-05	0.241488617413136
BRCA	ZNF182|7569	1	mod3	0.875244244563878	4.83986111436513e-07	1.61915353644215e-06	0.239488038434614
BRCA	ZNF235|9310	1	mod3	0.784474061861879	4.97063924746519e-07	1.64792364240288e-06	0.239065203122948
BRCA	ZNF268|10795	1	mod7	0.58372204768918	4.57404441645632e-06	1.22864842719411e-05	0.237401797469801
BRCA	ZNF737|100129842	1	mod7	0.310023146837901	4.62607423837316e-06	1.23361979689951e-05	0.237188599555827
BRCA	ZNF440|126070	1	mod3	0.610521554210599	5.77236405104544e-07	1.89663390248636e-06	0.236689951933661
BRCA	ZNF225|7768	1	mod3	0.732977776179683	6.12973528323217e-07	1.99623237542428e-06	0.235733948321408
BRCA	ZKSCAN3|80317	1	mod3	0.848623118628852	6.283460391249e-07	2.01070732519968e-06	0.235339443584812
BRCA	ZNF528|84436	1	mod3	0.559449423672495	7.42832812612794e-07	2.33863784639473e-06	0.232668887561098
BRCA	ZNF154|7710	1	mod3	0.334201668028183	8.25996391815434e-07	2.53943255081994e-06	0.230971539194815
BRCA	ZNF670|93474	1	mod3	0.766053986785171	8.65812386775082e-07	2.63321453167959e-06	0.230217498246606
BRCA	RBAK|57786	1	mod7	0.575958233635842	7.12636457369175e-06	1.87321583079897e-05	0.22900589769253
BRCA	ZNF320|162967	1	mod3	0.586910614763712	1.00394352955414e-06	3.02828867931084e-06	0.22784245068488
BRCA	ZNF577|84765	1	mod3	0.612647608365306	1.09934814388919e-06	3.26258158831629e-06	0.22638270976157
BRCA	ZNF676|163223	1	mod3	0.409188197944215	1.14579040267546e-06	3.37320694547656e-06	0.225716584908636
BRCA	ZNF486|90649	1	mod3	0.36760619661973	1.62484540219107e-06	4.70821344886862e-06	0.220073284708122
BRCA	ZIM2|23619	1	mod7	0.420916212877921	1.15746406765502e-05	2.91744367737705e-05	0.219732745083303
BRCA	ZNF566|84924	1	mod3	0.558917977334165	1.74087834504605e-06	5.00502524200739e-06	0.218954787709398
BRCA	ZNF550|162972	1	mod3	0.437587007280922	1.76830662678774e-06	5.04447161750302e-06	0.218701107278659
BRCA	ZNF525|170958	1	mod7	0.368597571936833	1.58603525841454e-05	3.91718775232585e-05	0.213660418023561
BRCA	ZNF214|7761	1	mod7	0.451687460439677	2.15322003084946e-05	5.14535695683507e-05	0.207729883079327
BRCA	ZNF782|158431	1	mod3	0.510267275383899	4.29481884914314e-06	1.17073580480346e-05	0.204186108508227
BRCA	ZNF605|100289635	1	mod7	0.509720511147575	2.6257853727691e-05	6.23412269147762e-05	0.203861589893232
BRCA	ZNF251|90987	1	mod3	0.789295426048777	4.4490488264093e-06	1.20386027067546e-05	0.203604377935583
BRCA	ZNF273|10793	1	mod7	0.376446784574978	3.30089972418946e-05	7.49834011420815e-05	0.199381816676678
BRCA	ZNF480|147657	1	mod3	0.688518733670243	6.35907174725323e-06	1.68355280790589e-05	0.197694992242951
BRCA	ZNF551|90233	1	mod7	0.354893760392439	3.71736367872258e-05	8.34140142542627e-05	0.197047648419869
BRCA	ZNF418|147686	1	mod7	0.351437722023514	3.86277925962748e-05	8.61516828813886e-05	0.196292692415541
BRCA	ZNF189|7743	1	mod7	0.682511566533198	3.97982513457508e-05	8.76991406900376e-05	0.195705001880973
BRCA	ZNF260|339324	1	mod7	0.472919805277658	4.02453102855689e-05	8.81563939588652e-05	0.195484995574789
BRCA	ZNF208|7757	1	mod3	0.279542927329337	7.34859926058192e-06	1.91793228928663e-05	0.195292060969183
BRCA	ZNF300|91975	1	mod3	0.433050456685022	8.32613059064545e-06	2.1577577868715e-05	0.193212358979475
BRCA	ZNF614|80110	1	mod3	0.661894355930041	8.75781820413868e-06	2.2535666408307e-05	0.192369376202302
BRCA	ZNF470|388566	1	mod3	0.614890018755428	8.81830424672882e-06	2.2535666408307e-05	0.192254537796698
BRCA	ZNF540|163255	1	mod3	0.421882960512391	9.52030304132969e-06	2.41618725462712e-05	0.190975633635521
BRCA	ZNF836|162962	1	mod3	0.586992403360518	1.43876694725469e-05	3.57747457155219e-05	0.184052899544108
BRCA	ZNF559|84527	1	mod3	0.516065644749058	1.5986942858681e-05	3.92212998132975e-05	0.182278413351455
BRCA	ZNF23|7571	1	mod3	0.937100467839228	1.81025183102609e-05	4.41173956170597e-05	0.180182209102772
BRCA	ZNF546|339327	1	mod3	0.50296942305054	2.03747433180481e-05	4.90059185689001e-05	0.178183880077046
BRCA	ZNF780A|284323	1	mod3	0.447002122542141	2.66775854240574e-05	6.28373727439157e-05	0.173614795174024
BRCA	ZNF667|63934	1	mod3	0.331290732291824	2.68083356543336e-05	6.28373727439157e-05	0.173531733430054
BRCA	ZNF160|90338	1	mod3	0.569001946024115	2.72648308649869e-05	6.35028972045264e-05	0.173244829702448
BRCA	ZNF616|90317	1	mod3	0.546553006477686	2.77974862942429e-05	6.43363204797571e-05	0.172915977829101
BRCA	ZNF569|148266	1	mod3	0.708700254716479	2.84709225184521e-05	6.54831217924399e-05	0.172508977502172
BRCA	ZNF567|163081	1	mod3	0.628091879060897	3.10875769573111e-05	7.10573187595682e-05	0.171012728035542
BRCA	ZFP37|7539	1	mod3	0.536158652292005	3.35950578043165e-05	7.58465108710949e-05	0.16969098085841
BRCA	ZNF223|7766	1	mod3	0.509586332901615	3.93977899271195e-05	8.73396788745782e-05	0.166971132450902
BRCA	ZNF177|7730	1	mod3	0.484572636249481	4.39976072035176e-05	9.58054405378372e-05	0.165082222339091
CHOLLIHC	ZNF621|285268	1	mod3	0.892814507926779	2.09827700192158e-11	7.72165936707141e-09	0.554283135155863
CHOLLIHC	ZNF493|284443	1	mod3	0.621241037080547	1.46269844273701e-10	2.69136513463609e-08	0.522746017040439
CHOLLIHC	ZNF182|7569	1	mod7	0.829313760955351	8.99484046578133e-09	7.31010117260737e-07	0.486863415097501
CHOLLIHC	ZNF780B|163131	1	mod7	0.584179013401831	9.93220268017306e-09	7.31010117260737e-07	0.484863993584806
CHOLLIHC	ZNF141|7700	1	mod7	0.6161752976867	2.61014649654542e-08	1.20191774195475e-06	0.464980257079478
CHOLLIHC	ZNF514|84874	1	mod3	0.579082962830501	6.850692164081e-09	7.31010117260737e-07	0.453755378514969
CHOLLIHC	ZNF721|170960	1	mod3	0.807712698580975	1.44551638566833e-08	8.86583383209912e-07	0.439293778068419
CHOLLIHC	ZNF510|22869	1	mod7	0.672614723059684	1.09036573293681e-07	4.01254589720746e-06	0.43420734376861
CHOLLIHC	ZNF189|7743	1	mod3	0.921480765565799	2.61286465642336e-08	1.20191774195475e-06	0.427569674587319
CHOLLIHC	ZNF841|284371	1	mod3	0.738053516531102	8.62278734269113e-08	3.52576193567815e-06	0.403211178971376
CHOLLIHC	ZNF37A|7587	1	mod7	0.527419825011781	4.61316460390601e-07	1.41470381186451e-05	0.401465349482235
CHOLLIHC	ZNF23|7571	1	mod7	0.808999040960838	5.93599829336974e-07	1.56031955140005e-05	0.39556249822432
CHOLLIHC	ZNF33A|7581	1	mod3	0.696935754383648	1.55282707297491e-07	5.1949123895888e-06	0.390852996561495
CHOLLIHC	ZNF91|7644	1	mod7	0.559380238671973	7.42395648250758e-07	1.70750999097674e-05	0.390280104867601
CHOLLIHC	ZNF84|7637	1	mod7	0.649190099527114	1.66625591987875e-06	2.91991513578752e-05	0.370827333009189
CHOLLIHC	ZNF181|339318	1	mod7	0.628767698936801	2.0457260574695e-06	3.39086849505429e-05	0.365799921698688
CHOLLIHC	RBAK|57786	1	mod7	0.619882159899503	2.11929280940893e-06	3.39086849505429e-05	0.364930504498678
CHOLLIHC	ZNF224|7767	1	mod3	0.550811098067108	5.86686838196948e-07	1.56031955140005e-05	0.362039701116901
CHOLLIHC	ZNF720|124411	1	mod3	0.871878993647615	6.96160652882998e-07	1.70750999097674e-05	0.358240367862112
CHOLLIHC	ZNF44|51710	1	mod7	0.671448183554585	2.98190402828566e-06	4.57225284337134e-05	0.356470501195068
CHOLLIHC	ZNF354B|117608	1	mod3	0.53965251456519	8.52091714407016e-07	1.84452794648107e-05	0.353725141497261
CHOLLIHC	ZNF10|7556	1	mod3	0.68112388576721	1.08674023101513e-06	2.22178002785316e-05	0.348252241297413
CHOLLIHC	ZNF254|9534	1	mod3	0.611571920979708	1.14782694109924e-06	2.22315954907641e-05	0.347015925665405
CHOLLIHC	ZNF587|84914	1	mod3	0.654921395604511	1.45545576105841e-06	2.67803860034748e-05	0.34162298952096
CHOLLIHC	ZNF700|90592	1	mod3	0.766125303310963	4.56814208700458e-06	6.72430515207074e-05	0.315072152233705
CHOLLIHC	ZNF75D|7626	1	mod3	0.749122398136084	5.3522113492231e-06	7.57543760197731e-05	0.311319847334931
COADREAD	ZNF587|84914	1	mod3	0.802592145961602	3.30646346527153e-08	1.21677855521992e-05	0.66970077282837
COADREAD	ZNF789|285989	1	mod3	0.986039760609174	1.07881412466746e-07	1.32334532625875e-05	0.641095556074855
COADREAD	RBAK|57786	1	mod3	1.09304616700147	1.68530773781483e-07	1.55048311878964e-05	0.629690068891286
KICHKIRCKIRP	ZNF780B|163131	1	mod3	0.653755689590387	9.07788132291887e-16	3.34066032683414e-13	0.412429797833939
KICHKIRCKIRP	ZNF621|285268	1	mod7	0.774821867846482	3.7490540872789e-13	4.59883968039545e-11	0.382346999069297
KICHKIRCKIRP	ZNF587|84914	1	mod7	0.570838690621455	1.31042856869862e-12	1.20559428320273e-10	0.368337072308236
KICHKIRCKIRP	ZNF662|389114	1	mod3	0.490248744982177	2.55269147475232e-13	4.59883968039545e-11	0.356265075960194
KICHKIRCKIRP	ZNF514|84874	1	mod3	0.448004158712922	1.53750171320724e-11	1.00625206298843e-09	0.312241483666637
KICHKIRCKIRP	ZNF160|90338	1	mod3	0.559923385530641	1.64062836356809e-11	1.00625206298843e-09	0.311521538770812
KICHKIRCKIRP	ZNF334|55713	1	mod3	0.472546356288769	3.97458216814983e-11	2.08949462554163e-09	0.301637621767942
