rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF655|79027	1	mod3	0.86150260069144	1.68496882290378e-10	6.2006852682859e-08	0.356610043661816
BRCA	ZNF354B|117608	1	mod3	0.608870256630639	4.51175441294772e-10	6.6967037501772e-08	0.343094650103802
BRCA	ZNF224|7767	1	mod3	0.644070842549278	5.4592693615575e-10	6.6967037501772e-08	0.340447942562565
BRCA	ZNF83|55769	1	mod7	0.540364615727656	1.67549170023033e-08	5.62402930448687e-07	0.336826549025861
BRCA	ZNF141|7700	1	mod3	0.542289028604027	7.49152381716321e-10	6.89220191179015e-08	0.336031958191282
BRCA	ZNF841|284371	1	mod3	0.559028131793662	1.06548736217258e-09	7.84198698559016e-08	0.331083770593652
BRCA	ZNF234|10780	1	mod3	0.797039076873686	2.65679233342027e-09	1.6294992978311e-07	0.318086552633098
BRCA	ZNF780B|163131	1	mod3	0.4939271474503	6.30536048481914e-09	3.31481808344777e-07	0.30557496180072
BRCA	ZNF37A|7587	1	mod3	0.628790097859071	1.10680382719827e-08	5.09129760511204e-07	0.297315289085613
BRCA	ZNF417|147687	1	mod3	0.465465050348353	1.61751624196196e-08	5.62402930448687e-07	0.29169437772374
BRCA	ZNF662|389114	1	mod3	0.481886338988843	1.6810957160151e-08	5.62402930448687e-07	0.291120897192582
BRCA	ZNF169|169841	1	mod7	0.540898013244409	3.17019468004928e-07	4.86096517607556e-06	0.286278818227911
BRCA	ZNF182|7569	1	mod3	0.826104537891911	2.68482796425804e-08	8.23347242372466e-07	0.284122807773934
BRCA	ZNF175|7728	1	mod3	0.61647654269397	3.6789630606413e-08	1.04142954332e-06	0.279378453300153
BRCA	ZNF621|285268	1	mod3	0.633330638748909	4.01909597096227e-08	1.0564480837958e-06	0.278041531051378
BRCA	ZNF717|100131827	1	mod3	0.572347740623779	6.53972965256974e-08	1.60441367476378e-06	0.270640401631465
BRCA	ZNF225|7768	1	mod3	0.671228415961603	1.05766543028376e-07	2.43263048965264e-06	0.263264297403869
BRCA	ZNF84|7637	1	mod3	0.619692438389613	1.23751441697396e-07	2.53531982859804e-06	0.260840298819923
BRCA	ZNF829|374899	1	mod3	0.506053935621535	1.24010209007513e-07	2.53531982859804e-06	0.260808008249028
BRCA	ZNF483|158399	1	mod3	0.343423650598759	1.98067037319222e-07	3.75295812239333e-06	0.253537617658416
BRCA	ZNF382|84911	1	mod3	0.775759224768285	2.03965115347464e-07	3.75295812239333e-06	0.253079878153356
BRCA	ZNF23|7571	1	mod3	0.959207846718026	2.27036247529336e-07	3.8193052140462e-06	0.251406108725449
BRCA	ZNF432|9668	1	mod3	0.513784018379937	2.28328029100588e-07	3.8193052140462e-06	0.251317397712686
BRCA	ZNF846|162993	1	mod3	0.660211983400771	2.86080353327283e-07	4.57728565323653e-06	0.247784138690722
