rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	0.754285569481115	2.41661328059278e-23	2.36599202604257e-21	0.721308252984105
BRCA	ZNF662|389114	1	mod7	0.727619737443718	4.22642734828709e-22	2.59220877361608e-20	0.700200967993632
BRCA	ZNF141|7700	1	mod3	0.821628778434172	6.60517603821521e-25	2.16789613835125e-22	0.682634167976694
BRCA	ZNF841|284371	1	mod3	0.850820742044252	1.17820442301698e-24	2.16789613835125e-22	0.678679130125671
BRCA	ZNF655|79027	1	mod3	1.24281736705397	2.57173046308975e-23	2.36599202604257e-21	0.656769237204121
BRCA	ZNF417|147687	1	mod3	0.736634998455437	1.01910007475855e-22	7.50057655022295e-21	0.646511704913705
BRCA	ZNF483|158399	1	mod7	0.526650428028026	1.2878352305887e-18	4.73923364856643e-17	0.632199271170478
BRCA	ZNF529|57711	1	mod3	1.0006286824196	1.40919586542906e-21	7.40834397825564e-20	0.626094068742762
BRCA	ZNF83|55769	1	mod7	0.803025582836495	2.57681169321291e-18	6.77333359358823e-17	0.625647737762254
BRCA	ZNF493|284443	1	mod3	0.699766224836274	5.79220786862285e-21	2.66441561956651e-19	0.61462774484525
BRCA	ZNF432|9668	1	mod7	0.813985757307319	9.50309591551766e-18	2.33142619794033e-16	0.613006103515762
BRCA	ZNF33A|7581	1	mod7	0.760804631112548	1.73247483335263e-17	3.98469211671104e-16	0.607048356028998
BRCA	ZNF431|170959	1	mod7	0.788266808450053	5.35979196876654e-17	1.1602373202977e-15	0.595597570263831
BRCA	ZNF708|7562	1	mod3	0.731623328299381	2.53673177125459e-19	1.03724143535743e-17	0.582231428775464
BRCA	ZNF10|7556	1	mod7	0.615448323722009	2.47558514083624e-16	5.06119628793187e-15	0.579556944412071
BRCA	ZNF587|84914	1	mod7	0.451253290490906	6.13403740971522e-16	9.40552402823e-15	0.569750428641766
BRCA	ZNF84|7637	1	mod3	0.968283593285571	1.9668579051766e-18	6.48618461051026e-17	0.563566581574386
BRCA	ZNF37A|7587	1	mod3	0.919707681919252	2.11506019907943e-18	6.48618461051026e-17	0.562889663577873
BRCA	ZNF12|7559	1	mod3	0.968739810587179	2.48986794428881e-18	6.77333359358823e-17	0.561365683909879
