rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF83|55769	1	mod3	0.531498395411864	1.24246420773217e-12	4.5722682844544e-10	0.420111031391908
BRCA	ZFP90|146198	1	mod3	0.916981435185118	3.92109320370021e-12	7.21481149480839e-10	0.40581093161854
BRCA	ZNF84|7637	1	mod7	0.529242162586335	6.6459948254473e-10	8.15242031921535e-08	0.388448171691761
BRCA	ZNF701|55762	1	mod7	0.60952743192386	4.24804464626061e-09	3.08206468290756e-07	0.359259740145796
BRCA	ZNF45|7596	1	mod7	0.679993435773847	5.71006303780125e-09	3.08206468290756e-07	0.354485670723131
BRCA	ZNF248|57209	1	mod7	0.572724014243938	6.2764858921427e-09	3.08206468290756e-07	0.352951984002239
BRCA	ZNF525|170958	1	mod7	0.330657493321878	6.70014061501643e-09	3.08206468290756e-07	0.351890798933757
BRCA	ZNF549|256051	1	mod7	0.520109821697775	7.91995948154473e-09	3.23838343245385e-07	0.349166001064297
BRCA	ZNF793|390927	1	mod7	0.273795884598188	1.06725823825652e-08	3.92751031678401e-07	0.344279786549691
BRCA	ZNF33B|7582	1	mod7	0.218015183785018	1.2213416876145e-08	4.08594310038307e-07	0.34205946424606
BRCA	ZNF273|10793	1	mod7	0.343693485687952	1.37219709604786e-08	4.20807109454677e-07	0.340136317634998
BRCA	ZNF667|63934	1	mod7	0.277644962055445	1.69074173305435e-08	4.44503099621935e-07	0.336676008104093
BRCA	ZNF286A|57335	1	mod7	0.345284933329253	1.69104440073562e-08	4.44503099621935e-07	0.33667303375511
BRCA	ZNF662|389114	1	mod7	0.368096138739527	1.87423002858559e-08	4.59811100346332e-07	0.334961928850201
BRCA	ZFP37|7539	1	mod7	0.474604864382501	2.29762043700006e-08	5.18316671943567e-07	0.331561280541194
BRCA	ZNF749|388567	1	mod7	0.3643634866609	2.39439766930452e-08	5.18316671943567e-07	0.330870455369951
BRCA	ZNF600|162966	1	mod3	0.588656244967781	1.09393620830264e-09	1.00642131163843e-07	0.330712222729385
BRCA	ZNF780B|163131	1	mod7	0.372257071788835	2.77525822648889e-08	5.67386126304395e-07	0.328393367693847
BRCA	ZNF250|58500	1	mod7	0.448800496617962	3.77623731464736e-08	7.19635917327969e-07	0.323197582082353
BRCA	ZNF311|282890	1	mod7	0.394312124355559	3.91106476808679e-08	7.19635917327969e-07	0.322603383869952
BRCA	ZNF620|253639	1	mod7	0.608445844690649	4.74989501095268e-08	8.32362554300279e-07	0.319303419671283
BRCA	ZNF551|90233	1	mod7	0.313010987547792	6.59037540795073e-08	1.0851238583482e-06	0.313708100919203
BRCA	ZNF432|9668	1	mod7	0.425575892555095	6.78202411467623e-08	1.0851238583482e-06	0.313216321655749
BRCA	ZNF700|90592	1	mod7	0.469647083953939	7.1888511446414e-08	1.10229050884501e-06	0.312215888928489
BRCA	ZNF14|7561	1	mod7	0.388151895941305	1.00247225890845e-07	1.47563916511324e-06	0.306479699261934
BRCA	ZNF10|7556	1	mod7	0.326712884832975	1.07405521076621e-07	1.52020122139218e-06	0.30528440064763
BRCA	ZNF227|7770	1	mod7	0.597030292223584	1.19082545202884e-07	1.62305098646893e-06	0.303492306155658
BRCA	ZNF675|171392	1	mod7	0.308530524909579	1.23851683020438e-07	1.62776497684004e-06	0.302809333009973
BRCA	ZNF625|90589	1	mod7	0.428611899037184	1.60848694023342e-07	2.02307503302058e-06	0.298247601661647
BRCA	ZNF286B|729288	1	mod7	0.382394444635224	1.64924595083199e-07	2.02307503302058e-06	0.297809437601043
BRCA	ZNF33A|7581	1	mod7	0.388805892335523	1.79263559486002e-07	2.04256976652567e-06	0.296347882946367
BRCA	ZNF627|199692	1	mod7	0.332085811713089	1.82072836723484e-07	2.04256976652567e-06	0.296074971365636
