rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-1.03499600981898	2.44709632886668e-14	1.91558797383838e-13	0.466503192037969
BRCA	ZNF32|7580	1	mod3	-1.25602006428903	4.54370425476782e-11	1.35805605876796e-10	0.374184190799294
BRCA	ZNF18|7566	1	mod7	-1.17622676149951	4.98088407021913e-07	7.77824322958518e-07	0.278206546089043
BRCA	ZNF205|7755	1	mod2	-0.436715516513434	4.99319586361993e-05	6.10276502782305e-05	0.161320732693577
BRCA	ZNF768|79724	1	mod2	-0.553252708372152	6.08119313842889e-05	7.35055648967719e-05	0.157964407893734
BRCA	ZNF747|65988	1	mod2	-0.984304050044221	6.79307141518587e-05	8.15109480194836e-05	0.156075312932368
BRCA	ZNF71|58491	1	mod2	-0.831663567666156	8.00567007679121e-05	9.5711764170172e-05	0.153266954345449
COADREAD	ZNF32|7580	1	mod3	-0.615019351138088	1.08143797490589e-06	6.6328195794228e-05	0.578261984236995
LUADLUSC	ZNF511|118472	1	mod7	-0.700242749153072	4.96463087430063e-09	3.32178938498661e-08	0.329648578191653
LUADLUSC	ZNF32|7580	1	mod7	-0.548802604379193	5.894687998287e-08	3.3373002821071e-07	0.290907726493623
