rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
ESCASTAD	PRDM9|56979	1	mod3	7.6364884393342	2.43113355091185e-09	8.94657146735562e-07	0.593502784590319
ESCASTAD	ZIM3|114026	1	mod3	4.14393271751866	1.78401972273425e-08	3.28259628983102e-06	0.551663106788779
KICHKIRCKIRP	ZNF273|10793	1	mod3	0.844305632156374	1.38378750784162e-08	2.54616901442858e-06	0.23285260283072
KICHKIRCKIRP	ZNF160|90338	1	mod3	0.776274699853621	1.43099961981507e-07	1.75535953363982e-05	0.203718972164982
KICHKIRCKIRP	ZNF107|51427	1	mod3	0.594150084983991	2.74005979172585e-07	2.52085500838778e-05	0.195447984422771
LUADLUSC	ZNF514|84874	1	mod3	0.401472604411991	6.58363047089546e-09	2.42277601328953e-06	0.277555003624321
LUADLUSC	ZNF160|90338	1	mod3	0.665953358143717	7.69727064260535e-08	1.08279600574657e-05	0.243465270063917
LUADLUSC	ZNF662|389114	1	mod3	0.451115120368694	8.82714135119489e-08	1.08279600574657e-05	0.241524347415671
LUADLUSC	ZNF334|55713	1	mod3	0.470981319771076	2.23283259793421e-07	2.05420599009947e-05	0.228256464146163
LUADLUSC	ZNF44|51710	1	mod3	0.79608656686212	3.67818873360911e-07	2.41637177124723e-05	0.221036015032095
LUADLUSC	ZNF587|84914	1	mod3	0.428947917033208	4.53231763931578e-07	2.41637177124723e-05	0.217998012607656
LUADLUSC	ZNF780B|163131	1	mod3	0.562398044209614	4.59635934748115e-07	2.41637177124723e-05	0.217793507352715
LUADLUSC	ZNF417|147687	1	mod3	0.636820693491606	7.822344329892e-07	3.59827839175032e-05	0.210009570945486
LUADLUSC	ZNF33A|7581	1	mod3	0.615085240660456	1.23185111195593e-06	5.03690232444202e-05	0.203309297988278
LUADLUSC	ZNF841|284371	1	mod3	0.437263496353926	1.61665527404252e-06	5.94929140847647e-05	0.199275476946181
LUADLUSC	ZNF789|285989	1	mod3	0.555438357502005	1.91183769730322e-06	6.39596611461442e-05	0.196778381492033
LUADLUSC	ZNF84|7637	1	mod3	0.659275776595171	2.16060186528026e-06	6.56599630109138e-05	0.194952944760522
LUADLUSC	ZNF808|388558	1	mod3	0.706677962586462	2.31950956288554e-06	6.56599630109138e-05	0.193892280566764
LUADLUSC	ZNF91|7644	1	mod3	0.521240282941203	2.49976860928021e-06	6.57082034439369e-05	0.192772471856732
LUADLUSC	ZNF573|126231	1	mod3	0.54758408634803	2.964110584836e-06	7.27195130146431e-05	0.190218436024029
LUADLUSC	ZNF337|26152	1	mod3	0.443307328075064	3.53624754358081e-06	8.13336935023585e-05	0.187565809346616
LUADLUSC	ZNF431|170959	1	mod3	0.490246849402955	4.0966743409247e-06	8.86809504388405e-05	0.185349341623605
