rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.738456453522863	4.57186164513238e-10	1.36784153285262e-09	0.342911227590565
BRCA	ZNF18|7566	1	mod7	-1.10838204485882	4.29516446575358e-08	9.08402599653631e-08	0.321014292835156
BRCA	ZNF32|7580	1	mod3	-0.861605076953458	1.89201635845762e-07	3.66453694690738e-07	0.254251447997246
CHOLLIHC	ZNF777|27153	1	mod2	-1.1297384798958	4.90563571493994e-07	1.8052739430979e-05	0.360860636238024
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.521980001226014	6.2525054309742e-09	6.76741764293678e-08	0.242540958979285
KICHKIRCKIRP	ZNF470|388566	1	mod3	-0.456683012142638	8.83301053896558e-07	6.13310920441384e-06	0.180360458988868
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.53076415857991	1.73881635324188e-06	1.09088009435651e-05	0.17152368098609
KICHKIRCKIRP	ZNF671|79891	1	mod3	-0.304125223174573	2.83376919535869e-06	1.65528105379682e-05	0.165103697402053
KICHKIRCKIRP	ZNF189|7743	1	mod3	-0.436494400459542	2.90884212071406e-06	1.67258421941058e-05	0.1647588791942
KICHKIRCKIRP	ZNF268|10795	1	mod3	-0.43757273472651	1.56118574121775e-05	7.18145440960165e-05	0.142369244507801
LUADLUSC	ZNF511|118472	1	mod3	-0.441888076641576	3.28852421830848e-05	8.76939791548929e-05	0.15345250750558
