rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF776|284309	1	mod7	0.85560394574773	5.54225838877596e-20	1.01977554353478e-17	0.660517545250851
BRCA	ZNF33A|7581	1	mod7	0.94536534876069	9.9512755209316e-20	1.22068979723428e-17	0.655417270023999
BRCA	ZNF141|7700	1	mod3	0.878758070268936	4.00787419973874e-20	1.01977554353478e-17	0.598370605512148
BRCA	ZNF662|389114	1	mod3	0.812037485586356	2.70352625893949e-18	2.33714129685639e-16	0.560594662674481
BRCA	ZNF493|284443	1	mod3	0.76240893983642	3.17546371855488e-18	2.33714129685639e-16	0.559083954107913
BRCA	ZNF432|9668	1	mod7	0.929491934180055	1.62968203310684e-15	2.49884578409715e-14	0.558938425040248
BRCA	ZNF43|7594	1	mod3	0.789693600980359	3.88137969982963e-18	2.38057954922884e-16	0.557191993168532
BRCA	ZNF667|63934	1	mod3	0.621620381948123	6.88939358500645e-18	3.62185262754625e-16	0.551739728649261
BRCA	ZNF134|7693	1	mod7	1.02569777052754	3.40886599914092e-15	4.63734030032798e-14	0.550595701198185
BRCA	ZNF675|171392	1	mod7	0.679960244955918	3.52841109807564e-15	4.63734030032798e-14	0.550202288079145
BRCA	ZNF525|170958	1	mod3	0.667086643947561	1.95885210514674e-17	9.01071968367501e-16	0.541639960693671
BRCA	ZNF260|339324	1	mod3	0.947020676573451	3.11426717774654e-17	1.15509985213574e-15	0.537087396961147
BRCA	ZNF84|7637	1	mod3	1.07906618124812	3.36293625224375e-17	1.15509985213574e-15	0.536328789492764
BRCA	ZNF12|7559	1	mod3	1.08142605936404	3.45274412323182e-17	1.15509985213574e-15	0.536068252477601
BRCA	ZNF483|158399	1	mod3	0.60526860628101	4.22794820115538e-17	1.29657078168765e-15	0.534061108860832
BRCA	ZNF551|90233	1	mod7	0.667361979529619	1.48777781514271e-14	1.4732495395146e-13	0.533472280101298
BRCA	ZNF562|54811	1	mod7	0.695238442802715	1.56132424024645e-14	1.4732495395146e-13	0.532900867473408
BRCA	ZNF91|7644	1	mod3	0.710839350160028	4.79445779973244e-17	1.35720036177041e-15	0.532810756729054
BRCA	ZNF273|10793	1	mod7	0.70276904155697	1.68342178913601e-14	1.54874804600513e-13	0.532007819836697
BRCA	ZNF93|81931	1	mod7	0.596621881088453	1.75367841569606e-14	1.57403330969793e-13	0.531522166628142
BRCA	ZNF780B|163131	1	mod3	0.788976128798778	7.21204751275617e-17	1.76763605815806e-15	0.528728049726103
BRCA	ZNF135|7694	1	mod3	0.934916445335492	7.22118132640309e-17	1.76763605815806e-15	0.528715339370852
BRCA	ZNF136|7695	1	mod3	1.03840037132969	7.6853741659046e-17	1.76763605815806e-15	0.528089273952533
BRCA	ZNF229|7772	1	mod7	0.630718942109504	2.40986634369776e-14	2.11150193923995e-13	0.527729814087351
BRCA	ZNF107|51427	1	mod3	0.465414932379624	9.72014479214164e-17	2.10412546088713e-15	0.525721562312839
BRCA	ZNF841|284371	1	mod3	0.854196060460133	1.12951866626878e-16	2.30923816214951e-15	0.524201604100659
BRCA	RBAK|57786	1	mod7	0.99495343372868	3.50536623792993e-14	2.86661061235159e-13	0.523220320949364
BRCA	ZNF430|80264	1	mod3	0.881865107000647	4.95453742059217e-16	9.59615668830484e-15	0.508979608222809
BRCA	ZNF431|170959	1	mod7	0.871261658265628	1.13576049640677e-13	7.73999745699426e-13	0.508797736986533
BRCA	ZNF268|10795	1	mod3	0.989100754220533	5.62239138355814e-16	1.0345200145747e-14	0.507655741084663
BRCA	ZNF439|90594	1	mod3	0.571251894881039	6.29029688058119e-16	1.10229964383518e-14	0.50647762603706
BRCA	ZNF587|84914	1	mod3	0.537656816583595	7.40030532874335e-16	1.2378692549898e-14	0.504767095878055
BRCA	ZNF254|9534	1	mod3	0.809583464156454	8.40529496645611e-16	1.34484719463298e-14	0.503422711819938
BRCA	ZNF429|353088	1	mod3	0.826077710800651	2.90923185655772e-15	4.28238929285296e-14	0.490125684876823
BRCA	ZNF345|25850	1	mod3	1.05492269492779	3.24484422103467e-15	4.59270258977215e-14	0.488939901698453
