rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.714227186133665	3.57277624140968e-10	2.34782438721207e-09	0.346320724195645
BRCA	ZNF32|7580	1	mod3	-0.754295409410082	2.94598799398292e-06	6.03588945558518e-06	0.210379620768071
BRCA	ZNF275|10838	1	mod7	-0.462729316515106	2.43227352401117e-05	3.96051618069075e-05	0.205355873862939
BRCA	ZNF25|219749	1	mod7	-0.448019962200614	5.48255307526349e-05	8.51322799328427e-05	0.189377263788596
COADREAD	ZNF32|7580	1	mod3	-0.752223805298202	5.59518200569433e-09	8.86683424226631e-07	0.708531336957017
COADREAD	ZNF614|80110	1	mod2	-1.13247375909346	1.78951959550822e-08	1.64635802786756e-06	0.67067094014392
COADREAD	ZNF555|148254	1	mod2	-1.35292537580848	3.84227630408301e-08	2.82791535980509e-06	0.653138807716952
COADREAD	ZNF627|199692	1	mod3	-0.81869956265906	1.22830518660339e-07	6.45737583814355e-06	0.637813243968937
COADREAD	ZNF583|147949	1	mod2	-1.37363316210346	1.45301628690561e-07	6.68387491976579e-06	0.620424358899418
COADREAD	ZNF561|93134	1	mod3	-1.25681382408502	1.79250047927007e-06	4.7117155455099e-05	0.563131942131149
COADREAD	ZNF420|147923	1	mod3	-0.952883804612484	2.67541396447161e-06	6.56368225950368e-05	0.550772189406997
LUADLUSC	ZNF32|7580	1	mod7	-0.49403999218063	1.42623008589962e-06	7.49789530872945e-06	0.238016489376501
LUADLUSC	ZNF511|118472	1	mod7	-0.554447927854647	7.69664641836829e-06	3.5852732683032e-05	0.208658172523666
LUADLUSC	ZNF627|199692	1	mod7	-0.454865547682649	7.8091109884616e-06	3.59219105469234e-05	0.208401459503897
