rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF25|219749	1	mod7	-0.623672835101126	4.3498045826385e-07	8.15683851569138e-07	0.280635609799152
BRCA	ZNF511|118472	1	mod3	-0.688812369077418	1.00642923714955e-07	2.15775242692545e-07	0.264029259918361
BRCA	ZNF275|10838	1	mod7	-0.560215069310419	6.7012260598188e-06	1.03835792349919e-05	0.230175283429615
BRCA	ZNF32|7580	1	mod3	-0.73038724550514	5.36367230777111e-05	7.22698592779464e-05	0.161685679835074
COADREAD	ZNF32|7580	1	mod2	-0.579580998127513	7.00351306915813e-07	6.44323202362548e-05	0.577870800953051
KICHKIRCKIRP	ZSCAN21|7589	1	mod7	-1.18246344164947	7.3777812084256e-12	2.26251957058385e-10	0.348487884888466
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.87805360208493	2.4672191715496e-10	6.0529110342017e-09	0.280819668040803
KICHKIRCKIRP	ZNF189|7743	1	mod3	-0.702277914976505	2.19502291437204e-09	4.25141280257322e-08	0.255137355333868
KICHKIRCKIRP	ZNF124|7678	1	mod3	-0.746392870185983	5.38107836940683e-09	9.00107654518961e-08	0.244358924491887
KICHKIRCKIRP	ZNF585A|199704	1	mod3	-0.954291918823869	6.73572529997017e-09	1.07771604799523e-07	0.241637814316737
KICHKIRCKIRP	ZNF233|353355	1	mod3	-0.498582979884873	1.35776627252971e-07	1.37404482605549e-06	0.204384617163315
KICHKIRCKIRP	ZNF671|79891	1	mod3	-0.436890563494169	1.41885063560078e-07	1.37404482605549e-06	0.203827040428029
KICHKIRCKIRP	ZNF470|388566	1	mod3	-0.619928387073975	2.10405507202488e-07	1.80067968954687e-06	0.198819609797518
KICHKIRCKIRP	ZNF268|10795	1	mod7	-0.792479812849758	1.19613353531311e-06	8.00322074536771e-06	0.193743922026599
KICHKIRCKIRP	ZNF496|84838	1	mod7	-0.745346158443095	6.72292439935509e-06	3.86568152962918e-05	0.168981940631557
KICHKIRCKIRP	ZNF749|388567	1	mod3	-0.735571304747758	1.6840887841371e-05	8.60756489670073e-05	0.141349065582605
PRAD	ZNF426|79088	1	mod2	-0.912989838280151	1.58720550151687e-10	5.8409162455821e-08	0.56959432515092
PRAD	ZNF791|163049	1	mod2	-0.999322048320656	4.90418489408034e-10	9.02370020510782e-08	0.549619500832606
PRAD	ZNF699|374879	1	mod2	-0.802108346670658	8.45275499885266e-09	1.03687127985926e-06	0.495123745648885
PRAD	ZNF354C|30832	1	mod2	-0.677840603534187	1.62620778403538e-08	1.49611116131255e-06	0.481726799085157
PRAD	ZNF665|79788	1	mod2	-1.01602555066926	3.0417380090496e-07	2.23871917466051e-05	0.417486070416669
PRAD	ZNF641|121274	1	mod2	-0.760017520371735	4.21089360792435e-07	2.58268141286027e-05	0.409903633898438
