rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF83|55769	1	mod7	0.693044905183738	5.18655764156116e-11	9.54326606047254e-09	0.426514741381822
BRCA	ZNF431|170959	1	mod3	0.711159365594629	1.56583905636743e-11	5.76228772743215e-09	0.388130315431623
BRCA	ZNF701|55762	1	mod7	0.882429701481906	2.3536076012649e-09	1.14120182771611e-07	0.368691642686299
BRCA	ZNF33A|7581	1	mod3	0.69125962239299	1.79200984974049e-10	2.198198749015e-08	0.355772689734736
BRCA	ZNF10|7556	1	mod3	0.577972429396095	2.83127117253747e-10	2.60476947873448e-08	0.349521815706157
BRCA	ZNF780B|163131	1	mod3	0.603117812199886	4.38749641357269e-10	3.2291973603895e-08	0.343481550379559
BRCA	ZNF662|389114	1	mod7	0.527068913495401	1.7324995633309e-08	5.44967527203053e-07	0.336270483644152
BRCA	ZNF841|284371	1	mod7	0.637343467651773	1.77799499106785e-08	5.44967527203053e-07	0.335839387091669
BRCA	ZNF789|285989	1	mod7	0.774166395912148	1.92515702544557e-08	5.44967527203053e-07	0.334515230311189
BRCA	ZNF273|10793	1	mod3	0.563739619318428	8.76090316590733e-10	5.37335394175649e-08	0.333837412763166
BRCA	ZNF700|90592	1	mod7	0.688193063111902	2.79794387875316e-08	6.6712493802211e-07	0.328256504682159
BRCA	ZNF776|284309	1	mod7	0.524668941215095	3.37571388295278e-08	6.6712493802211e-07	0.325093408111075
BRCA	ZNF84|7637	1	mod7	0.690626989298704	3.62567901098973e-08	6.6712493802211e-07	0.323886109146194
BRCA	ZNF721|170960	1	mod3	0.74805337523304	2.48087353851328e-09	1.14120182771611e-07	0.319069246384625
BRCA	ZNF135|7694	1	mod7	0.669862335075981	7.81131808783297e-08	1.30662048014661e-06	0.310787471624653
BRCA	ZNF708|7562	1	mod3	0.577973980040907	4.79996377505694e-09	1.96265185468995e-07	0.309546908612348
BRCA	ZNF439|90594	1	mod7	0.375230199938239	8.39879640822784e-08	1.34380742531645e-06	0.309537907252363
BRCA	ZNF141|7700	1	mod7	0.534753712941443	9.87364193475186e-08	1.45340009279547e-06	0.306742612957616
BRCA	ZNF483|158399	1	mod7	0.378247772373402	1.58809243163241e-07	1.88521940271202e-06	0.298470934557313
BRCA	ZNF418|147686	1	mod7	0.430207686577945	1.96160970335635e-07	2.12315403186805e-06	0.294765581347371
BRCA	ZNF529|57711	1	mod3	0.742921148260971	1.383521985265e-08	5.09136090577519e-07	0.294014316749984
BRCA	ZNF136|7695	1	mod7	0.653649560744148	2.17957724278221e-07	2.22801229262182e-06	0.292910638716317
BRCA	ZNF587|84914	1	mod7	0.334808736414602	3.0332668666439e-07	3.01687082952691e-06	0.287063278361065
BRCA	ZNF549|256051	1	mod7	0.673065473618473	3.16452489895198e-07	3.06459253372192e-06	0.286310637415708
BRCA	ZNF461|92283	1	mod3	0.820841995541217	2.50835525684723e-08	6.59339096085559e-07	0.285143017940752
BRCA	ZNF169|169841	1	mod3	0.710961932243	3.04735330945306e-08	6.6712493802211e-07	0.282218707974049
BRCA	ZNF808|388558	1	mod3	0.751435825894458	3.50861362263935e-08	6.6712493802211e-07	0.280094317323395
BRCA	ZNF432|9668	1	mod3	0.624364458807951	3.57812936215526e-08	6.6712493802211e-07	0.279798157770498
BRCA	ZNF530|348327	1	mod7	0.958891012488546	5.01260043806616e-07	4.72983836207268e-06	0.278092557401723
BRCA	ZNF121|7675	1	mod3	0.471682684627874	4.84235184488223e-08	8.48564513769838e-07	0.275216772653281
BRCA	ZNF44|51710	1	mod7	0.694081730239775	5.99437907294495e-07	5.44901286478591e-06	0.274873763500052
BRCA	ZNF655|79027	1	mod7	0.840334047943601	6.07091107217995e-07	5.44901286478591e-06	0.274644977020258
BRCA	ZNF528|84436	1	mod7	0.529965671227581	6.34692144897895e-07	5.56111212672441e-06	0.273842658725514
BRCA	ZNF720|124411	1	mod7	1.05513270108652	6.6779980863682e-07	5.71512394368255e-06	0.272924108167239
BRCA	ZNF134|7693	1	mod7	0.628817984669179	7.48538328253219e-07	6.2605023817542e-06	0.270858552046474
BRCA	ZNF224|7767	1	mod7	0.617444004835357	8.73338741210833e-07	7.08466665627355e-06	0.268059561514435
BRCA	ZNF606|80095	1	mod7	0.495777069164613	9.04835143600154e-07	7.08466665627355e-06	0.267415114929673
BRCA	ZNF814|730051	1	mod7	0.454862597321777	9.41532612130719e-07	7.21841669300218e-06	0.266691361735091
BRCA	ZNF717|100131827	1	mod7	0.586231637754893	1.01092840643038e-06	7.59227864421183e-06	0.265395136688019
BRCA	ZNF283|284349	1	mod3	0.891963311493256	9.41407260374739e-08	1.4434911325746e-06	0.265057028806361
BRCA	ZNF525|170958	1	mod7	0.409158298878299	1.10174735451047e-06	8.10886052919706e-06	0.263824376541298
BRCA	ZNF91|7644	1	mod3	0.473990406594777	1.05054599567362e-07	1.48692664003035e-06	0.263368388220626
BRCA	ZNF417|147687	1	mod3	0.5075102203316	1.19140160327506e-07	1.60069754783801e-06	0.261427109317833
BRCA	ZNF793|390927	1	mod3	0.390744478007069	1.21792204726805e-07	1.60069754783801e-06	0.261086956134262
BRCA	ZNF493|284443	1	mod7	0.433933586613644	1.33997464898266e-06	9.40013740668957e-06	0.260239101374903
BRCA	ZNF234|10780	1	mod7	0.753960648492849	1.3757051132687e-06	9.40013740668957e-06	0.259755947414814
BRCA	ZNF674|641339	1	mod3	0.845742322330894	1.39683512588984e-07	1.77253560802573e-06	0.258966101470113
BRCA	ZNF761|388561	1	mod7	0.758706101953757	1.47699834448481e-06	9.68240794446326e-06	0.258450169535564
BRCA	ZNF354B|117608	1	mod7	0.63327299545126	1.48791582151855e-06	9.68240794446326e-06	0.258314698291281
BRCA	ZNF714|148206	1	mod3	0.407351792031622	1.56308911122656e-07	1.88521940271202e-06	0.257221938368675
BRCA	ZNF260|339324	1	mod7	0.540540095414104	1.69428928186761e-06	1.07499733746083e-05	0.255921817170387
BRCA	ZNF248|57209	1	mod3	0.743047308657558	1.79862159259118e-07	2.06841483147986e-06	0.255039864955258
BRCA	RBAK|57786	1	mod3	0.673022710801039	1.88992147092036e-07	2.10754879181422e-06	0.254268709926072
BRCA	ZNF43|7594	1	mod7	0.461362309295194	1.94733245546282e-06	1.21460736205139e-05	0.253349894773683
BRCA	ZNF37A|7587	1	mod3	0.668021372469884	2.05217229486656e-07	2.15771258431684e-06	0.252984376802962
BRCA	ZIK1|284307	1	mod7	0.5026401526304	1.98767367309924e-06	1.21910651950087e-05	0.252970379322941
BRCA	ZNF611|81856	1	mod7	0.679391576514207	2.25488452399239e-06	1.31773584506343e-05	0.250632068544305
BRCA	ZNF107|51427	1	mod7	0.258535956650732	2.44001964899245e-06	1.40301129817066e-05	0.249166011926449
BRCA	ZNF519|162655	1	mod7	0.552670197911089	2.50746549884556e-06	1.40714867774223e-05	0.24865883614431
BRCA	ZNF223|7766	1	mod7	0.543935822348818	2.55385484114335e-06	1.40714867774223e-05	0.248317689701407
BRCA	ZNF675|171392	1	mod7	0.398768304981585	2.64248098067293e-06	1.40932318969223e-05	0.247682466508963
BRCA	ZNF256|10172	1	mod7	0.624361282332549	4.19183845524641e-06	2.14249521045928e-05	0.23904481827914
BRCA	ZNF12|7559	1	mod7	0.60138651816578	4.35785450717297e-06	2.19683624471185e-05	0.238313852630241
BRCA	ZNF304|57343	1	mod7	0.646018291622199	5.17809649221885e-06	2.47472663524225e-05	0.235060977974752
BRCA	ZNF300|91975	1	mod7	0.445430550838879	5.35120728670225e-06	2.49445708681323e-05	0.234439364881275
BRCA	ZNF345|25850	1	mod7	0.64691419661101	5.49051695738781e-06	2.49445708681323e-05	0.233953258414883
BRCA	ZNF836|162962	1	mod7	0.608840458783151	6.03184870561443e-06	2.58638665506377e-05	0.232172466180959
BRCA	ZNF667|63934	1	mod7	0.329311526976672	6.11455540735184e-06	2.58638665506377e-05	0.231914262639125
BRCA	ZNF41|7592	1	mod3	0.68803434081222	8.91225006414549e-07	7.08466665627355e-06	0.229753831969872
BRCA	ZNF430|80264	1	mod7	0.500564284743776	7.15581100420935e-06	2.99243005630573e-05	0.228927451225368
BRCA	ZNF682|91120	1	mod7	0.460570803119701	7.88568270647083e-06	3.26059689436097e-05	0.227077801672249
BRCA	ZNF782|158431	1	mod7	0.462543775197433	8.2688683101978e-06	3.35592731827299e-05	0.22617281667375
BRCA	ZNF713|349075	1	mod3	0.44029246233802	1.15791595685952e-06	8.35515827694709e-06	0.225547032380958
BRCA	ZNF382|84911	1	mod7	0.7674473789199	8.9492803243904e-06	3.54122060147921e-05	0.224662641635842
BRCA	ZNF226|7769	1	mod7	0.682954969100968	9.37873794350899e-06	3.67167613107586e-05	0.223766315851929
BRCA	ZNF320|162967	1	mod7	0.502869650520767	1.01539759459264e-05	3.89513267508741e-05	0.222245598830316
BRCA	ZNF337|26152	1	mod7	0.657371311994239	1.01612156741411e-05	3.89513267508741e-05	0.222231940183389
