rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF529|57711	1	mod7	0.872838095601431	1.54647572115558e-21	4.39082813676522e-19	0.69011706192183
BRCA	ZNF780B|163131	1	mod7	0.608676521192373	6.60260747264597e-19	8.09919849977906e-17	0.638402621108237
BRCA	ZNF841|284371	1	mod3	0.774879732006684	2.38631963954631e-21	4.39082813676522e-19	0.62186121559199
BRCA	ZNF417|147687	1	mod7	0.58048164849014	2.04332550197978e-17	1.87985946182139e-15	0.605395313744063
BRCA	ZNF493|284443	1	mod7	0.534775527018796	1.2318521441104e-16	9.06643178065256e-15	0.586950053733952
BRCA	ZNF662|389114	1	mod7	0.56778822697734	2.48715060743102e-16	1.30753060504945e-14	0.579507137956719
BRCA	ZNF708|7562	1	mod7	0.60445120054555	3.20379777999174e-15	1.30999731448551e-13	0.551302998008921
BRCA	ZNF483|158399	1	mod7	0.419496546645828	5.46559524058073e-15	1.95543640843086e-13	0.545177779853702
BRCA	ZNF655|79027	1	mod7	0.970867696612875	5.84505448172267e-15	1.95543640843086e-13	0.544402262831857
BRCA	ZNF141|7700	1	mod7	0.580507799004504	1.12176202146142e-14	3.44007019914836e-13	0.536802700783925
BRCA	ZNF700|90592	1	mod7	0.714172956724156	3.03315077939855e-14	7.59028796202693e-13	0.524966560597426
BRCA	ZNF84|7637	1	mod7	0.717281120042192	5.03631470169568e-14	1.14132726672254e-12	0.51881928200696
BRCA	ZNF10|7556	1	mod7	0.499207676821867	5.27243574301171e-14	1.14132726672254e-12	0.518260007762374
BRCA	ZNF83|55769	1	mod7	0.625120918646192	6.70620304627651e-14	1.37104595612764e-12	0.51531340383715
BRCA	ZNF431|170959	1	mod7	0.627378039191575	8.23262196700465e-14	1.55979206835629e-12	0.512787371365597
BRCA	ZNF224|7767	1	mod7	0.700537496336427	8.47713080628419e-14	1.55979206835629e-12	0.512425811599759
BRCA	ZNF506|440515	1	mod3	1.16464433752678	4.51444305517738e-16	2.0766438053816e-14	0.509951245941148
BRCA	ZNF432|9668	1	mod7	0.635569237861521	1.21479618834564e-13	2.10550538579671e-12	0.507959612605379
