rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod3	0.964515973130909	6.98942016752554e-31	2.5721066216494e-28	0.76364503866435
BRCA	ZNF662|389114	1	mod7	0.912076797212567	8.17799765215944e-25	7.52375783998668e-23	0.744384654449067
BRCA	ZNF33A|7581	1	mod7	1.01161531950811	1.21541256204334e-23	7.45453038053247e-22	0.726153808035041
BRCA	ZNF141|7700	1	mod3	0.976700684909563	4.81618911646852e-27	8.86178797430207e-25	0.71436907294135
BRCA	ZNF776|284309	1	mod7	0.900818297178373	1.42082000256399e-22	6.53577201179435e-21	0.708422753116214
BRCA	ZNF84|7637	1	mod3	1.25545984925142	3.69497875006018e-26	4.53250726674049e-24	0.701630831626005
BRCA	ZNF529|57711	1	mod3	1.20724234612427	2.03203968600937e-24	1.4955812089029e-22	0.674909495592295
BRCA	ZNF525|170958	1	mod7	0.752516417231004	6.09275570790485e-20	1.18007057921526e-18	0.65969744566319
BRCA	ZNF417|147687	1	mod3	0.854445065636424	1.38712376590493e-22	6.53577201179435e-21	0.644173580469182
BRCA	ZNF12|7559	1	mod3	1.20084188268297	2.79555587193345e-22	1.14307173430168e-20	0.638801815597077
BRCA	ZNF121|7675	1	mod3	0.769625217276976	3.54974960292643e-22	1.30630785387693e-20	0.636952710521459
BRCA	RBAK|57786	1	mod7	1.11584101991739	7.90492355911033e-19	9.69670623250868e-18	0.636741330734855
BRCA	ZNF655|79027	1	mod3	1.42095059443323	4.11829007870471e-22	1.3777552263303e-20	0.635797848926516
BRCA	ZNF493|284443	1	mod3	0.821318455282249	1.25236796022486e-21	3.84059507802291e-20	0.627035736338087
BRCA	ZNF562|54811	1	mod3	0.782654392754288	1.4190524610935e-21	4.01701004371082e-20	0.626038363879157
BRCA	ZNF10|7556	1	mod3	0.829138042671444	1.55656631731609e-21	4.09154574837373e-20	0.62529838767873
BRCA	ZNF320|162967	1	mod3	1.03272804757307	5.09723903169331e-21	1.25052264244209e-19	0.615678736708412
