rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF655|79027	1	mod3	1.31949251975643	1.45957902533086e-20	5.37125081321756e-18	0.606942983293943
BRCA	ZNF417|147687	1	mod7	0.697416897620888	2.44899786417163e-17	3.0041040467172e-15	0.60357337670377
BRCA	ZNF841|284371	1	mod7	0.835086963381712	8.06412968069607e-17	7.41899930624038e-15	0.59137521043941
BRCA	ZNF529|57711	1	mod3	0.992644460924231	7.13892010276694e-16	5.25424519563647e-14	0.505146090214358
BRCA	ZNF611|81856	1	mod3	1.0233797423398	1.06534765165596e-15	6.53413226348989e-14	0.50091081946793
BRCA	ZNF224|7767	1	mod7	0.828766574022175	3.29729169546466e-13	1.213403343931e-11	0.495354094287466
BRCA	ZNF780B|163131	1	mod7	0.640376238571671	5.81052037163992e-13	1.9438831788759e-11	0.488062069697007
BRCA	ZNF347|84671	1	mod3	0.874674513936488	2.23999110413386e-14	1.17759532331609e-12	0.467505033373117
BRCA	ZNF432|9668	1	mod7	0.726464078471053	5.3969093953851e-12	1.1682721514716e-10	0.458368550838106
BRCA	ZNF621|285268	1	mod3	0.953275370898821	5.60511008826006e-14	2.57835064059963e-12	0.457024060536188
BRCA	ZNF829|374899	1	mod3	0.784783433765242	6.63629663156007e-14	2.71350795601567e-12	0.455072516484499
BRCA	ZNF585B|92285	1	mod7	0.789991466133534	9.59141938503015e-12	1.93111414746704e-10	0.450439837252506
BRCA	ZNF234|10780	1	mod7	0.977528892568034	1.1544704142466e-11	1.93111414746704e-10	0.44786023490409
BRCA	ZNF83|55769	1	mod7	0.697009038658955	1.69360825867784e-11	2.60859968333328e-10	0.442489808596158
BRCA	ZNF573|126231	1	mod7	0.614125420945141	1.9642731518644e-11	2.70455173378244e-10	0.440398561389828
BRCA	ZNF708|7562	1	mod7	0.649945160458377	1.98431784815559e-11	2.70455173378244e-10	0.440255075563793
BRCA	ZNF81|347344	1	mod7	0.47679230603112	5.4191261130642e-11	6.87668417106078e-10	0.425879734707763
