rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF641|121274	1	mod3	-0.866613479941894	6.16283572871431e-10	1.41745221760429e-08	0.338759644669065
BRCA	ZNF25|219749	1	mod3	-0.571294772760398	1.3033660353982e-08	2.08538565663712e-07	0.294898550061505
BRCA	ZNF117|51351	1	mod7	-0.359506794909999	6.50364251485761e-07	5.41790522350335e-06	0.2734021495431
BRCA	ZFP92|139735	1	mod3	-0.773438412013878	7.96962206012777e-08	9.77606972709007e-07	0.267614623376358
BRCA	ZNF275|10838	1	mod3	-0.603902152616091	3.91473367786529e-07	3.69390254731904e-06	0.242844952642146
ESCASTAD	ZNF213|7760	1	mod7	-1.15242296827305	4.89735727163022e-07	9.88638686998805e-05	0.614524450658733
ESCASTAD	ZSCAN29|146050	1	mod3	-1.33377253641654	5.37303634238481e-07	9.88638686998805e-05	0.470383476708512
KICHKIRCKIRP	ZNF37A|7587	1	mod3	-0.502918574207019	4.52183179610827e-15	1.66403410096784e-12	0.396940348497509
KICHKIRCKIRP	ZNF778|197320	1	mod3	-0.448811171819607	8.33777023456998e-13	1.53414972316088e-10	0.343834844660317
KICHKIRCKIRP	ZKSCAN1|7586	1	mod3	-0.32737496195873	2.00283943702709e-11	1.84261228206492e-09	0.309304835397718
KICHKIRCKIRP	ZKSCAN2|342357	1	mod3	-0.522602783928779	3.44430512298759e-11	2.53500857051887e-09	0.303246218078273
KICHKIRCKIRP	ZNF317|57693	1	mod3	-0.818677485588611	5.80502127882342e-11	3.5604130510117e-09	0.297365466081727
KICHKIRCKIRP	ZNF33A|7581	1	mod3	-0.618265334839152	4.26616794209446e-10	2.24278543241537e-08	0.274463169104675
KICHKIRCKIRP	ZNF445|353274	1	mod3	-0.400916621837268	6.64173705798233e-10	3.05519904667187e-08	0.269286933127619
KICHKIRCKIRP	ZNF197|10168	1	mod3	-0.720658851549324	9.76355484954618e-10	3.99220909403666e-08	0.26475378231359
KICHKIRCKIRP	ZNF264|9422	1	mod3	-0.432321403822405	1.37648988069937e-09	5.06548276097368e-08	0.26069076752128
