rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.837720449013824	1.403515589789e-19	5.1649373704235e-17	0.587477083041025
BRCA	ZNF768|79724	1	mod3	-0.621227326398628	2.39798819647642e-11	2.45127682306479e-10	0.382586951041919
BRCA	ZNF205|7755	1	mod3	-0.480269559851367	6.96932374079521e-11	5.82888894684691e-10	0.36849898218552
BRCA	ZNF777|27153	1	mod3	-0.65420236005744	3.44201822770483e-10	2.07135359919675e-09	0.346834813004492
BRCA	ZNF747|65988	1	mod3	-1.04345283779873	6.24689648304625e-10	3.19285820244586e-09	0.338570707246855
BRCA	ZNF32|7580	1	mod7	-0.758473705109197	3.33244303330367e-08	1.03053700525693e-07	0.325311233222942
BRCA	ZNF282|8427	1	mod3	-0.612231720062602	1.23506117899219e-07	3.34193024903768e-07	0.260870973062356
BRCA	ZNF18|7566	1	mod7	-0.650655277469676	1.16974729302377e-05	2.23039898358936e-05	0.219529884094863
BRCA	ZNF746|155061	1	mod7	-0.908498638498445	1.59930468074321e-05	3.00277613527296e-05	0.213499283162222
LUADLUSC	ZNF511|118472	1	mod7	-0.687167528957126	8.1660821091596e-10	6.67804048037941e-09	0.356651066247944
LUADLUSC	ZNF32|7580	1	mod7	-0.522661128351572	4.17399727027322e-08	2.4000484304071e-07	0.296433740635335
LUADLUSC	ZNF468|90333	1	mod7	-0.68239155175209	7.25309120894824e-06	2.72360976009485e-05	0.209707865614461
PRAD	ZNF689|115509	1	mod3	-0.618844093926597	4.74581203244177e-07	7.81702562636336e-05	0.41357472742557
