rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	0.586738973553234	1.99064454969065e-17	3.6627859714308e-15	0.605657409395361
BRCA	ZNF417|147687	1	mod7	0.572238884390077	3.26436894862236e-17	4.00429257697676e-15	0.600665095630464
BRCA	ZNF841|284371	1	mod7	0.677537869383837	3.63279722781693e-16	3.34217344959157e-14	0.575439112493661
BRCA	ZNF493|284443	1	mod7	0.522367269122592	5.09443711684007e-16	3.74950571799429e-14	0.571775590038189
BRCA	ZNF432|9668	1	mod7	0.663621245308662	9.11061467035231e-16	5.58784366448275e-14	0.565404951282618
BRCA	ZNF655|79027	1	mod7	0.977073649912066	1.13723492040751e-15	5.97860643871374e-14	0.562950256098358
BRCA	ZNF141|7700	1	mod7	0.586457500656544	1.57020479484735e-15	7.22294205629779e-14	0.559354664793125
BRCA	ZNF529|57711	1	mod7	0.754152841206873	2.78243122063265e-14	1.13770521021424e-12	0.526004816522273
BRCA	ZNF708|7562	1	mod7	0.583404612773683	3.19171479168714e-14	1.17455104334087e-12	0.524352305242303
BRCA	ZNF701|55762	1	mod7	0.846500842256757	7.22008767013087e-14	2.29759459298515e-12	0.514405408345327
BRCA	ZNF662|389114	1	mod7	0.529187502534862	7.49215628147333e-14	2.29759459298515e-12	0.513949894000969
BRCA	ZNF829|374899	1	mod7	0.612116660712263	8.43297409655149e-14	2.38718035963919e-12	0.512490348094576
BRCA	ZNF585B|92285	1	mod7	0.691265354657922	1.04640259311515e-13	2.75054395904553e-12	0.509816746368953
BRCA	ZNF33A|7581	1	mod7	0.591261519926267	1.13801696069322e-13	2.79193494356737e-12	0.508773029896887
BRCA	ZNF354B|117608	1	mod7	0.719574040740585	1.45923683815641e-13	3.35624472775973e-12	0.505668422546666
BRCA	ZNF224|7767	1	mod7	0.685360710604006	2.1566872540487e-13	4.66859358523482e-12	0.500751470668443
BRCA	ZNF84|7637	1	mod7	0.691028008165488	4.40583554274049e-13	9.00748599849166e-12	0.491636602306929
BRCA	ZNF483|158399	1	mod7	0.392953369755335	5.65928673298552e-13	1.09611448302035e-11	0.488403762276663
BRCA	ZNF431|170959	1	mod7	0.602614853962249	8.55135798578932e-13	1.57344986938523e-11	0.483029839257422
BRCA	ZNF12|7559	1	mod7	0.686810359666035	2.08125081109413e-12	3.6124801292604e-11	0.471262914700443
BRCA	ZNF83|55769	1	mod7	0.591322067762751	2.15963485988393e-12	3.6124801292604e-11	0.470768231397954
BRCA	ZNF611|81856	1	mod7	0.750801994486663	3.54790597014656e-12	5.6364305729471e-11	0.464082120032869
BRCA	ZFP14|57677	1	mod7	0.562890584534128	3.67593298235681e-12	5.6364305729471e-11	0.463601536689676
BRCA	ZNF81|347344	1	mod7	0.407494603976787	4.84702649012114e-12	7.13482299345832e-11	0.459837879356637
BRCA	ZNF445|353274	1	mod7	0.712253212911926	5.41476533797228e-12	7.66397555528384e-11	0.458323325929193
BRCA	ZNF519|162655	1	mod7	0.608379707236841	6.03123296113161e-12	8.06550560119288e-11	0.456845047678974
BRCA	ZNF430|80264	1	mod7	0.574127387335822	6.13679774003806e-12	8.06550560119288e-11	0.456606785643429
BRCA	ZNF75D|7626	1	mod7	1.10869085662454	1.0160682316405e-11	1.28935554911622e-10	0.449638689127212
BRCA	ZNF573|126231	1	mod7	0.510018568528697	1.06459820063927e-11	1.30590712611751e-10	0.448989556572763
BRCA	ZNF37A|7587	1	mod7	0.635802154099343	1.40954842960969e-11	1.63290852242384e-10	0.445068934994059
BRCA	ZNF273|10793	1	mod7	0.456031992159679	1.46171549384705e-11	1.63290852242384e-10	0.444559324114692
BRCA	ZNF674|641339	1	mod7	0.821752838277982	1.46611957245159e-11	1.63290852242384e-10	0.444517117050372
BRCA	ZNF717|100131827	1	mod7	0.615881218417983	1.5086654826742e-11	1.63290852242384e-10	0.444115625943364
BRCA	ZNF844|284391	1	mod7	0.456445749239944	1.89733990190782e-11	1.99491738257736e-10	0.440888257977851
BRCA	ZNF587|84914	1	mod7	0.335163848051096	2.64842687457717e-11	2.63411105363351e-10	0.43616025803764
BRCA	RBAK|57786	1	mod7	0.643792407919477	2.92852451269958e-11	2.81180313831875e-10	0.434727509628905
BRCA	ZNF678|339500	1	mod7	0.501003287178397	2.97990006506607e-11	2.81180313831875e-10	0.434479304109004
BRCA	ZNF91|7644	1	mod7	0.429767970784148	3.13222411887619e-11	2.8816461893661e-10	0.433767209478111
BRCA	ZNF791|163049	1	mod7	0.598559574596954	5.88008566949041e-11	5.23054273625231e-10	0.424696108369507
BRCA	ZNF44|51710	1	mod7	0.700255438361304	6.08363454491915e-11	5.23054273625231e-10	0.424202010008977
BRCA	ZNF429|353088	1	mod7	0.539013047486398	6.11177547986003e-11	5.23054273625231e-10	0.424134972822755
BRCA	ZNF721|170960	1	mod7	0.635438114041157	7.35237852286913e-11	6.01261176981298e-10	0.421444308582139
BRCA	ZNF420|147923	1	mod7	0.662567392201115	7.54317001703521e-11	6.03453601362816e-10	0.421070363928499
BRCA	ZNF525|170958	1	mod7	0.418157993731359	9.4359323069329e-11	7.3038865217958e-10	0.417792536296267
BRCA	ZNF506|440515	1	mod7	0.998139839212873	9.52680850669018e-11	7.3038865217958e-10	0.417651809325815
BRCA	ZNF347|84671	1	mod7	0.654542645228244	1.01836204588234e-10	7.64810679356536e-10	0.416672021137876
BRCA	ZNF121|7675	1	mod7	0.423306711718516	1.25870406275372e-10	9.26406190186741e-10	0.413547617811418
BRCA	ZKSCAN1|7586	1	mod7	0.317892617983488	1.2856039501043e-10	9.27651477722317e-10	0.413234927514546
BRCA	ZNF10|7556	1	mod7	0.440591999591323	1.3817025569271e-10	9.77820271056099e-10	0.412167742427204
BRCA	ZNF43|7594	1	mod7	0.477048449005709	1.52691068335015e-10	1.06019458768463e-09	0.410685300613711
BRCA	ZNF776|284309	1	mod7	0.477886672430268	1.7196892195609e-10	1.17193635703409e-09	0.408916813153608
BRCA	ZNF720|124411	1	mod7	1.04716115344945	1.88221031865719e-10	1.25936981321063e-09	0.407570233151668
BRCA	ZNF234|10780	1	mod7	0.762508033427439	2.58527303166393e-10	1.69889370652201e-09	0.402814102760985
BRCA	ZNF737|100129842	1	mod7	0.327409726491599	2.74181691062457e-10	1.77015547914008e-09	0.401929109928194
BRCA	ZNF214|7761	1	mod7	0.509401526824809	2.83513318395253e-10	1.78799077856355e-09	0.401424735665212
BRCA	ZNF549|256051	1	mod7	0.647107903393761	2.86661565041439e-10	1.78799077856355e-09	0.401258221999128
BRCA	ZNF461|92283	1	mod7	0.717576036950664	3.36565497885683e-10	2.06426838703219e-09	0.398833275619559
BRCA	ZNF41|7592	1	mod7	0.801525164296668	3.48978052038583e-10	2.07135359919675e-09	0.398284764563809
