rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF662|389114	1	mod7	0.725597110304825	1.13774780670589e-15	9.45796005584233e-14	0.562945250890236
BRCA	ZNF493|284443	1	mod7	0.670566441848242	3.93767056775352e-15	1.91794481470649e-13	0.548947455906242
BRCA	ZNF529|57711	1	mod7	1.00636433251133	5.22318484880737e-15	2.18064682615616e-13	0.545701186943769
BRCA	ZNF141|7700	1	mod3	0.830935672367995	3.96036247456932e-17	1.15739849869541e-14	0.5347099359681
BRCA	ZNF700|90592	1	mod7	0.92719849042362	2.70782190129226e-14	8.79276700165919e-13	0.526331446002711
BRCA	ZNF33A|7581	1	mod7	0.786215418900696	3.25679880768561e-14	9.51785114310337e-13	0.524108752220343
BRCA	ZNF780B|163131	1	mod7	0.707504597853152	8.05205586100214e-14	2.13925261657427e-12	0.51306116445135
BRCA	ZNF10|7556	1	mod7	0.640630992091174	1.24232996901137e-13	2.5933247457075e-12	0.507680080864461
BRCA	ZNF841|284371	1	mod3	0.836794745598096	8.93674567552731e-16	9.45796005584233e-14	0.502774166790734
BRCA	ZNF655|79027	1	mod3	1.23767533532307	1.29452215925125e-15	9.45796005584233e-14	0.498836654031589
BRCA	ZNF83|55769	1	mod3	0.775282331309523	1.76706755361122e-15	1.03283542694683e-13	0.495506475515868
BRCA	ZNF44|51710	1	mod7	0.983854968486512	5.90173004304431e-13	9.58197013444937e-12	0.48786016232151
BRCA	ZNF273|10793	1	mod7	0.622639188896561	8.68942375180374e-13	1.33655044129842e-11	0.482820224143825
BRCA	ZNF432|9668	1	mod7	0.796473292346274	1.63283623996437e-12	2.38594601489822e-11	0.474498592131482
BRCA	ZNF84|7637	1	mod3	1.01126515768052	1.67593119737672e-14	6.12229393210895e-13	0.470778785102199
BRCA	ZNF708|7562	1	mod7	0.720585978574665	3.06851665901329e-12	4.0761840237525e-11	0.466045723481683
BRCA	ZNF431|170959	1	mod7	0.772230490275709	4.09742538553135e-12	4.60559435015058e-11	0.462127309146376
BRCA	ZNF483|158399	1	mod3	0.554848364498208	1.16361975715904e-13	2.5933247457075e-12	0.448533747417731
BRCA	ZNF417|147687	1	mod3	0.700543219887943	1.23834916862969e-13	2.5933247457075e-12	0.447804312824533
BRCA	ZNF525|170958	1	mod7	0.566077257149692	1.31214262137522e-11	1.27822634906594e-10	0.446071762918633
BRCA	ZNF506|440515	1	mod3	1.29670060918982	2.77579822729454e-13	5.40809874783235e-12	0.438259809327185
BRCA	ZNF12|7559	1	mod3	0.969467906361437	5.26723933150979e-13	9.58197013444937e-12	0.430571369428921
BRCA	ZNF345|25850	1	mod3	0.988671079740551	5.8947614428548e-13	9.58197013444937e-12	0.429209888835556
BRCA	ZNF430|80264	1	mod7	0.724825545099554	6.16865204157634e-11	4.87232811679745e-10	0.424000396379082
BRCA	ZNF136|7695	1	mod7	0.835197920072416	6.87616280955852e-11	5.28823239610537e-10	0.422420643266967
BRCA	ZNF587|84914	1	mod7	0.429339502504379	9.97796428472381e-11	7.27285512409153e-10	0.416972007861868
BRCA	ZNF606|80095	1	mod7	0.65815836502183	1.04521648080042e-10	7.27285512409153e-10	0.416289078465894
BRCA	ZNF43|7594	1	mod3	0.679400774978362	2.3572225612683e-12	3.28041864977401e-11	0.412184402640972
BRCA	ZFP14|57677	1	mod7	0.693483780546571	1.60312793461073e-10	1.08955135237992e-09	0.40996139548004
BRCA	ZNF177|7730	1	mod7	0.78484479927654	1.76871736049247e-10	1.17477241425364e-09	0.408497942949266
BRCA	ZNF540|163255	1	mod3	0.649164027779193	3.26527249254459e-12	4.14896309307441e-11	0.408110872211273
BRCA	ZNF224|7767	1	mod3	0.854721618599985	3.75749594610823e-12	4.57546520342255e-11	0.406347239509506
BRCA	ZNF721|170960	1	mod3	0.889434047736579	4.01501058804481e-12	4.60559435015058e-11	0.405512869365874
BRCA	ZNF761|388561	1	mod7	1.00510359440106	2.98320548037274e-10	1.85495461452938e-09	0.400656734046422
BRCA	ZNF214|7761	1	mod3	0.748039941020834	5.93698793879655e-12	6.42614292229807e-11	0.400566166404806
BRCA	ZNF37A|7587	1	mod3	0.884959561029033	6.64576567286431e-12	6.93641343423742e-11	0.39913260492952
BRCA	ZNF701|55762	1	mod7	0.971891784469095	4.31589533707854e-10	2.62771127629151e-09	0.395057223539284
BRCA	ZNF354B|117608	1	mod7	0.832383687577438	4.56050514407471e-10	2.71997459567662e-09	0.39421707287884
BRCA	ZNF91|7644	1	mod3	0.610199601773242	1.12505815502128e-11	1.13376997593119e-10	0.392397064773638
BRCA	ZNF720|124411	1	mod3	1.35325935154263	1.43905693442606e-11	1.35663888387296e-10	0.389222796737521
