rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF529|57711	1	mod7	0.704830967720354	1.17633472084429e-09	4.328911772707e-07	0.379601327785772
BRCA	ZNF540|163255	1	mod7	0.413469646743516	3.97829580548752e-07	5.60242740746479e-05	0.282232308608668
BRCA	ZNF700|90592	1	mod7	0.56765018674491	4.56719625608542e-07	5.60242740746479e-05	0.279762048138826
BRCA	ZNF248|57209	1	mod7	0.641268090989852	7.26251144369764e-07	6.36618493473489e-05	0.271406090533474
BRCA	ZNF789|285989	1	mod7	0.61939334180202	8.64970779175937e-07	6.36618493473489e-05	0.268234600374677
BRCA	ZNF780B|163131	1	mod7	0.425117905690236	1.17228021843219e-06	7.18998533971742e-05	0.262689519988992
BRCA	ZNF345|25850	1	mod7	0.605725422899603	1.60377303835948e-06	7.73837707841153e-05	0.256934135624428
BRCA	ZNF549|256051	1	mod7	0.568704322240278	1.6822558866112e-06	7.73837707841153e-05	0.256053304482084
BRCA	ZNF14|7561	1	mod7	0.450845317478598	1.91999455772345e-06	7.85064441380254e-05	0.253611477399637
BRCA	ZNF732|654254	1	mod7	0.512261348641832	2.20293225312436e-06	8.10679069149765e-05	0.25106466782902
KICHKIRCKIRP	ZNF814|730051	1	mod7	0.634049214127181	2.37715420682236e-07	5.63155343783656e-05	0.216358395108662
KICHKIRCKIRP	ZNF418|147686	1	mod7	0.53223007376883	3.90110973161716e-07	5.63155343783656e-05	0.209483840216819
KICHKIRCKIRP	ZNF354B|117608	1	mod7	0.696533295760183	4.59094030258415e-07	5.63155343783656e-05	0.207212840991435
LUADLUSC	ZNF841|284371	1	mod3	0.714668585540169	1.32855988155692e-14	4.88910036412946e-12	0.436261994665645
LUADLUSC	ZNF587|84914	1	mod3	0.660872113053981	4.09305381674708e-14	6.43416340800953e-12	0.424081029216433
LUADLUSC	ZNF789|285989	1	mod3	0.89782031621641	5.24524190870342e-14	6.43416340800953e-12	0.4213617316435
LUADLUSC	ZNF337|26152	1	mod3	0.699846241135186	1.53205813362884e-12	1.40949348293853e-10	0.383106665411683
LUADLUSC	ZNF662|389114	1	mod3	0.619134539219728	3.66028421722316e-12	2.69396918387624e-10	0.372843691365584
LUADLUSC	ZNF700|90592	1	mod3	0.866320771873692	5.17088460414539e-12	3.13847811736219e-10	0.368727018183954
LUADLUSC	ZNF514|84874	1	mod3	0.509956871435797	5.96993120150417e-12	3.13847811736219e-10	0.367007307247971
LUADLUSC	ZNF23|7571	1	mod3	0.975826286792473	1.94135035172675e-11	8.93021161794306e-10	0.352723674506545
LUADLUSC	ZNF621|285268	1	mod3	0.844431602212504	6.01134817537792e-11	2.45797347615453e-09	0.338744759267385
LUADLUSC	ZNF417|147687	1	mod3	0.875343290439087	1.76095866031288e-10	6.48032786995139e-09	0.325186233787329
LUADLUSC	ZNF83|55769	1	mod3	0.666572377554229	2.83540315146832e-10	9.48571236127584e-09	0.319093672374569
LUADLUSC	ZNF655|79027	1	mod3	1.19904602447619	4.02354244989008e-10	1.23388635129963e-08	0.314584182966332
LUADLUSC	ZNF33A|7581	1	mod3	0.824080745926052	1.31796022159045e-09	3.73084124265604e-08	0.299086457060634
LUADLUSC	ZNF334|55713	1	mod3	0.591458823463106	1.79351237333825e-09	4.71437538134627e-08	0.295009047747109
LUADLUSC	ZNF169|169841	1	mod3	0.853093819997634	2.71538590255532e-09	6.66174674760238e-08	0.289485087062275
LUADLUSC	ZNF224|7767	1	mod3	0.635877932788323	5.98516211163493e-09	1.37658728567603e-07	0.278847594719328
