rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.712585047656385	2.91538280386032e-15	3.28722436804255e-14	0.490102771461049
BRCA	ZNF32|7580	1	mod3	-0.762235420451707	6.36971028426473e-09	1.21198493336404e-08	0.305426708653234
BRCA	ZNF18|7566	1	mod7	-0.792257454863183	3.10324774583331e-07	4.45633788025309e-07	0.286658129415902
BRCA	ZNF205|7755	1	mod3	-0.33687504586549	3.19734445802326e-06	4.03896330848299e-06	0.209037838066663
BRCA	ZNF768|79724	1	mod3	-0.417990710868891	5.63381306254965e-06	6.97211993605792e-06	0.199702436613111
BRCA	ZNF747|65988	1	mod3	-0.733962591270037	8.36225837603448e-06	1.01023070755568e-05	0.193140181014482
BRCA	ZNF71|58491	1	mod3	-0.575394305894215	5.47916747190024e-05	6.0218832302949e-05	0.161319801389656
COADREAD	ZNF415|55786	1	mod7	-0.673823333353437	1.51951970511687e-07	5.59183251483009e-05	0.738317236036113
COADREAD	ZNF239|8187	1	mod7	-0.703804374260356	7.86736407150579e-07	9.6506332610471e-05	0.694739454520859
COADREAD	ZFP82|284406	1	mod3	-0.865679823120794	3.60279126352395e-07	6.62913592488407e-05	0.609449561602363
LUADLUSC	ZNF511|118472	1	mod7	-0.470143621203942	8.47888701774894e-08	5.67314622278475e-07	0.285045004264942
LUADLUSC	ZNF32|7580	1	mod7	-0.366085183104809	7.7959609113925e-07	4.41371325444991e-06	0.248305079572358
LUADLUSC	ZNF468|90333	1	mod7	-0.49857518843546	2.0536912971686e-05	8.89127526303582e-05	0.191136148747097
PRAD	ZNF689|115509	1	mod3	-0.541811384923436	1.90463764712572e-08	4.20215719417926e-06	0.485530027947428
