rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.810959143130756	1.34926702537521e-17	2.48265132669039e-15	0.545268574255837
BRCA	ZNF32|7580	1	mod3	-0.932325916915139	1.11425777629113e-11	2.05023430837569e-10	0.392521134067739
BRCA	ZNF768|79724	1	mod3	-0.533437971818633	3.67523310884535e-08	1.72842941071386e-07	0.279393776590228
BRCA	ZNF205|7755	1	mod3	-0.387619223058322	5.40444296795679e-07	1.63019263295746e-06	0.237736906121464
BRCA	ZNF747|65988	1	mod3	-0.818239794274792	3.80082225526559e-06	8.90893369387093e-06	0.206198142705572
BRCA	ZNF777|27153	1	mod3	-0.482927486200532	1.19365191596801e-05	2.49581764247856e-05	0.187189783212307
BRCA	ZNF584|201514	1	mod3	-0.99832804013315	1.71482114696921e-05	3.4483835086594e-05	0.181096193059164
COADREAD	ZNF627|199692	1	mod3	-0.611117479803992	2.53963795216666e-08	4.67293383198666e-06	0.675772769315196
COADREAD	ZNF511|118472	1	mod3	-0.805543998327309	2.93615339402547e-07	2.3727298980224e-05	0.615003598601454
COADREAD	ZNF32|7580	1	mod3	-0.505111206800661	3.8685813554713e-07	2.3727298980224e-05	0.607499303523346
COADREAD	ZNF555|148254	1	mod2	-0.944146187831919	3.6127039118448e-07	2.3727298980224e-05	0.596315096966391
COADREAD	ZNF565|147929	1	mod3	-1.6971751441939	6.11885062542063e-07	3.21676718593542e-05	0.594709487407421
COADREAD	ZNF530|348327	1	mod3	-1.10497946089282	2.01414044468564e-06	9.26504604555393e-05	0.559568101917108
COADREAD	ZNF222|7673	1	mod2	-1.16658014968252	2.39871649877017e-06	9.80808523941581e-05	0.54139019075207
LUADLUSC	ZNF511|118472	1	mod7	-0.611490508941209	4.12731469922484e-09	3.37522624292165e-08	0.332460150645345
LUADLUSC	ZNF32|7580	1	mod7	-0.435044316656344	1.14535288431938e-06	6.38621002165955e-06	0.241766496987545
LUADLUSC	ZNF468|90333	1	mod7	-0.63709341255272	5.31805949402594e-06	2.47727328329309e-05	0.215176854352286
