rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.791349591464617	3.0053899935056e-27	1.10598351761006e-24	0.717239295112026
BRCA	ZNF780B|163131	1	mod7	0.636081247032908	8.84832239797147e-23	1.62809132122675e-20	0.711924487107316
BRCA	ZNF417|147687	1	mod7	0.61938483789906	2.6204070346695e-22	3.21436596252792e-20	0.703834241412515
BRCA	ZNF655|79027	1	mod7	1.07771655296615	2.93651440716352e-21	2.70159325459044e-19	0.685008738153865
BRCA	ZNF141|7700	1	mod7	0.640295300065613	2.63836754233303e-20	1.61819875929759e-18	0.666877996343117
BRCA	ZNF662|389114	1	mod7	0.594296263923353	2.21925129898399e-19	1.02085559753264e-17	0.648304757637736
BRCA	ZNF432|9668	1	mod7	0.705983750968475	5.54881780468061e-19	2.26884994680274e-17	0.640000100108231
BRCA	ZNF431|170959	1	mod7	0.681031137273509	6.30774407844753e-18	2.11022710988063e-16	0.617020820221466
BRCA	ZNF83|55769	1	mod3	0.682706743018545	7.14051816340998e-21	5.25542136826974e-19	0.612900802877257
BRCA	ZNF33A|7581	1	mod7	0.64648153299884	1.52165742016131e-17	4.66641608849468e-16	0.608343236142545
BRCA	ZNF493|284443	1	mod7	0.537998738792755	1.81054243700529e-17	5.12522782167652e-16	0.606607532065057
BRCA	ZNF529|57711	1	mod7	0.808073101319565	2.34524533305209e-17	6.16464487545121e-16	0.604009632897886
BRCA	ZNF587|84914	1	mod7	0.389020489968697	1.14796111597684e-16	2.64031056674673e-15	0.587689991144913
BRCA	ZNF121|7675	1	mod7	0.498654309575097	4.16344334952793e-16	8.51192862570154e-15	0.573965718950705
BRCA	ZNF483|158399	1	mod7	0.424898019115864	5.40368610144847e-16	1.04660867649107e-14	0.571133934454077
BRCA	ZNF611|81856	1	mod3	0.894513283751867	9.54486505575818e-19	3.51251034051901e-17	0.570247602829838
