rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.668718614331419	4.3762373183517e-17	1.22985369424461e-15	0.533718654498643
BRCA	ZNF32|7580	1	mod3	-0.714725513299658	9.94010701766711e-10	2.85945506528943e-09	0.3320619699914
BRCA	ZNF18|7566	1	mod7	-0.641282243625065	2.13468476493097e-06	3.4356097806313e-06	0.25164837876814
BRCA	ZNF768|79724	1	mod3	-0.414447412700417	3.93255396788685e-07	7.07741383132249e-07	0.242773219912063
BRCA	ZNF747|65988	1	mod3	-0.708069264335033	1.41831112139309e-06	2.34463461126721e-06	0.222273700340774
BRCA	ZNF205|7755	1	mod3	-0.311025260959063	1.59846780129518e-06	2.618755584842e-06	0.220338484493864
BRCA	ZNF71|58491	1	mod3	-0.563823148184146	9.2052826836368e-06	1.36709268557785e-05	0.191537658217065
BRCA	ZNF777|27153	1	mod3	-0.399348489958742	1.42100363355984e-05	2.0438894825556e-05	0.184261848845428
KICHKIRCKIRP	ZNF496|84838	1	mod7	-0.453706057155473	1.15975550017223e-07	9.36579603026437e-07	0.226226149124559
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.360628942514126	1.03471669956016e-06	6.68027623575682e-06	0.178303114109568
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.29693920977153	1.16683104490593e-06	7.15656374208971e-06	0.176737748735154
KICHKIRCKIRP	ZNF189|7743	1	mod3	-0.2872895311676	3.95114247620852e-06	2.17017974812647e-05	0.160711863229462
KICHKIRCKIRP	ZNF124|7678	1	mod3	-0.301648458787432	8.68979258713312e-06	3.99730459008124e-05	0.150226922193793
LUADLUSC	ZNF511|118472	1	mod7	-0.439376646154547	2.14143967123306e-07	1.60826489594647e-06	0.269903424563318
LUADLUSC	ZNF32|7580	1	mod7	-0.336973672365001	2.53816232366451e-06	1.50652215340087e-05	0.228084283623326
LUADLUSC	ZNF468|90333	1	mod7	-0.487172652552341	1.41312914129951e-05	7.22266005553082e-05	0.197846980951543
PRAD	ZNF689|115509	1	mod3	-0.74623242339577	2.01082627287802e-09	3.69992034209557e-07	0.530730606814382
PRAD	ZFP92|139735	1	mod3	-0.816744778609048	1.03645324446069e-08	9.53536984903839e-07	0.498161242800574
PRAD	ZNF287|57336	1	mod7	-0.879844270055709	4.0727402414269e-07	1.87346051105637e-05	0.453027653038712
PRAD	ZNF883|169834	1	mod7	-0.383933280129698	2.25635481106129e-06	5.9309897890754e-05	0.408971211237851
PRAD	ZNF611|81856	1	mod3	-0.514188694155709	8.08644551628035e-07	2.48749164459982e-05	0.400766110990523
PRAD	ZNF154|7710	1	mod7	-0.302128220283132	5.54426855194568e-06	9.71567060531433e-05	0.384530292880771
PRAD	ZNF98|148198	1	mod3	-0.761049164755479	2.73794287213245e-06	6.18343653122541e-05	0.370466191391692
