rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	0.583792305139707	1.59716587534552e-22	2.91753425601637e-20	0.707551190360875
BRCA	ZNF529|57711	1	mod7	0.798460414438417	7.48801642938861e-22	9.11887937652e-20	0.695795682667138
BRCA	ZNF662|389114	1	mod7	0.559715400474107	6.5622739691094e-21	5.99363516269071e-19	0.678484776846869
BRCA	ZNF841|284371	1	mod3	0.693479872807008	2.95034995318175e-23	1.07787765673142e-20	0.655759471968382
BRCA	ZNF493|284443	1	mod7	0.510509833081052	3.40662049707952e-19	2.48914208621616e-17	0.64444505048358
BRCA	ZNF141|7700	1	mod7	0.568489164384932	4.52521538394395e-18	2.75539547943585e-16	0.620243938459654
BRCA	ZNF10|7556	1	mod7	0.496426226412814	6.02491877879201e-18	3.14448185969937e-16	0.617467626673192
BRCA	ZNF483|158399	1	mod7	0.405011185254501	1.02517743833014e-17	4.35509007635843e-16	0.612258711034526
BRCA	ZNF655|79027	1	mod7	0.937418132732872	1.1086877247905e-17	4.35509007635843e-16	0.611485397895093
BRCA	ZNF83|55769	1	mod7	0.620021371188225	1.19206848037375e-17	4.35509007635843e-16	0.610767985625857
BRCA	ZNF12|7559	1	mod7	0.718884625007743	1.38592906308752e-17	4.60303475434317e-16	0.609273028681915
BRCA	ZNF84|7637	1	mod7	0.707311271033027	1.60296137815621e-17	4.88020144936443e-16	0.607824270743896
BRCA	ZNF432|9668	1	mod7	0.625921232537758	6.53304271453895e-17	1.59118316679221e-15	0.593556937104036
BRCA	ZNF417|147687	1	mod7	0.520447909670913	1.30772601750203e-16	2.74892277342923e-15	0.586321979140347
BRCA	ZNF708|7562	1	mod7	0.56772465745895	1.35437555695011e-16	2.74892277342923e-15	0.585953227193751
BRCA	ZNF33A|7581	1	mod7	0.583827292337987	1.43018065208481e-16	2.7500034240975e-15	0.585379634229395
BRCA	ZNF525|170958	1	mod7	0.452089828511197	3.36023759448656e-16	6.13812781853215e-15	0.576279691024984
BRCA	ZNF273|10793	1	mod7	0.469107822438136	2.28799024218464e-15	3.98043751065098e-14	0.555121980205524
BRCA	ZNF700|90592	1	mod7	0.667015115269833	3.08960833051063e-15	5.13070073404997e-14	0.551716231776446
BRCA	ZNF431|170959	1	mod7	0.589408302164856	5.41081216520553e-15	8.59469676802526e-14	0.545294057866329
BRCA	ZNF721|170960	1	mod7	0.659874430959785	1.16922938386846e-14	1.70865998741136e-13	0.536315372380251
BRCA	ZNF506|440515	1	mod3	1.03615751641911	5.50687072252254e-17	1.43705298996193e-15	0.531429384051638
BRCA	ZNF260|339324	1	mod7	0.581663157393129	1.95844343681492e-14	2.64998371946247e-13	0.53020796353721
BRCA	ZNF345|25850	1	mod3	0.794685720552967	8.8911100699422e-17	2.03016782754772e-15	0.526621592290141
BRCA	ZNF793|390927	1	mod7	0.360584938622682	3.53309097121591e-14	4.5254682399382e-13	0.523125063074139
BRCA	ZNF91|7644	1	mod7	0.434215205635887	3.71435065082354e-14	4.5254682399382e-13	0.52251968302987
BRCA	ZNF776|284309	1	mod7	0.497283890332664	3.71611237874117e-14	4.5254682399382e-13	0.522513941649515
BRCA	ZFP14|57677	1	mod7	0.549771414690333	3.91785609940287e-14	4.61724291743225e-13	0.521873422985764
BRCA	ZNF136|7695	1	mod7	0.65131888016383	4.4465386356085e-14	5.07654253009319e-13	0.520336371618558
BRCA	ZNF606|80095	1	mod7	0.510832540786394	1.21563331188222e-13	1.26890902188273e-12	0.507951023177203
BRCA	ZNF587|84914	1	mod7	0.331618201172989	1.68505565646386e-13	1.66382813149825e-12	0.503862974030105
BRCA	ZNF439|90594	1	mod7	0.357721777481369	1.75672545756436e-13	1.6889478320305e-12	0.503339117489375
BRCA	RBAK|57786	1	mod7	0.636431680752274	2.0584552434017e-13	1.9282918188787e-12	0.501340712654956
BRCA	ZNF549|256051	1	mod7	0.665589995727215	2.12431150757085e-13	1.94023416398342e-12	0.500942731653893
BRCA	ZNF169|169841	1	mod7	0.603708235766659	4.56388576311135e-13	4.06674410270088e-12	0.491182720627701
BRCA	ZNF829|374899	1	mod7	0.551046738299066	4.95774635966287e-13	4.21222717653289e-12	0.490115157896369
BRCA	ZNF667|63934	1	mod7	0.357788052704395	5.08105459997785e-13	4.21887951110389e-12	0.489797893104907
BRCA	ZNF737|100129842	1	mod7	0.331101650446191	7.32177275966823e-13	5.94428562377464e-12	0.485057216965611
BRCA	ZNF248|57209	1	mod7	0.716747694135047	7.7755382485622e-13	6.17544939781105e-12	0.484272847050235
BRCA	ZNF430|80264	1	mod7	0.543169009357504	9.05495045429877e-13	7.03856551630137e-12	0.482280576334498
BRCA	ZNF720|124411	1	mod3	1.09035139925828	7.42843768492726e-15	1.13079057457373e-13	0.47985602300869
