rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.707391073715708	7.45318273933103e-12	1.24671420366992e-10	0.397671720042741
BRCA	ZNF32|7580	1	mod3	-0.805313340922162	3.36939752095015e-08	1.15882082963519e-07	0.280705134307713
BRCA	ZNF747|65988	1	mod3	-0.810231341405579	8.04176288651526e-06	1.61875545260741e-05	0.193791475674428
BRCA	ZNF71|58491	1	mod3	-0.679266794255261	1.35111430348978e-05	2.61581932984392e-05	0.185109683257023
BRCA	ZNF205|7755	1	mod3	-0.349284776131561	1.3576670978266e-05	2.61581932984392e-05	0.185028379333502
ESCASTAD	ZNF394|84124	1	mod3	-1.91820762995755	4.67182288177076e-06	8.18681343091257e-05	0.411677597995778
KICHKIRCKIRP	ZSCAN21|7589	1	mod3	-0.551225135310138	8.97605731059276e-07	7.02806189425135e-06	0.180151756727661
KICHKIRCKIRP	ZNF189|7743	1	mod3	-0.36779255122347	1.06574522580734e-06	7.84388486194203e-06	0.177918439208206
KICHKIRCKIRP	ZNF124|7678	1	mod3	-0.37278282503477	6.08666541244286e-06	3.49983261215464e-05	0.154975877799289
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.398632109778927	1.09278395027468e-05	6.09309838941031e-05	0.147159767900017
KICHKIRCKIRP	ZNF268|10795	1	mod3	-0.358447699399967	1.2545233368413e-05	6.50315751791111e-05	0.145308458191526
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.327598846513042	1.25468528198828e-05	6.50315751791111e-05	0.145306725499938
LUADLUSC	ZNF511|118472	1	mod7	-0.545914954354733	2.26015139372285e-08	1.3060535631444e-07	0.306156798213564
LUADLUSC	ZNF32|7580	1	mod7	-0.429660778991238	1.83277799561765e-07	9.63517574838994e-07	0.272467251596493
LUADLUSC	ZNF468|90333	1	mod7	-0.578876975613792	9.32526246343058e-06	3.57468394431505e-05	0.205255898564686
LUADLUSC	ZNF627|199692	1	mod7	-0.366660917397123	9.48827336153107e-06	3.58802060931294e-05	0.204948132310047
