rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod3	0.711546622629718	1.62173927997285e-17	5.96800055030009e-15	0.543481768361592
BRCA	ZNF655|79027	1	mod3	1.13645716570233	5.29023786305696e-17	9.73403766802482e-15	0.531829975154719
BRCA	ZNF841|284371	1	mod7	0.767945777001731	1.87655152380524e-14	1.15095160126722e-12	0.530716703251019
BRCA	ZNF662|389114	1	mod7	0.631200258998346	3.04115510811583e-14	1.59877868540947e-12	0.524934810272313
BRCA	ZNF141|7700	1	mod3	0.731600126794193	1.13566353636147e-16	1.3930806046034e-14	0.524146602101525
BRCA	ZNF529|57711	1	mod7	0.877886244580194	8.98828099344332e-14	3.30768740558714e-12	0.511701724146637
BRCA	ZNF417|147687	1	mod3	0.665021754570151	4.37274024199545e-16	4.02292102263582e-14	0.510283930930523
BRCA	ZNF83|55769	1	mod7	0.726147601449003	1.05992224074603e-13	3.54592167813217e-12	0.509657245295542
BRCA	ZNF431|170959	1	mod3	0.756264050985697	1.27908205662485e-15	9.41404393675889e-14	0.498964632144001
BRCA	ZNF33A|7581	1	mod7	0.677880502331989	1.06828791072614e-12	2.62086634098146e-11	0.480109776509125
BRCA	ZNF700|90592	1	mod7	0.796392114691743	1.20894110196896e-12	2.72873333936091e-11	0.47847996165075
BRCA	ZNF708|7562	1	mod3	0.66202337607228	3.73922506220501e-14	1.64834445206833e-12	0.461674298445912
BRCA	ZNF493|284443	1	mod3	0.615708511884707	4.03127719255843e-14	1.64834445206833e-12	0.460813310921411
BRCA	ZNF432|9668	1	mod7	0.705727829709383	5.13353593985e-12	9.07344125655106e-11	0.459053123291265
BRCA	ZNF776|284309	1	mod7	0.590456996197189	1.13008552439063e-11	1.80813683902501e-10	0.448157934174149
BRCA	ZNF224|7767	1	mod7	0.76183412069438	1.50011467321325e-11	2.07466606488034e-10	0.444195422402115
BRCA	ZNF587|84914	1	mod7	0.398874435284887	1.57855026675678e-11	2.07466606488034e-10	0.443479525239927
BRCA	ZNF84|7637	1	mod3	0.863386706659877	3.98584813617483e-13	1.19451596406855e-11	0.433929618547323
BRCA	ZNF121|7675	1	mod3	0.555059151481615	4.2197574817639e-13	1.19451596406855e-11	0.433244159927893
BRCA	ZNF169|169841	1	mod7	0.718195172612994	6.65279206165306e-11	6.9430668828304e-10	0.422901557369347
BRCA	ZNF273|10793	1	mod7	0.524583635377821	6.92551597920648e-11	6.9430668828304e-10	0.422316444450976
BRCA	ZNF829|374899	1	mod3	0.695489290619217	1.05001447632349e-12	2.62086634098146e-11	0.422176919673514
