rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.713810895251535	2.3061878925974e-15	1.21239592067977e-13	0.492639663560952
BRCA	ZNF768|79724	1	mod3	-0.49849926602362	2.61293720193746e-08	8.87845814640178e-08	0.284530240735138
BRCA	ZNF32|7580	1	mod7	-0.635806103101752	6.59998716762021e-06	1.2850768664996e-05	0.23046445342625
BRCA	ZNF747|65988	1	mod3	-0.787696932199168	1.36950730027731e-06	2.94724378071375e-06	0.222839601713042
BRCA	ZNF18|7566	1	mod7	-0.630133364588462	2.16945669581115e-05	3.74816931482865e-05	0.207583700172677
BRCA	ZNF777|27153	1	mod3	-0.465568374604946	4.64918288130477e-06	9.1983833350546e-06	0.20287836984913
BRCA	ZNF584|201514	1	mod3	-0.874292529771203	5.27647000321713e-05	8.62995982748401e-05	0.161967108127876
COADREAD	ZNF511|118472	1	mod3	-0.745749343712804	3.2620152804214e-07	3.18605774766382e-05	0.612156382550799
LUADLUSC	ZNF511|118472	1	mod7	-0.413846692882495	2.76562810242063e-06	1.64153409950128e-05	0.226595884559483
LUADLUSC	ZNF32|7580	1	mod7	-0.326964006560812	1.04636466228003e-05	5.00080773661106e-05	0.203208512057942
PRAD	ZNF689|115509	1	mod3	-0.566035415892851	1.12510929653646e-07	2.07020110562709e-05	0.446893175669316
