rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF83|55769	1	mod3	0.78914556644313	3.64993269516593e-17	1.15538584645446e-14	0.535518732740439
BRCA	ZNF529|57711	1	mod3	1.00587176572594	6.95252306458114e-16	1.10041025641434e-13	0.505424748575078
BRCA	ZNF345|25850	1	mod3	1.03507097072945	2.75307542261362e-15	1.93112016024228e-13	0.490723865621869
BRCA	ZNF841|284371	1	mod3	0.809407469984561	2.76366882788645e-15	1.93112016024228e-13	0.490682248029615
BRCA	ZNF780B|163131	1	mod3	0.743587880859357	3.05026179470348e-15	1.93112016024228e-13	0.489611875005595
BRCA	ZNF141|7700	1	mod3	0.770532748786693	7.58917973331036e-15	4.00392353429739e-13	0.479619148719195
BRCA	ZNF84|7637	1	mod3	0.983159151100378	3.00814833497458e-14	1.36032724065935e-12	0.464157434728534
BRCA	ZNF33A|7581	1	mod7	0.73997937276749	3.57388827460381e-12	8.08081423128635e-11	0.463983235180127
BRCA	ZNF662|389114	1	mod3	0.720460030115646	4.31107822665849e-14	1.70583925171967e-12	0.460043924395494
BRCA	ZNF417|147687	1	mod3	0.686991292319894	1.09806958584529e-13	3.86215358493854e-12	0.449212396340942
BRCA	ZNF655|79027	1	mod3	1.13234114174751	3.48447687832437e-13	1.1030108234176e-11	0.435542282641475
BRCA	ZNF12|7559	1	mod3	0.93938423970105	1.09235288912413e-12	3.14349275311594e-11	0.42169230723342
BRCA	ZNF224|7767	1	mod3	0.844478110505957	2.0757372001345e-12	5.4756201056592e-11	0.413766755483386
BRCA	ZNF430|80264	1	mod3	0.77599175730047	2.62146426606545e-12	6.38326356413594e-11	0.410859178878224
BRCA	ZNF10|7556	1	mod7	0.576259928327346	1.54384760125627e-10	1.81001781813331e-09	0.410521435139742
BRCA	ZNF169|169841	1	mod7	0.78505711335345	1.619215237811e-10	1.83058010377638e-09	0.409812899229958
BRCA	RBAK|57786	1	mod7	0.818191018053701	1.73080190922826e-10	1.88925923879052e-09	0.408820860152511
BRCA	ZNF555|148254	1	mod7	0.992404852307045	2.61625342884508e-10	2.36621363803621e-09	0.402634883627194
BRCA	ZNF700|90592	1	mod3	0.860987953434672	5.56739973009768e-12	1.17490656895831e-10	0.401381699333217
BRCA	ZNF708|7562	1	mod3	0.676508225758229	7.44271166373509e-12	1.47249354195457e-10	0.397689653148275
BRCA	ZNF493|284443	1	mod3	0.628723655594601	8.25152929407324e-12	1.53648282991198e-10	0.396372378100041
BRCA	ZNF135|7694	1	mod7	0.804857610217682	4.03693414156286e-10	3.36287136155741e-09	0.396074045537975
BRCA	ZFP14|57677	1	mod3	0.721529444602973	1.01965761740059e-11	1.79318067507628e-10	0.393661126518099
BRCA	ZNF431|170959	1	mod7	0.712317260292649	4.95456979439357e-10	3.63352945960638e-09	0.392951944354225
BRCA	ZNF776|284309	1	mod7	0.613742708293491	5.03837316878664e-10	3.63352945960638e-09	0.3926955967244
BRCA	ZNF525|170958	1	mod3	0.555799905762164	1.16196254782687e-11	1.93589017718109e-10	0.39198175869914
BRCA	ZNF789|285989	1	mod7	0.891914276762589	5.28734117766146e-10	3.71934965640248e-09	0.391957865922041
BRCA	ZNF506|440515	1	mod3	1.19198485268123	1.80320714726162e-11	2.85402525220659e-10	0.386299861912484
BRCA	ZNF418|147686	1	mod7	0.52243859503798	9.01477058972257e-10	5.82372402076658e-09	0.383739791222071
BRCA	ZNF562|54811	1	mod3	0.587530401347838	2.7973798121472e-11	4.21671577460792e-10	0.380571473606441
BRCA	ZNF33B|7582	1	mod7	0.34885929216502	1.25600237265392e-09	7.36273020818692e-09	0.378578222015486
BRCA	ZNF587|84914	1	mod7	0.408872900403617	1.30952443147732e-09	7.53690607012156e-09	0.377925868742377
BRCA	ZNF667|63934	1	mod3	0.502102713009467	4.18334846594656e-11	6.0192661718531e-10	0.375276711173544
BRCA	ZNF300|91975	1	mod3	0.621263216696469	4.47617031197959e-11	6.16057080536737e-10	0.374382318638476
BRCA	ZNF273|10793	1	mod7	0.547237604468996	1.82365263307539e-09	9.78435706822345e-09	0.372725562413894
BRCA	ZNF234|10780	1	mod3	1.02542892383379	5.27202471421603e-11	6.95357883474433e-10	0.372213886071971
BRCA	ZNF814|730051	1	mod7	0.566367397379674	2.96882608177756e-09	1.42391153479293e-08	0.36499832837266
BRCA	ZNF260|339324	1	mod3	0.762725861591392	1.03495520400002e-10	1.31045988436962e-09	0.363199879860125
BRCA	ZNF621|285268	1	mod3	0.859524774473482	1.12775195887864e-10	1.3730375961404e-09	0.362043568177197
BRCA	ZNF606|80095	1	mod7	0.613899507659642	3.59165117366461e-09	1.67196593585768e-08	0.361954132142767
BRCA	ZNF793|390927	1	mod7	0.425795402539588	4.08120572158346e-09	1.87232649539691e-08	0.359903886924809
BRCA	ZNF75D|7626	1	mod3	1.22110424340015	2.03002419065595e-10	2.14201321296549e-09	0.354074028654455
BRCA	ZNF354B|117608	1	mod3	0.734888520953888	2.14095147064273e-10	2.16255860406711e-09	0.35334806635072
BRCA	ZNF304|57343	1	mod7	0.842748237472439	6.20868324703975e-09	2.58599748624684e-08	0.353128284008933
BRCA	ZNF320|162967	1	mod3	0.752969911101688	2.18612845318647e-10	2.16255860406711e-09	0.353062917458012
BRCA	ZNF43|7594	1	mod3	0.615157883876285	2.28018221006686e-10	2.18724685172522e-09	0.352487345791111
BRCA	ZNF283|284349	1	mod3	1.05968976855035	2.5745735825397e-10	2.36621363803621e-09	0.350825422862065
BRCA	ZNF625|90589	1	mod7	0.706421321799442	7.43830144370695e-09	2.85643352647242e-08	0.35018941832743
BRCA	ZNF285|26974	1	mod7	0.686739836989979	7.73628759923702e-09	2.88108364882772e-08	0.349548904723535
BRCA	ZFP90|146198	1	mod3	1.11731951116149	3.0757949441402e-10	2.70456276705415e-09	0.348383578742454
BRCA	ZNF177|7730	1	mod3	0.724799749329048	3.22870018343017e-10	2.76228306770192e-09	0.347716060338734
BRCA	ZNF530|348327	1	mod7	1.14008435317601	9.02375623414995e-09	3.24598769893396e-08	0.347032964279728
BRCA	ZNF432|9668	1	mod3	0.714215986626012	4.43472211084877e-10	3.5995150285145e-09	0.343333254202499
BRCA	ZNF765|91661	1	mod3	1.07374566893107	4.76324945915663e-10	3.63352945960638e-09	0.342342546074174
BRCA	ZNF540|163255	1	mod3	0.58203721173163	4.80653164933797e-10	3.63352945960638e-09	0.342217046988593
BRCA	ZNF45|7596	1	mod7	1.01616427680625	1.21306178037956e-08	4.12897409520581e-08	0.342171629921485
BRCA	ZNF567|163081	1	mod3	0.914787126119901	5.05055581754958e-10	3.63352945960638e-09	0.341529571639578
BRCA	ZNF675|171392	1	mod7	0.498275224327702	1.27266700383514e-08	4.28577253885871e-08	0.341380315468174
BRCA	ZNF85|7639	1	mod3	0.764539321710216	6.26353640237505e-10	4.31026489268706e-09	0.338533602479569
BRCA	ZSCAN29|146050	1	mod7	1.00472074307219	1.53228824969366e-08	4.94944591083263e-08	0.338309280416954
BRCA	ZNF441|126068	1	mod3	0.631467442563518	6.70267004718812e-10	4.51431822129504e-09	0.337587789936306
BRCA	ZNF483|158399	1	mod3	0.469223398073818	8.29266836624501e-10	5.4688403754619e-09	0.334608284131286
BRCA	ZNF286A|57335	1	mod3	0.582055470443298	9.86883216431166e-10	6.24795576027018e-09	0.332163267016136
BRCA	ZNF136|7695	1	mod3	0.805269520022143	1.06519817975834e-09	6.61153690555978e-09	0.331087597084162
BRCA	ZNF37A|7587	1	mod3	0.787966793566366	1.1441981775106e-09	6.96530430645188e-09	0.330078358535875
BRCA	ZNF836|162962	1	mod3	0.809819734176339	1.16635768543922e-09	6.96623422747742e-09	0.329807524725714
BRCA	ZNF550|162972	1	mod7	0.516382615922137	2.83565776020522e-08	8.5488304140357e-08	0.32803135690529
BRCA	ZNF204P|7754	1	mod3	0.618591240312993	1.43737249843097e-09	8.12500227239774e-09	0.326850868353171
BRCA	ZNF674|641339	1	mod3	0.979281034289124	1.57101894785031e-09	8.72466487838972e-09	0.325588989804485
BRCA	ZNF382|84911	1	mod3	1.04518646684809	1.66326017241014e-09	9.07766980867065e-09	0.324778026954618
BRCA	ZNF439|90594	1	mod3	0.446586631370087	1.92452387155227e-09	1.01534641323669e-08	0.322700105035529
BRCA	ZNF443|10224	1	mod7	0.51503279371967	4.29358325540968e-08	1.21351193740708e-07	0.321020545432551
BRCA	ZNF121|7675	1	mod3	0.525707190825411	2.23077743442616e-09	1.13965568583085e-08	0.320590831158569
BRCA	ZNF829|374899	1	mod3	0.667280229027744	2.23214891221019e-09	1.13965568583085e-08	0.320582039505804
BRCA	ZNF461|92283	1	mod3	0.897593446364375	2.36811247655291e-09	1.18988218815399e-08	0.319735740366937
BRCA	ZNF514|84874	1	mod3	0.681411120113149	2.54133148093121e-09	1.25696599663754e-08	0.318724029715779
BRCA	ZNF182|7569	1	mod3	1.03982418532768	2.629006985754e-09	1.28032601620848e-08	0.318237442214803
BRCA	ZNF229|7772	1	mod7	0.455059407955974	5.30802273343247e-08	1.47390709639248e-07	0.317410008597568
BRCA	ZNF701|55762	1	mod3	0.913059092452953	3.16249072122308e-09	1.49415841209609e-08	0.315581256308355
