rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.677897294149155	1.69221225222137e-12	8.31500447642633e-12	0.416300002296593
BRCA	ZNF18|7566	1	mod7	-0.951532666918056	5.75395938520237e-10	1.28925637312586e-09	0.390662228680216
BRCA	ZFP92|139735	1	mod7	-0.540665888267433	3.13252612461287e-06	3.79808980722118e-06	0.244507768771553
BRCA	ZNF32|7580	1	mod3	-0.688131117608426	6.99272954060074e-07	9.28211155999837e-07	0.233633986151078
BRCA	ZNF25|219749	1	mod7	-0.391147220830425	4.30364582157138e-05	4.49763529824059e-05	0.194163351956636
BRCA	ZNF275|10838	1	mod7	-0.384219841469477	5.19515658219979e-05	5.34948834393718e-05	0.190443577772167
BRCA	ZNF747|65988	1	mod3	-0.71747224979383	2.73035227001427e-05	2.96402242599103e-05	0.173220729960975
BRCA	ZNF768|79724	1	mod3	-0.383155191852008	6.84358270475877e-05	6.970008923385e-05	0.157494139131306
KICHKIRCKIRP	ZNF300|91975	1	mod3	-0.4840156080411	3.40569034114212e-11	3.78112816429084e-09	0.303372720800859
KICHKIRCKIRP	ZNF311|282890	1	mod3	-0.486434728298514	1.00287990837593e-09	5.27228294689063e-08	0.264437443977845
KICHKIRCKIRP	ZNF239|8187	1	mod3	-0.678328158728138	1.77432928572381e-09	8.16191471432953e-08	0.257674149780971
KICHKIRCKIRP	ZNF273|10793	1	mod3	-0.631952451900626	4.72245353879018e-09	1.93095878030532e-07	0.245937075292524
KICHKIRCKIRP	ZNF44|51710	1	mod3	-0.367987523175321	1.11400286977267e-08	3.15348504674108e-07	0.235508385955636
KICHKIRCKIRP	ZNF883|169834	1	mod3	-0.332740844726557	4.42753514394891e-08	1.163809237838e-06	0.218468622980609
KICHKIRCKIRP	ZNF460|10794	1	mod3	-0.331812369848128	8.15527047968705e-08	2.00075969101656e-06	0.210818826751128
KICHKIRCKIRP	ZNF93|81931	1	mod7	-0.539199520301623	1.06506448309809e-06	1.78156240809136e-05	0.195386553981945
KICHKIRCKIRP	ZNF200|7752	1	mod3	-0.830281419606375	5.42293000738075e-07	1.05033591721901e-05	0.186677396212632
PRAD	ZNF287|57336	1	mod3	-0.849648609637443	6.96649787846289e-07	4.27278536545724e-05	0.404375234958654
PRAD	ZFP92|139735	1	mod3	-0.747677032221253	1.28855623744638e-06	6.77412421971809e-05	0.389354294538358
