rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF529|57711	1	mod3	1.00367410072538	9.73570774175024e-26	2.72677959919699e-23	0.695377570388588
BRCA	ZNF84|7637	1	mod7	0.89901738725878	1.15853995005286e-21	1.62242087809988e-19	0.692390936256048
BRCA	ZNF780B|163131	1	mod7	0.680582191148483	6.9210069651572e-21	6.46145820420112e-19	0.678048260194175
BRCA	ZNF10|7556	1	mod7	0.607155717362676	1.59104676675506e-19	7.79568099897478e-18	0.651273259972184
BRCA	ZNF12|7559	1	mod7	0.885113119265624	1.59476227559422e-19	7.79568099897478e-18	0.651252539427855
BRCA	ZNF525|170958	1	mod7	0.569675530581856	3.13233747597486e-19	1.25329415529666e-17	0.645204347197196
BRCA	ZNF33A|7581	1	mod7	0.723766134126094	1.02371344044167e-18	3.58402413936663e-17	0.634342267106083
BRCA	ZNF493|284443	1	mod7	0.594206055831446	7.28367558597211e-18	2.26668198277368e-16	0.615616324793307
BRCA	ZNF662|389114	1	mod7	0.632634365304632	1.14340936641093e-17	3.20246397751825e-16	0.611180465554289
BRCA	ZNF136|7695	1	mod7	0.833299501034862	3.29786967847e-17	7.76039704881046e-16	0.600561384510366
BRCA	ZNF708|7562	1	mod7	0.684424905330276	3.32493132849062e-17	7.76039704881046e-16	0.600478354621844
BRCA	ZNF439|90594	1	mod7	0.460488309354757	1.1018663749436e-16	2.05740683809612e-15	0.58811932832992
BRCA	ZNF345|25850	1	mod3	0.962159912316101	1.67002434394664e-19	7.79568099897478e-18	0.58594305954873
BRCA	ZNF793|390927	1	mod7	0.453463772012813	1.73207503843236e-16	2.78442353573306e-15	0.583356264951554
BRCA	ZNF141|7700	1	mod7	0.656437374261732	1.76999191893665e-16	2.78442353573306e-15	0.58312687384789
BRCA	ZNF273|10793	1	mod7	0.570497884655233	2.63050045399353e-16	3.87763822561009e-15	0.578907881122945
BRCA	ZNF33B|7582	1	mod7	0.357958722387147	6.20782331026727e-16	8.69344397288429e-15	0.569619709500841
BRCA	RBAK|57786	1	mod7	0.806584905210907	7.33594507544135e-16	9.4393185757022e-15	0.567790190874509
