rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod3	0.716966354728291	6.27335911845183e-19	2.30859615559027e-16	0.574079351067274
BRCA	ZNF83|55769	1	mod7	0.604733988997583	9.54531248687484e-14	7.02534999033988e-12	0.510957014501958
BRCA	ZNF655|79027	1	mod3	0.997018675760691	8.35202415128631e-16	1.02451496255779e-13	0.503489919811509
BRCA	ZNF780B|163131	1	mod7	0.512755949908764	1.07597409470404e-12	6.59930778085147e-11	0.48001544569928
BRCA	ZNF720|124411	1	mod3	1.19765119255898	1.23836949484651e-14	1.13929993525879e-12	0.474172328465147
BRCA	ZNF529|57711	1	mod7	0.702711625549264	1.70307106972324e-12	8.95328790940217e-11	0.473938389879204
BRCA	ZNF224|7767	1	mod7	0.645263325614516	4.57288196436563e-12	1.53196105959231e-10	0.46063233757415
BRCA	ZNF273|10793	1	mod7	0.455669986971786	4.5792314281292e-12	1.53196105959231e-10	0.460613417253502
BRCA	ZNF700|90592	1	mod7	0.638835564860441	1.41078961480286e-11	3.46113718831635e-10	0.445056597842356
BRCA	ZNF417|147687	1	mod7	0.478341506144508	2.7619657372084e-11	6.35252119557931e-10	0.435562450577855
BRCA	ZNF493|284443	1	mod7	0.443690061219298	4.6525673643725e-11	1.00714399417005e-09	0.428084725632168
BRCA	ZNF483|158399	1	mod7	0.355757983613305	1.10763563812771e-10	2.26449952683887e-09	0.415434834646031
BRCA	ZNF10|7556	1	mod7	0.433181607054477	1.26586485063201e-10	2.45178034227673e-09	0.413463747000329
BRCA	ZNF662|389114	1	mod7	0.464442619318636	1.51208264192567e-10	2.78223206114323e-09	0.410830225376921
BRCA	ZNF141|7700	1	mod7	0.492302947217672	1.7044570154517e-10	2.82198398392336e-09	0.409049324048468
BRCA	ZNF708|7562	1	mod7	0.505581190921854	1.74961291800616e-10	2.82198398392336e-09	0.408659797574249
BRCA	ZNF33A|7581	1	mod7	0.519453684000339	1.88781645273689e-10	2.89465189419656e-09	0.407525834704009
BRCA	ZNF429|353088	1	mod7	0.517257664513343	2.18538175591585e-10	3.21688194470813e-09	0.405336797334936
BRCA	ZNF345|25850	1	mod3	0.76986212635089	4.25155777703067e-12	1.53196105959231e-10	0.404791399429116
BRCA	ZNF611|81856	1	mod3	0.762343980324114	4.574493688556e-12	1.53196105959231e-10	0.403867489287549
BRCA	ZNF431|170959	1	mod7	0.539818539881276	2.68558925108891e-10	3.80114170923353e-09	0.402241172156233
BRCA	ZNF441|126068	1	mod3	0.559461456317225	9.09708080728739e-12	2.78977144756813e-10	0.395124163904043
BRCA	ZNF737|100129842	1	mod7	0.317157384393427	5.48619632709568e-10	7.47748240137485e-09	0.391392587475845
BRCA	ZNF506|440515	1	mod3	0.981602096090496	1.29076317572537e-11	3.42185005225934e-10	0.390627197892125
BRCA	ZNF75D|7626	1	mod3	1.05019925447023	1.30179078075084e-11	3.42185005225934e-10	0.390517452129059
BRCA	ZNF701|55762	1	mod7	0.719060117380634	8.20749012580735e-10	1.07869870224897e-08	0.38519245653879
BRCA	ZNF234|10780	1	mod7	0.729705520681178	9.55834399578755e-10	1.21292089325856e-08	0.382831546554676
BRCA	ZNF432|9668	1	mod7	0.532313026161354	1.34320139546754e-09	1.59451004365179e-08	0.377528607924363
BRCA	ZNF461|92283	1	mod7	0.683433925437271	1.53425204229047e-09	1.76438984863405e-08	0.375444054535421
