rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.779983130440903	2.29708092496955e-15	3.56015852469631e-14	0.492682379903633
BRCA	ZNF18|7566	1	mod7	-0.928905607881883	2.45537863160541e-08	5.1362551460996e-08	0.330449025971606
BRCA	ZNF32|7580	1	mod3	-0.850058572966538	2.54204446355352e-09	6.46835826168393e-09	0.318720006782752
BRCA	ZNF768|79724	1	mod3	-0.468322685265037	2.95299416492073e-06	4.40784740279498e-06	0.21034072013333
BRCA	ZNF205|7755	1	mod3	-0.357495938742501	6.42626171181551e-06	9.28457710459238e-06	0.19752056068021
BRCA	ZNF747|65988	1	mod3	-0.786616519282184	1.27091415801801e-05	1.75442572332509e-05	0.18613745497793
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.504339680563333	2.63257922372782e-09	2.84937986568188e-08	0.25296385219205
KICHKIRCKIRP	ZNF268|10795	1	mod3	-0.409004964100169	1.49406744653259e-07	1.16982302196594e-06	0.203172118190118
KICHKIRCKIRP	ZNF124|7678	1	mod3	-0.382710707389453	1.29156772907659e-06	8.48744507678904e-06	0.175412763547445
KICHKIRCKIRP	ZNF470|388566	1	mod3	-0.343215337645385	2.56954582169427e-06	1.52514977803789e-05	0.16639346631461
KICHKIRCKIRP	ZNF671|79891	1	mod3	-0.234592758303435	4.02638611190415e-06	2.24501528663747e-05	0.160462072554262
LUADLUSC	ZNF511|118472	1	mod7	-0.429228948065753	2.87001201224151e-06	1.73141708279488e-05	0.225952641598785
LUADLUSC	ZNF32|7580	1	mod7	-0.338754812927093	1.10740179916735e-05	5.82176945847981e-05	0.202199150437579
PRAD	ZNF689|115509	1	mod3	-0.596701850725475	8.02297266455544e-09	2.9524539405564e-06	0.503387346416008
