rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF10|7556	1	mod7	0.659543579389265	4.20367599571241e-21	4.56050041552666e-19	0.68211460966712
BRCA	ZNF662|389114	1	mod7	0.708383024409114	5.35003679810762e-21	4.56050041552666e-19	0.680154357613376
BRCA	ZNF529|57711	1	mod3	1.03395821138307	1.71773827289689e-23	5.85696615027635e-21	0.659719338544987
BRCA	ZNF841|284371	1	mod3	0.82145828504604	1.7548896512342e-21	2.99182053719251e-19	0.624336797094727
BRCA	ZNF780B|163131	1	mod7	0.691764607553244	3.86665846915438e-18	1.19855743534431e-16	0.621760903794854
BRCA	ZNF12|7559	1	mod7	0.910455742696419	1.09444430341417e-17	3.10976907813455e-16	0.611613187933173
BRCA	ZNF483|158399	1	mod7	0.510514424835331	1.45181287624518e-17	3.8078778924546e-16	0.608811115997347
BRCA	ZNF83|55769	1	mod3	0.747727351369865	6.71377279916024e-20	4.5783855021187e-18	0.593921344719529
BRCA	ZNF431|170959	1	mod7	0.775156555345067	8.97737483015524e-17	2.18643738555983e-15	0.590259132722604
BRCA	ZNF655|79027	1	mod3	1.17751942056065	2.65436102748212e-19	1.45039452549148e-17	0.581827011816985
BRCA	ZNF493|284443	1	mod3	0.68474743178478	2.9776144958316e-19	1.45039452549148e-17	0.580799960828097
BRCA	ZNF141|7700	1	mod3	0.759979590939227	4.8735064523806e-19	2.07714722719432e-17	0.576368375387017
BRCA	ZNF33A|7581	1	mod7	0.732221834419151	3.36584995151631e-16	6.75089808636567e-15	0.576261721752421
BRCA	ZNF273|10793	1	mod7	0.603467931221673	3.80725758784035e-16	7.21199600699921e-15	0.574932773719147
BRCA	ZNF136|7695	1	mod7	0.861427314570268	6.19687260678776e-16	1.1120765653609e-14	0.569639013736451
BRCA	ZNF432|9668	1	mod7	0.7724423634381	8.83408603305017e-16	1.50607760450447e-14	0.565745078713605
BRCA	ZNF417|147687	1	mod3	0.69274304380295	1.82653181556612e-18	6.91991012249433e-17	0.56425522384565
BRCA	ZNF776|284309	1	mod7	0.650910499395837	1.44677801554036e-15	2.34908281587911e-14	0.560269854199002
BRCA	ZNF84|7637	1	mod3	0.971685223974133	2.85572734771171e-18	9.73716349799815e-17	0.560080987599217
BRCA	ZNF439|90594	1	mod7	0.472479891450266	3.73776453175644e-15	5.31026774315691e-14	0.549543635639395
BRCA	ZNF525|170958	1	mod7	0.556424179528591	4.94234872367867e-15	6.74076362719203e-14	0.546338027614388
BRCA	ZNF700|90592	1	mod7	0.835008908834443	7.75697712163396e-15	1.01726683159538e-13	0.54111830795439
BRCA	ZNF708|7562	1	mod3	0.698253046984851	1.22644311895484e-16	2.78786586070673e-15	0.523366332396466
BRCA	ZNF789|285989	1	mod7	0.914162885212245	3.7854776563189e-14	4.30244328555288e-13	0.522289968058224
BRCA	ZNF320|162967	1	mod7	0.723828493583038	6.55280030981524e-14	7.20743876760745e-13	0.515597637555401
BRCA	ZNF345|25850	1	mod3	0.952781170085192	3.16371029790576e-16	6.74205742533799e-15	0.513647557486897
BRCA	ZNF793|390927	1	mod7	0.451621427637484	7.72268613143886e-14	7.74471051551875e-13	0.513576378780329
BRCA	ZNF667|63934	1	mod7	0.461096720791775	1.10727267396146e-13	1.07870392677645e-12	0.509113848654749
BRCA	ZNF260|339324	1	mod7	0.718047894962111	1.45791811835836e-13	1.34352926561106e-12	0.505679746915807
BRCA	ZNF91|7644	1	mod7	0.537015496734483	2.25518528637552e-13	1.92237433567616e-12	0.500186349806154
BRCA	ZNF587|84914	1	mod7	0.414003107243617	4.45870479625527e-13	3.6197214449824e-12	0.491483031517195
BRCA	ZNF606|80095	1	mod7	0.633386407234049	5.51905091344976e-13	4.37634616209504e-12	0.488728660114738
BRCA	ZNF254|9534	1	mod3	0.702693531702558	3.39921689918288e-15	5.0392599612942e-14	0.488434289204198
BRCA	ZNF562|54811	1	mod7	0.548427684379672	6.81207829265673e-13	4.97635689771084e-12	0.485996913473461
