rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.673001797256098	7.45206387762788e-13	7.83531287704874e-12	0.426364159131379
BRCA	ZNF18|7566	1	mod7	-0.748060996073531	7.23887411353189e-07	1.41697110307433e-06	0.271465122111698
BRCA	ZNF32|7580	1	mod7	-0.689848422224332	2.12274070260216e-06	3.82925773802742e-06	0.251752408721655
BRCA	ZNF768|79724	1	mod3	-0.437646721580435	2.43161741274643e-06	4.34386023247906e-06	0.21351675281144
BRCA	ZNF747|65988	1	mod3	-0.68092097482412	5.22785087985279e-05	7.51503563978839e-05	0.162126012754613
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.29189872097524	5.39460634544055e-06	3.05417713095711e-05	0.156581188674082
LUADLUSC	ZNF511|118472	1	mod7	-0.659192230425472	6.63479867071474e-10	4.69539598235197e-09	0.359690987604399
LUADLUSC	ZNF32|7580	1	mod7	-0.525653838591224	5.31599699863127e-09	3.0803363815976e-08	0.328604903567505
LUADLUSC	ZNF468|90333	1	mod7	-0.682503451548178	2.28504106667873e-06	9.2406056322832e-06	0.229902804824712
LUADLUSC	ZNF627|199692	1	mod7	-0.424590787549218	3.7179193975126e-06	1.47117670783294e-05	0.221445739368271
