rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.731659587802054	4.89001702387583e-14	4.34493149340599e-13	0.458596297141059
BRCA	ZNF18|7566	1	mod7	-0.906993467093263	3.29108462494983e-08	5.88024624065103e-08	0.325522028892847
BRCA	ZNF32|7580	1	mod3	-0.822892916929958	3.08320178004788e-09	6.45619414981731e-09	0.315946877570757
BRCA	ZNF747|65988	1	mod3	-0.759826843582147	1.46765737037819e-05	1.88477277933314e-05	0.18371842271408
BRCA	ZNF768|79724	1	mod3	-0.415516839777158	2.4361733709288e-05	3.03374135098092e-05	0.175156404298323
BRCA	ZNF205|7755	1	mod3	-0.317682743662188	4.42200228947321e-05	5.36443464376781e-05	0.164995891904848
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.472554494630228	4.6573373635843e-07	3.17388916629449e-06	0.188639681131657
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.373970963899393	1.58611198262646e-06	9.7281534934423e-06	0.172727495089414
KICHKIRCKIRP	ZNF268|10795	1	mod3	-0.390797862709503	5.01382185408304e-06	2.56262005875355e-05	0.157553617433779
LUADLUSC	ZNF511|118472	1	mod7	-0.550099261153878	4.74356091487156e-08	3.29364229560893e-07	0.294390565884224
LUADLUSC	ZNF32|7580	1	mod7	-0.436342823022883	2.6930603294541e-07	1.52468646344478e-06	0.266113190705136
