rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF662|389114	1	mod7	0.733742672729669	1.82284996576766e-25	5.99273689350872e-23	0.753996809642429
BRCA	ZNF780B|163131	1	mod7	0.728117116345328	9.07599744616672e-23	9.94597576367706e-21	0.711737704131576
BRCA	ZNF141|7700	1	mod7	0.746941270626918	1.15476830026146e-21	9.08685244530111e-20	0.692416514146634
BRCA	ZNF529|57711	1	mod3	1.00209685408765	3.04629886590777e-23	5.00745205179056e-21	0.65552375726256
BRCA	ZNF483|158399	1	mod7	0.520902517842366	1.05272915696094e-19	4.2096093143738e-18	0.654922951536901
BRCA	ZNF83|55769	1	mod7	0.797356376926611	1.28046439063817e-19	4.2096093143738e-18	0.65319710163356
BRCA	ZNF10|7556	1	mod7	0.629173406146336	4.7670811183037e-19	1.42473516389168e-17	0.641389479698678
BRCA	ZNF84|7637	1	mod7	0.894484478571609	1.88667866064762e-18	4.77121372837014e-17	0.628606485197803
BRCA	ZNF12|7559	1	mod7	0.90722105436489	2.12625238666721e-18	4.99299423656918e-17	0.627474617667159
BRCA	ZNF841|284371	1	mod3	0.799911483300298	1.38200366236626e-21	9.08685244530111e-20	0.626249746880356
BRCA	ZNF33A|7581	1	mod7	0.743704960458402	8.3719620744136e-18	1.8348910382673e-16	0.614251941553306
BRCA	ZNF432|9668	1	mod7	0.791079675599399	9.40140720967112e-18	1.93173330548108e-16	0.613112018796783
BRCA	ZNF655|79027	1	mod3	1.17176895747901	1.07826342347848e-20	5.90810097754374e-19	0.609477245903768
BRCA	ZNF345|25850	1	mod3	0.995701986308042	7.12291982032621e-20	3.34529408018009e-18	0.593408058675132
BRCA	ZNF493|284443	1	mod3	0.670429204772086	1.18537478896971e-19	4.2096093143738e-18	0.588962169570309
BRCA	ZNF431|170959	1	mod7	0.758230244454672	1.70093733964156e-16	2.94312698311977e-15	0.583548334304896
BRCA	ZNF417|147687	1	mod3	0.677312700613596	9.19317824233967e-19	2.51859722669081e-17	0.570591735295488
BRCA	ZNF776|284309	1	mod7	0.645510586450475	6.36824398099035e-16	1.04680065195804e-14	0.569340658399989
BRCA	ZNF667|63934	1	mod7	0.476427997007819	1.28274464104858e-15	1.91686626579353e-14	0.561611706551487
BRCA	ZNF169|169841	1	mod7	0.799371873249657	1.95733998863814e-15	2.7977745750104e-14	0.556881722866311
BRCA	ZNF525|170958	1	mod7	0.551931388411181	2.22615780694953e-15	3.04943226975454e-14	0.55543134874486
BRCA	ZNF721|170960	1	mod7	0.834017306926081	2.52251821805066e-15	3.3171765693824e-14	0.554018323892062
BRCA	ZNF136|7695	1	mod3	0.906276219441822	1.01731175936752e-17	1.96734003380333e-16	0.547998448440382
BRCA	ZNF708|7562	1	mod3	0.693725923177063	1.19098201130791e-17	2.1752390099461e-16	0.546476821392524
BRCA	ZNF273|10793	1	mod7	0.573424443627658	1.16291386446069e-14	1.27438479128871e-13	0.536379086768897
BRCA	ZNF439|90594	1	mod7	0.453684078434187	3.41267714330131e-14	3.29982245100381e-13	0.523544207635365
BRCA	ZNF320|162967	1	mod7	0.713729786954598	5.39205229193462e-14	4.66492628062647e-13	0.517985940344841
BRCA	ZNF549|256051	1	mod7	0.841336102861745	5.56735275278705e-14	4.69308498559382e-13	0.517594816476453
BRCA	ZNF91|7644	1	mod7	0.536110917264075	6.8324301651535e-14	5.61551376854457e-13	0.515084238211962
BRCA	ZNF701|55762	1	mod7	0.966069795802776	9.30919550008649e-14	7.46453193704577e-13	0.51126737007098
BRCA	ZNF700|90592	1	mod7	0.793461154648907	1.55627930735208e-13	1.18985317483525e-12	0.504861332151104
BRCA	ZNF782|158431	1	mod7	0.640312174746984	2.03725140597642e-13	1.51389636359412e-12	0.50147149758269
BRCA	ZNF37A|7587	1	mod3	0.849290405542161	1.04801784246797e-15	1.64067918436415e-14	0.501085026627308
BRCA	ZNF793|390927	1	mod7	0.437249581381807	2.8036695287881e-13	1.89317725512414e-12	0.497422614866235
BRCA	RBAK|57786	1	mod7	0.788268604338166	2.8217145128335e-13	1.89317725512414e-12	0.497340941098842
BRCA	ZNF354B|117608	1	mod7	0.814177411212596	3.66324352867667e-13	2.36140186171223e-12	0.49400721113394
BRCA	ZNF418|147686	1	mod7	0.517325981047603	3.91716500212066e-13	2.47652552395882e-12	0.493147719906044
BRCA	ZNF514|84874	1	mod7	0.652002848084899	4.54103115512305e-13	2.77749953219066e-12	0.491247396499719
BRCA	ZNF587|84914	1	mod7	0.405956921782558	5.71210221452562e-13	3.34180805833338e-12	0.488283431313142
BRCA	ZNF33B|7582	1	mod7	0.346007346453034	5.79404776715643e-13	3.34180805833338e-12	0.48809886376171
BRCA	ZNF789|285989	1	mod7	0.868399918472956	6.31389959227967e-13	3.56880666581853e-12	0.486984144367406
BRCA	ZNF304|57343	1	mod7	0.864138355021284	6.49587793334398e-13	3.56880666581853e-12	0.486614988936519
BRCA	ZNF224|7767	1	mod3	0.799814331970778	4.64925871006815e-15	5.87874539711154e-14	0.485014737144816
BRCA	ZNF551|90233	1	mod7	0.51586140824994	8.7663320094069e-13	4.36664881583958e-12	0.482704864400721
BRCA	ZNF43|7594	1	mod3	0.628087466892804	7.21087339255139e-15	8.78007837248795e-14	0.480184754275733
BRCA	ZNF430|80264	1	mod3	0.73306798601021	7.92273687013897e-15	9.30232454493874e-14	0.479142898266497
BRCA	ZNF135|7694	1	mod7	0.771453516499542	1.361034658565e-12	6.39212752784981e-12	0.476913834674465
BRCA	ZNF254|9534	1	mod3	0.674880558799498	9.97175391592204e-15	1.13044084447464e-13	0.476588836237009
BRCA	ZNF836|162962	1	mod7	0.810244388307795	1.48783663065371e-12	6.79355407700612e-12	0.475733548550693
BRCA	ZFP14|57677	1	mod3	0.689641684076251	1.80264131241739e-14	1.91170956178295e-13	0.469958156316068
BRCA	ZNF260|339324	1	mod3	0.757391426858722	2.14381136262373e-14	2.20247443679971e-13	0.468001550740798
BRCA	ZNF540|163255	1	mod3	0.595190026571994	2.21395354856558e-14	2.20561065467147e-13	0.467637357015399
BRCA	ZNF134|7693	1	mod7	0.765867990713868	3.34816941085656e-12	1.48747608111176e-11	0.464866757216867
BRCA	ZNF606|80095	1	mod7	0.607517691901919	3.42028220631132e-12	1.49925312917649e-11	0.464578330206932
BRCA	ZNF214|7761	1	mod7	0.627015291161426	3.54080510880903e-12	1.53166122214417e-11	0.464109267788041
BRCA	ZNF829|374899	1	mod3	0.70099384069083	3.53186725573149e-14	3.31749757700891e-13	0.462326564057959
BRCA	ZNF44|51710	1	mod7	0.836481485432305	4.16492064095062e-12	1.73322093357669e-11	0.461905079385
BRCA	ZNF248|57209	1	mod7	0.869845323447263	4.37654207169827e-12	1.79852056063306e-11	0.461230411389675
BRCA	ZNF121|7675	1	mod3	0.551073469723954	4.20070849871077e-14	3.83613896307852e-13	0.460341405736398
BRCA	ZNF45|7596	1	mod7	1.02465663685174	6.41867684174797e-12	2.60516226214867e-11	0.455989651959514
BRCA	ZNF286B|729288	1	mod7	0.627490342030309	7.25900580317583e-12	2.87523494116829e-11	0.454295492621381
BRCA	ZNF334|55713	1	mod7	0.350391497145179	9.45999302101593e-12	3.70242113370444e-11	0.450631384309145
BRCA	ZNF681|148213	1	mod7	0.430139606366855	9.85648244805939e-12	3.79536176705021e-11	0.450061190024919
BRCA	ZNF611|81856	1	mod3	0.857476197544495	1.24029481656239e-13	9.70845058905028e-13	0.447785902628638
BRCA	ZNF229|7772	1	mod7	0.469550921131066	1.64183439704022e-11	6.06476014621399e-11	0.442926776660133
BRCA	ZNF75D|7626	1	mod3	1.19312965142222	2.07221290141092e-13	1.51389636359412e-12	0.441734825660097
BRCA	ZNF732|654254	1	mod7	0.706446148522974	1.88028410833664e-11	6.83458932983834e-11	0.441015735896419
BRCA	ZNF714|148206	1	mod3	0.481671672536425	2.25841485052077e-13	1.61406186081377e-12	0.440714113372236
BRCA	ZNF765|91661	1	mod3	1.06345594289271	2.64645771323819e-13	1.85114904507943e-12	0.438828476132693
BRCA	ZNF555|148254	1	mod7	0.90440459440503	2.28305111114982e-11	8.15834549605818e-11	0.438269532646192
BRCA	ZNF506|440515	1	mod3	1.10953537544147	2.98712892515424e-13	1.96407582100703e-12	0.437384266991255
BRCA	ZNF844|284391	1	mod7	0.520344183821831	2.4561685571732e-11	8.68259422761862e-11	0.43723199947478
BRCA	ZNF605|100289635	1	mod7	0.691883318527356	2.77608597076762e-11	9.60690713009825e-11	0.435489787003963
BRCA	ZNF227|7770	1	mod7	0.947504401164331	3.29597333098192e-11	1.11708505354159e-10	0.433038442505625
BRCA	ZNF562|54811	1	mod3	0.547782906048205	4.56219104769159e-13	2.77749953219066e-12	0.432305007497206
BRCA	ZNF568|374900	1	mod7	0.870378622633496	3.51076804856904e-11	1.17774250147178e-10	0.432134300501069
BRCA	ZFP90|146198	1	mod3	1.08638934946318	5.34272672511189e-13	3.19355616043697e-12	0.430399422378706
BRCA	ZNF107|51427	1	mod7	0.315716289558036	4.10142607237023e-11	1.36199019026817e-10	0.429901426470082
BRCA	ZNF675|171392	1	mod7	0.487703240014086	4.47668056628184e-11	1.44411448627711e-10	0.428640586551263
BRCA	ZNF814|730051	1	mod7	0.536107825637593	4.4805106088017e-11	1.44411448627711e-10	0.428628257010507
BRCA	ZNF300|91975	1	mod3	0.581086978417435	6.51328355396211e-13	3.56880666581853e-12	0.428000331162945
BRCA	ZNF264|9422	1	mod3	1.00768223924971	6.76715526985126e-13	3.64712453173643e-12	0.427536152059577
BRCA	ZNF674|641339	1	mod3	0.980796243401866	7.19793489174064e-13	3.8167218466714e-12	0.426786212605298
BRCA	ZNF441|126068	1	mod3	0.620615680374275	7.60543279377212e-13	3.96878588868229e-12	0.426116215673843
BRCA	ZNF440|126070	1	mod3	0.737423520961789	8.45166235445765e-13	4.28454507945575e-12	0.424830518815495
