rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF662|389114	1	mod7	0.744887707560166	1.36458281386115e-23	5.02166475500902e-21	0.725343531364903
BRCA	ZNF780B|163131	1	mod7	0.736406150836379	5.74905112051632e-21	1.057825406175e-18	0.679567312184248
BRCA	ZNF10|7556	1	mod7	0.668331059853988	9.39550819563451e-21	1.15251567199783e-18	0.675529906745433
BRCA	ZNF529|57711	1	mod7	1.0032117205364	4.15287641577515e-20	3.82064630251313e-18	0.663004807686599
BRCA	ZNF483|158399	1	mod7	0.528698611580422	1.66997988669635e-18	1.02425433050709e-16	0.629758170583137
BRCA	ZNF141|7700	1	mod7	0.735030803716211	2.5167646839996e-18	1.22144648569489e-16	0.625872340214677
BRCA	ZNF33A|7581	1	mod7	0.764502498918385	1.94787876768162e-17	6.51653987733486e-16	0.605875197132667
BRCA	ZNF12|7559	1	mod7	0.915110161647728	5.18811905093868e-17	1.46863677749649e-15	0.595932198522869
BRCA	ZNF525|170958	1	mod7	0.591213648664429	5.74687159618601e-17	1.51060624814032e-15	0.594879877376799
BRCA	ZNF776|284309	1	mod7	0.674341601383968	2.38166613158794e-16	5.1556066848492e-15	0.579970015064573
BRCA	ZNF439|90594	1	mod7	0.492959243806784	3.15325558796414e-16	6.23370275000501e-15	0.576963694032781
BRCA	ZNF417|147687	1	mod7	0.664388756697172	3.21848783288302e-16	6.23370275000501e-15	0.576743513911163
BRCA	ZNF655|79027	1	mod7	1.16360435733269	6.74926807043677e-16	1.1289684772367e-14	0.568704417080715
BRCA	ZNF493|284443	1	mod3	0.670483283157582	1.52866150865734e-18	1.02425433050709e-16	0.565907139128662
BRCA	ZNF83|55769	1	mod3	0.720720423997915	2.6553184471628e-18	1.22144648569489e-16	0.560763280834356
BRCA	ZNF793|390927	1	mod7	0.4774625656533	2.60874386274826e-15	3.84007096596543e-14	0.553637565400421
BRCA	ZNF841|284371	1	mod3	0.765755302409286	7.17207748657489e-18	2.93258279451062e-16	0.55135515462588
BRCA	ZNF84|7637	1	mod3	0.954653857112079	8.78699457057831e-18	3.23361400197282e-16	0.549408034594569
BRCA	ZNF273|10793	1	mod7	0.600029130503484	4.20064657403965e-15	5.82045672478902e-14	0.548206621886839
BRCA	ZNF587|84914	1	mod7	0.445144609844236	4.27044379264412e-15	5.82045672478902e-14	0.548017589613692
BRCA	ZNF432|9668	1	mod7	0.77147557170529	5.90619527385671e-15	7.76242807421167e-14	0.544281919760708
BRCA	ZNF260|339324	1	mod3	0.8240312879708	5.09332111259125e-17	1.46863677749649e-15	0.532208295246844
BRCA	ZNF418|147686	1	mod7	0.555150337895045	1.97787768285976e-14	2.14076172733057e-13	0.530090279378932
BRCA	ZNF551|90233	1	mod7	0.556793288388163	3.04775824504878e-14	3.03128387615662e-13	0.524908679258254
BRCA	ZNF562|54811	1	mod7	0.579976690651577	3.22910796947738e-14	3.06034541471892e-13	0.524211789624743
BRCA	ZNF304|57343	1	mod7	0.928286263434792	3.24330084712059e-14	3.06034541471892e-13	0.52415887086168
BRCA	ZNF136|7695	1	mod3	0.902936126641812	1.32398502119277e-16	3.24817658532626e-15	0.522588601238679
BRCA	ZNF708|7562	1	mod3	0.691115783201253	1.53879044175281e-16	3.53921801603147e-15	0.521057000117061
BRCA	ZNF135|7694	1	mod7	0.833709202149341	4.60440080272197e-14	4.13273047658948e-13	0.519911901360386
BRCA	ZNF814|730051	1	mod7	0.606975028866058	8.18473407376996e-14	7.00460962592406e-13	0.512859408982714
BRCA	ZNF700|90592	1	mod3	0.868335958600958	3.52164972772985e-16	6.47983549902293e-15	0.512536115207591
BRCA	ZNF431|170959	1	mod7	0.735488200425805	8.41645638405498e-14	7.03921806666416e-13	0.512514574006393
BRCA	ZNF320|162967	1	mod7	0.734395478920311	8.84088245917665e-14	7.22987721106001e-13	0.511906319369954
BRCA	ZNF667|63934	1	mod3	0.523091235731524	3.9524743766647e-16	6.926240812441e-15	0.511336563993718
BRCA	ZNF44|51710	1	mod7	0.910681322011254	9.48322276205259e-14	7.58657820964207e-13	0.51103789436307
BRCA	ZNF91|7644	1	mod7	0.552301285768092	1.00878025388035e-13	7.73398194641599e-13	0.510271415422625
BRCA	ZNF606|80095	1	mod7	0.657813039727095	1.17034497282769e-13	8.78952959184877e-13	0.50842420634437
BRCA	ZNF549|256051	1	mod7	0.858325527226962	1.82688443576531e-13	1.34458694472327e-12	0.502846115169684
BRCA	ZNF440|126070	1	mod3	0.813044779549082	1.66679585128494e-15	2.6668733620559e-14	0.496133303749111
BRCA	ZNF732|654254	1	mod7	0.772717360209823	4.11570161787036e-13	2.83419465639665e-12	0.492512746858328
BRCA	ZNF121|7675	1	mod7	0.547282725321	4.15887259362552e-13	2.83419465639665e-12	0.492378634735244
BRCA	ZNF254|9534	1	mod3	0.699617242375692	2.43825142825202e-15	3.73865218998642e-14	0.492038121352152
BRCA	ZNF229|7772	1	mod7	0.512089616195516	4.36938521928552e-13	2.92351592854013e-12	0.49174353089509
BRCA	ZNF134|7693	1	mod7	0.806699619572848	9.66876632788859e-13	5.930176681105e-12	0.48142044681386
BRCA	ZNF43|7594	1	mod3	0.639896725174683	8.15431915361439e-15	1.02650441274991e-13	0.478823658712364
BRCA	ZNF720|124411	1	mod3	1.31123727823637	8.36824249524383e-15	1.02650441274991e-13	0.478536554332545
BRCA	ZNF169|169841	1	mod7	0.76087081822793	2.13180502979763e-12	1.20692961687004e-11	0.470941830869126
BRCA	ZNF345|25850	1	mod3	0.904564224205048	1.71770358006606e-14	2.03908037891713e-13	0.470501725705742
BRCA	ZNF721|170960	1	mod3	0.836745068055133	1.79907504420853e-14	2.06893630083981e-13	0.469980469853422
BRCA	ZNF681|148213	1	mod3	0.492818537826901	1.87869505166713e-14	2.09502963337425e-13	0.469492317375807
BRCA	ZNF789|285989	1	mod7	0.881361475226437	2.6084576980992e-12	1.45441277712198e-11	0.46823467694529
BRCA	ZNF675|171392	1	mod7	0.527469899985618	2.6518784783301e-12	1.45655414929176e-11	0.468012600895159
BRCA	RBAK|57786	1	mod7	0.790842848794398	2.80261089702527e-12	1.51670707368426e-11	0.467268290705306
BRCA	ZNF765|91661	1	mod3	1.11732482686428	2.70297188775422e-14	2.84198187055301e-13	0.465374312440456
BRCA	ZNF627|199692	1	mod7	0.5724904281425	3.24425713455199e-12	1.73027047176106e-11	0.465293211334612
BRCA	ZNF37A|7587	1	mod3	0.834393706636912	2.87999815631878e-14	2.94399811534809e-13	0.464652996769114
BRCA	ZNF286A|57335	1	mod3	0.613132225446101	3.4128077136414e-14	3.13978309655009e-13	0.46271824265306
BRCA	ZNF782|158431	1	mod7	0.636208310699423	4.10385815225607e-12	2.12707014088765e-11	0.462105975747255
BRCA	ZNF33B|7582	1	mod7	0.34763238127431	4.82713305656344e-12	2.46720134002132e-11	0.459894035951199
BRCA	ZNF860|344787	1	mod7	0.434466164444867	6.25001575841197e-12	3.15069287547343e-11	0.456355653175959
BRCA	ZNF714|148206	1	mod3	0.498618058618804	7.46405770544437e-14	6.53993627524649e-13	0.45371012059065
BRCA	ZNF430|80264	1	mod7	0.675938349142626	9.33415504974531e-12	4.57995874440836e-11	0.450817235080167
BRCA	ZNF300|91975	1	mod3	0.608098176154632	1.00093242017027e-13	7.73398194641599e-13	0.45029480140107
BRCA	ZNF829|374899	1	mod7	0.679652042459844	9.87157565287291e-12	4.77992084244372e-11	0.450039929127463
BRCA	ZNF548|147694	1	mod7	0.913598386190921	1.19453004112843e-11	5.66266460188016e-11	0.447384239611496
BRCA	ZNF625|90589	1	mod7	0.719929879511437	1.4208416808043e-11	6.45518195723437e-11	0.444957070536063
BRCA	ZNF761|388561	1	mod7	0.953815117916876	1.86516899800114e-11	8.26966495499299e-11	0.441129655243801
BRCA	ZNF93|81931	1	mod7	0.455995409286452	2.18603507873794e-11	9.31835200254353e-11	0.438885064650473
BRCA	ZNF107|51427	1	mod3	0.371692518196746	2.6428240497782e-13	1.9069789221929e-12	0.43884484238449
BRCA	ZNF45|7596	1	mod7	1.0403756230088	2.20042819466376e-11	9.31835200254353e-11	0.438792081501914
BRCA	ZNF713|349075	1	mod7	0.524943438232197	2.20297995712306e-11	9.31835200254353e-11	0.438775658421686
BRCA	ZNF443|10224	1	mod7	0.543209602102163	2.51810478963048e-11	1.0296250695378e-10	0.436878058269394
BRCA	ZNF264|9422	1	mod3	1.03873600899702	3.23293857961241e-13	2.2879257640334e-12	0.436439172568607
BRCA	ZNF286B|729288	1	mod3	0.711630911255987	4.91602972357352e-13	3.23053381834831e-12	0.431404487539631
BRCA	ZNF214|7761	1	mod3	0.675947339483362	6.34471776961578e-13	4.04418759097919e-12	0.428318431283157
