rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.794232243089395	1.1430306519055e-17	4.67372533223584e-16	0.546874041987624
BRCA	ZNF32|7580	1	mod3	-0.875650926826288	1.12716056791205e-10	4.76775964358201e-10	0.362050637717581
BRCA	ZNF768|79724	1	mod3	-0.520251023104147	4.06270001347275e-08	9.06105215126044e-08	0.277878229157895
BRCA	ZNF205|7755	1	mod3	-0.405728120582789	5.84441775698579e-08	1.27263061217205e-07	0.272355389664653
BRCA	ZNF747|65988	1	mod3	-0.918746325244536	6.05004457644299e-08	1.30965670831236e-07	0.271828223766695
BRCA	ZNF18|7566	1	mod7	-0.72507362593762	5.33427729214226e-06	8.84240560138897e-06	0.234499282630292
BRCA	ZNF777|27153	1	mod3	-0.512148842946808	1.61860079731693e-06	2.90558582152503e-06	0.220135683731469
BRCA	ZNF584|201514	1	mod3	-0.986400019015589	1.37113809532018e-05	2.10358779547591e-05	0.184862443169861
BRCA	ZNF71|58491	1	mod3	-0.649539842368697	1.38866896709616e-05	2.12045717797256e-05	0.184648882621831
KICHKIRCKIRP	ZNF267|10308	1	mod3	-0.289864897870873	4.83689086501948e-06	3.01690820055452e-05	0.158030558732
KICHKIRCKIRP	ZNF583|147949	1	mod3	-0.34483150654804	7.07556587744776e-06	4.19969071435609e-05	0.152970347037932
LUADLUSC	ZNF511|118472	1	mod7	-0.599296449100512	3.1406265378056e-09	2.06384029627225e-08	0.336598429424024
LUADLUSC	ZNF32|7580	1	mod7	-0.449236713531947	1.91600122795904e-07	9.52822232282332e-07	0.271736590590165
PRAD	ZNF689|115509	1	mod3	-0.523136262398041	3.21535329403462e-07	9.31374609085115e-05	0.422768997690348
