rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF140|7699	1	mod7	-1.53303214676302	4.06178612105341e-17	2.98947458509531e-15	0.598439283606248
BRCA	ZNF74|7625	1	mod3	-1.32316689292279	7.31881419886272e-20	1.34666181259074e-17	0.593172439635495
BRCA	ZNF627|199692	1	mod7	-1.08350683609633	5.06795913361856e-14	3.10834826861938e-12	0.518742863131731
BRCA	ZNF93|81931	1	mod7	-0.882605197256779	8.95027130737694e-14	4.61747308353079e-12	0.511754168305297
BRCA	ZNF239|8187	1	mod7	-0.925259933108435	5.37634748769351e-13	2.19832875052357e-11	0.48906764751662
BRCA	ZNF561|93134	1	mod7	-0.842864909797224	8.07735677079078e-13	2.70224299241001e-11	0.483775483592331
BRCA	ZNF57|126295	1	mod7	-1.13309289036651	1.10830751265752e-12	3.39880970548305e-11	0.47962569200959
BRCA	ZSCAN16|80345	1	mod7	-1.30937775625191	1.25368037047865e-12	3.54887981797034e-11	0.478000187409196
BRCA	ZNF195|7748	1	mod7	-1.28419401943324	2.85664617038707e-12	7.00830527134961e-11	0.467010943937964
BRCA	ZNF496|84838	1	mod3	-1.34213474153929	1.00379849641974e-13	4.61747308353079e-12	0.450261417584423
BRCA	ZNF786|136051	1	mod7	-1.06876206507213	4.57844655472504e-11	7.65849241881279e-10	0.428316429316106
BRCA	ZNF425|155054	1	mod3	-1.22348475972252	8.00605066696576e-13	2.70224299241001e-11	0.425490964417222
BRCA	ZNF544|27300	1	mod7	-1.15731089901458	5.66238338764486e-11	8.68232119438878e-10	0.425243384173618
BRCA	ZNF263|10127	1	mod7	-1.61633018735599	8.2810725578179e-11	1.12867951899148e-09	0.419706097843297
BRCA	ZNF33B|7582	1	mod7	-0.594445407256986	8.96554847217091e-11	1.17832922777103e-09	0.418542775145769
BRCA	ZNF202|7753	1	mod7	-1.18216507468461	1.02056780485167e-10	1.25189650728472e-09	0.416640197884684
BRCA	ZNF837|116412	1	mod7	-1.14724659527028	1.50101069046837e-10	1.78184494868504e-09	0.410939346490897
BRCA	ZNF282|8427	1	mod3	-1.43170388737716	2.71705209224155e-12	7.00830527134961e-11	0.410411821947755
BRCA	ZNF3|7551	1	mod7	-1.63538888670835	2.26321840769215e-10	2.60270116884597e-09	0.404812246012747
BRCA	ZNF785|146540	1	mod7	-1.02524054688628	2.61396177933489e-10	2.91496343877345e-09	0.402648069519967
BRCA	ZNF497|162968	1	mod3	-0.791653387941249	6.01779146978768e-12	1.30267485934227e-10	0.400394503083184
BRCA	ZNF485|220992	1	mod7	-1.04607090434898	3.07892147003512e-10	3.33247970874389e-09	0.400179841126544
BRCA	ZNF250|58500	1	mod7	-1.22149183101526	4.6164946713369e-10	4.71908344181105e-09	0.394030961341987
BRCA	ZNF446|55663	1	mod3	-1.08095221998171	1.25296493335696e-11	2.56161719708534e-10	0.391010459895538
BRCA	ZNF286A|57335	1	mod7	-0.91448819958013	6.54475351722789e-10	6.50937647118882e-09	0.388684352028517
BRCA	ZNF433|163059	1	mod7	-1.25124363587292	7.49036709083503e-10	7.2538291827034e-09	0.386605008989969
BRCA	ZNF586|54807	1	mod7	-1.1514582999921	8.37508320614325e-10	7.90264261502748e-09	0.384879741457896
BRCA	ZNF324B|388569	1	mod3	-1.43409824282096	2.9848396435372e-11	5.30760563962198e-10	0.379720987594113
BRCA	ZNF16|7564	1	mod3	-1.72346429460963	3.02879669652341e-11	5.30760563962198e-10	0.379529142706807
BRCA	ZNF823|55552	1	mod7	-1.03901948721358	1.2302144328981e-09	1.13179727826625e-08	0.378902287338531
BRCA	ZNF26|7574	1	mod7	-1.32566314561941	1.80034351245217e-09	1.61591807946927e-08	0.372928326210442
BRCA	ZNF324|25799	1	mod3	-1.34531832396979	7.01396939580183e-11	1.03245629506203e-09	0.368413743964179
BRCA	HKR1|284459	1	mod3	-1.04835349034997	7.36244762372384e-11	1.04206950981937e-09	0.367766133708966
BRCA	ZNF552|79818	1	mod7	-0.392190205111188	2.99045257136763e-09	2.62020606253164e-08	0.364882562263963
BRCA	ZNF517|340385	1	mod3	-1.25818294881591	9.51208951906254e-11	1.20705135966035e-09	0.36433420185298
BRCA	ZNF101|94039	1	mod7	-0.922297188364523	3.34023426565762e-09	2.85861909246978e-08	0.363115776159486
BRCA	ZNF793|390927	1	mod7	-0.690956717791115	3.8436260510043e-09	3.17633038368284e-08	0.360866983444511
BRCA	ZNF311|282890	1	mod7	-1.02727898568833	3.96354287656415e-09	3.17633038368284e-08	0.36037382040066
BRCA	ZNF630|57232	1	mod7	-1.03327929759985	4.47326903295123e-09	3.46923634659337e-08	0.358428288000854
BRCA	ZNF681|148213	1	mod7	-0.711988531112401	4.52509088686092e-09	3.46923634659337e-08	0.358242769821389
BRCA	ZNF317|57693	1	mod7	-1.93265826917024	5.03724642731446e-09	3.78307486786066e-08	0.356513366748188
BRCA	ZNF85|7639	1	mod7	-1.22975403035179	6.9141805190788e-09	5.08883686204199e-08	0.351379332614715
BRCA	ZNF138|7697	1	mod7	-0.935467708207851	7.98694253197483e-09	5.76312716032694e-08	0.349028514687627
BRCA	ZNF334|55713	1	mod7	-0.570816688197126	8.79930655357566e-09	6.22720156099201e-08	0.347445251958781
BRCA	ZNF777|27153	1	mod3	-1.22012572225106	3.38182915709162e-10	3.55575179945633e-09	0.347077918934907
BRCA	ZNF649|65251	1	mod7	-1.10391145761221	1.09502271223037e-08	7.60317656793915e-08	0.343857491091277
BRCA	ZNF766|90321	1	mod7	-1.52618020662551	1.11773324020301e-08	7.61714504434641e-08	0.343519768581151
BRCA	ZNF675|171392	1	mod7	-0.796756070722181	2.1902081838739e-08	1.46544838484654e-07	0.332362113451538
BRCA	ZNF860|344787	1	mod7	-0.658586175665844	3.12901044002819e-08	2.05620686058996e-07	0.326373810580431
BRCA	ZNF107|51427	1	mod7	-0.509283752957951	3.3959521225112e-08	2.19247435277916e-07	0.324992463423128
BRCA	ZNF883|169834	1	mod7	-0.641184228245923	3.72371204939237e-08	2.36263109340757e-07	0.323434693278676
BRCA	ZNF551|90233	1	mod7	-0.77994215175629	4.40970861443978e-08	2.75046232222685e-07	0.320567228029312
BRCA	ZNF667|63934	1	mod7	-0.66734457939171	4.52574574517343e-08	2.77579072370637e-07	0.320125756425725
BRCA	ZNF439|90594	1	mod7	-0.656695306867982	4.92743208478344e-08	2.97261476590214e-07	0.31867856137824
BRCA	ZNF443|10224	1	mod7	-0.823433385593907	7.09146424707173e-08	4.14231562368635e-07	0.31245024247611
