rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF275|10838	1	mod7	1.35610373164195	1.30083654527691e-18	1.59569282887301e-16	0.632105203052488
BRCA	ZNF117|51351	1	mod3	0.772444404866298	8.74919843018518e-22	3.21970502230815e-19	0.629883931863478
BRCA	ZNF25|219749	1	mod7	1.34485362439293	1.10121111300327e-17	1.01311422396301e-15	0.611552276140492
BRCA	ZFP92|139735	1	mod7	1.43390739034095	5.45591363524441e-12	1.25486013610622e-10	0.458219658422005
BRCA	ZNF160|90338	1	mod3	1.44692914835433	1.6485262374934e-11	3.19293502840828e-10	0.387463560711675
BRCA	ZNF546|339327	1	mod3	1.23727898281647	4.99601897067989e-11	7.99363035308782e-10	0.372927208808127
BRCA	ZNF781|163115	1	mod3	1.02959486865288	1.29027429936787e-07	6.68761890376586e-07	0.260194661918578
BRCA	ZNF436|80818	1	mod3	0.91112465387464	4.98281477821437e-07	2.19260773244337e-06	0.239026394196451
BRCA	ZNF18|7566	1	mod7	1.43289991019451	4.91694672771503e-06	1.7398426882684e-05	0.236038321351365
BRCA	ZNF641|121274	1	mod7	1.05352167108903	1.09605119487413e-05	3.5694410594131e-05	0.220779716483507
BRCA	ZNF684|127396	1	mod3	1.18971377727362	1.80416419832715e-05	5.57926407549907e-05	0.180239081412973
COADREAD	ZNF37A|7587	1	mod3	0.713456428433826	1.27059074761384e-07	2.444582161987e-05	0.636952380466778
COADREAD	ZNF84|7637	1	mod3	0.923350131196576	1.37541655785158e-07	2.444582161987e-05	0.63492829304736
COADREAD	ZNF154|7710	1	mod3	0.591850607193202	2.23321390642403e-07	2.444582161987e-05	0.622312460402941
COADREAD	ZNF621|285268	1	mod3	1.28151239486751	3.67106388529337e-07	2.70190301957592e-05	0.608936116647437
COADREAD	ZNF445|353274	1	mod2	0.743045603295291	2.65715452389891e-07	2.444582161987e-05	0.604607899526267
COADREAD	ZKSCAN2|342357	1	mod2	0.894897164301215	1.26226783549355e-06	7.74190939102711e-05	0.560776564872049
ESCASTAD	ZNF566|84924	1	mod3	1.05484576024829	9.13907568482588e-09	3.36317985201592e-06	0.566150624695222
ESCASTAD	ZNF674|641339	1	mod3	2.01950960261395	4.01777376375541e-08	7.39270372530995e-06	0.533449598826789
ESCASTAD	ZNF534|147658	1	mod3	1.27784734328601	1.02311159339671e-07	1.25501688789996e-05	0.511596283821217
ESCASTAD	ZNF793|390927	1	mod3	0.752410356792587	2.76887154602308e-07	2.54736182234123e-05	0.487240257089289
ESCASTAD	ZNF529|57711	1	mod3	0.831678315371138	1.26660710122884e-06	7.76852355420356e-05	0.447798474838703
