rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF83|55769	1	mod3	0.822483133848294	8.91809816292204e-22	3.04070757511371e-19	0.629732635616148
BRCA	ZNF662|389114	1	mod7	0.707687047417359	9.43994461267792e-18	8.04658980200625e-16	0.613071748800434
BRCA	ZNF841|284371	1	mod3	0.858761508752606	4.21732247224698e-20	7.18967438672877e-18	0.597933442690513
BRCA	ZNF780B|163131	1	mod7	0.68984417903907	1.70578352689017e-15	8.30860827205091e-14	0.558426933491463
BRCA	ZNF529|57711	1	mod3	1.01554307757669	3.67346729092317e-18	4.17500817415787e-16	0.557711682627076
BRCA	ZNF141|7700	1	mod7	0.703077169937284	1.17820819638287e-14	3.34767432318835e-13	0.536225364572642
BRCA	ZNF655|79027	1	mod3	1.20311119809643	5.06371444459419e-17	3.45304000664764e-15	0.532266411223211
BRCA	ZNF10|7556	1	mod7	0.609169409611938	2.89254632981864e-14	7.58646361224509e-13	0.525538026826999
BRCA	ZNF483|158399	1	mod7	0.498451457506761	3.24104589132796e-14	7.89331714085604e-13	0.52416726345527
BRCA	ZNF432|9668	1	mod7	0.770850273645228	1.13137280973883e-13	2.4109497689439e-12	0.508845917179246
BRCA	ZNF345|25850	1	mod3	1.01228585338569	5.3915051756215e-16	3.06380544545116e-14	0.50809512903384
BRCA	ZNF431|170959	1	mod7	0.756068159083212	1.29538177013216e-13	2.5980725071956e-12	0.507158116156557
BRCA	ZNF33A|7581	1	mod7	0.718680221465872	2.05273513128217e-13	3.88832732754523e-12	0.501375864336344
BRCA	ZNF700|90592	1	mod7	0.833938108054514	6.08860256098091e-13	1.03798251548766e-11	0.487455826023827
BRCA	ZNF708|7562	1	mod3	0.719003187629405	4.13514727164693e-15	1.46872461990212e-13	0.486296936871311
BRCA	ZNF417|147687	1	mod3	0.686829607160382	4.22611636008884e-15	1.46872461990212e-13	0.48605907656374
BRCA	ZNF136|7695	1	mod3	0.93756221939983	4.3076257782196e-15	1.46872461990212e-13	0.48585017145415
BRCA	ZNF121|7675	1	mod7	0.547442718747382	4.34192244148172e-12	6.26285302016e-11	0.461338574766162
BRCA	ZNF789|285989	1	mod7	0.902083726686133	5.03411160708579e-12	6.8657065746485e-11	0.459320497235406
BRCA	ZNF12|7559	1	mod7	0.827438632250216	6.30524456082359e-12	8.2685812036749e-11	0.456234754482142
BRCA	ZNF300|91975	1	mod3	0.658660864883738	6.37178858953612e-14	1.44834660763422e-12	0.455543172090966
BRCA	ZNF776|284309	1	mod7	0.617179530658766	6.93728160620182e-12	8.33120085656192e-11	0.454920329400481
BRCA	ZNF439|90594	1	mod7	0.452200998947692	7.08603340286927e-12	8.33120085656192e-11	0.454627993060371
BRCA	ZNF84|7637	1	mod7	0.809503278807661	9.89643517742595e-12	1.0544626801616e-10	0.450004980031276
BRCA	ZNF549|256051	1	mod7	0.835278761715751	1.3260948834272e-11	1.37013407461803e-10	0.445923747920833
BRCA	ZNF701|55762	1	mod7	0.962104483977351	1.60760501924376e-11	1.61214033547065e-10	0.443223115102517
BRCA	ZNF169|169841	1	mod7	0.760079424895455	2.00927415417044e-11	1.81394955995247e-10	0.440078394406704
BRCA	ZNF273|10793	1	mod7	0.555517330816437	2.01916629583378e-11	1.81394955995247e-10	0.44000895364531
BRCA	ZNF224|7767	1	mod7	0.786623044465447	2.02165198023139e-11	1.81394955995247e-10	0.439991556840728
BRCA	ZNF493|284443	1	mod3	0.634491316294203	3.08595562575623e-13	5.53781551336314e-12	0.436995454511116
BRCA	ZNF525|170958	1	mod7	0.523552944881685	2.52380578633806e-11	2.20644818085798e-10	0.43684590736488
BRCA	ZNF793|390927	1	mod7	0.432098842457954	5.91923303218998e-11	4.45892669757101e-10	0.424599798302833
BRCA	ZNF134|7693	1	mod7	0.780583226902585	7.03355371702901e-11	5.10245705731535e-10	0.422090851884188
BRCA	ZNF720|124411	1	mod3	1.32590205783759	1.07211938851057e-12	1.74070935332281e-11	0.421921563858073
BRCA	ZNF551|90233	1	mod7	0.510987291898365	1.22215076164947e-10	8.50415388744018e-10	0.413983137734123
BRCA	ZNF562|54811	1	mod3	0.586750218172142	2.61534497942587e-12	4.05329963712506e-11	0.410888359222964
BRCA	ZNF430|80264	1	mod7	0.666611668817812	1.53767043753662e-10	1.04856575068558e-09	0.410580995341967
BRCA	ZNF667|63934	1	mod7	0.434666292552257	1.75642326109825e-10	1.17425227858827e-09	0.408601902766539
BRCA	ZNF354B|117608	1	mod7	0.791335821239025	1.83991881303284e-10	1.2064177659545e-09	0.40790938483681
BRCA	ZNF611|81856	1	mod3	0.895231196575571	4.40840060813681e-12	6.26285302016e-11	0.404334397329756
BRCA	ZNF619|285267	1	mod7	0.772729268338936	3.1609296433987e-10	1.8907860145238e-09	0.399782616578993
BRCA	ZNF260|339324	1	mod3	0.76821262165185	6.79309919401327e-12	8.33120085656192e-11	0.398853495203587
BRCA	ZNF304|57343	1	mod7	0.836182828740783	3.49515557082201e-10	2.01983971459588e-09	0.398261444514759
BRCA	ZNF37A|7587	1	mod3	0.830712451659306	7.76984844888046e-12	8.83067092122973e-11	0.397140733253295
BRCA	ZNF587|84914	1	mod7	0.391539181621853	3.79394488120982e-10	2.15596732418091e-09	0.397017271264314
BRCA	ZNF43|7594	1	mod3	0.626350051453296	8.77137937416358e-12	9.64736275784631e-11	0.395590952665197
BRCA	ZNF286B|729288	1	mod7	0.624647328426584	4.78101061793348e-10	2.62924118389974e-09	0.393496583816392
BRCA	ZNF320|162967	1	mod7	0.663604857300785	5.48500214918816e-10	2.96851098438199e-09	0.391395922054789
BRCA	ZNF135|7694	1	mod7	0.745933635849143	6.11296265555844e-10	3.25667317066412e-09	0.389733406103938
BRCA	ZNF506|440515	1	mod3	1.14671081852891	1.70597413475798e-11	1.66190733871095e-10	0.3870193446066
BRCA	ZNF418|147686	1	mod7	0.489893641754367	7.52004620157707e-10	3.94465985091021e-09	0.38654397774447
BRCA	ZNF674|641339	1	mod7	0.934387225477392	9.24869298673045e-10	4.70660734370056e-09	0.383342557153253
BRCA	ZFP14|57677	1	mod3	0.680920236893367	3.02808268115967e-11	2.58113158726883e-10	0.379532237082339
BRCA	ZNF91|7644	1	mod7	0.491557710386378	1.26237912391774e-09	6.14885386457518e-09	0.378499090010322
BRCA	ZNF254|9534	1	mod3	0.658417283051523	4.02617044616748e-11	3.31356366978273e-10	0.375782436236771
BRCA	ZFP90|146198	1	mod3	1.11504231941666	4.08171053789872e-11	3.31356366978273e-10	0.375601558452841
BRCA	ZNF765|91661	1	mod3	1.08012799160403	4.26658552136085e-11	3.38309666730236e-10	0.375016383958491
BRCA	ZNF283|284349	1	mod7	0.919602519376265	1.63329292104204e-09	7.62857863550021e-09	0.374461220469751
BRCA	ZNF782|158431	1	mod7	0.591405297029363	1.69034695198346e-09	7.78836941732343e-09	0.373921133222064
BRCA	ZNF714|148206	1	mod7	0.441039412719438	1.75812335105577e-09	7.88747793926619e-09	0.373302207856006
BRCA	ZNF721|170960	1	mod7	0.731599893269707	1.83570782233706e-09	8.12859041943383e-09	0.372621685896701
BRCA	ZNF264|9422	1	mod3	1.0319330870206	5.59410871496885e-11	4.33491547057761e-10	0.371426353295453
