rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.925385271090221	9.62841861695981e-17	5.06179721577316e-15	0.525817366040422
BRCA	ZNF32|7580	1	mod3	-1.00078806665794	8.0890205333143e-10	3.00555473727604e-09	0.334956961262862
BRCA	ZNF18|7566	1	mod7	-0.96190818650821	4.5389005471211e-07	9.33137095720985e-07	0.279873421173108
BRCA	ZNF768|79724	1	mod3	-0.57461471566042	4.65859117276831e-07	9.52423084210411e-07	0.240093057716742
BRCA	ZNF747|65988	1	mod3	-1.01701351621764	6.06069851333009e-07	1.20558759616512e-06	0.235914288255127
BRCA	ZNF205|7755	1	mod3	-0.429656288138385	2.0467860800722e-06	3.78501144455562e-06	0.216324434974359
COADREAD	ZNF511|118472	1	mod3	-0.74593301402387	1.33854053347499e-06	7.03689880455423e-05	0.571938234608993
COADREAD	ZNF555|148254	1	mod2	-0.871869557534681	9.94262224908997e-07	6.10672502031566e-05	0.567780903546114
COADREAD	ZNF630|57232	1	mod3	-1.12556080669718	1.69715155127942e-06	7.80689713588534e-05	0.56479335260881
COADREAD	ZNF627|199692	1	mod3	-0.534038954839973	2.00615907315144e-06	8.20296154355255e-05	0.559689936936224
COADREAD	ZNF32|7580	1	mod3	-0.462455678424613	2.5489749700102e-06	9.38022788963753e-05	0.552283867175406
LUADLUSC	ZNF32|7580	1	mod7	-0.444714526797051	3.91956779157043e-07	3.51805109097053e-06	0.259868776947052
LUADLUSC	ZNF511|118472	1	mod7	-0.503449417709289	2.04605410508468e-06	1.4206564352286e-05	0.231811081456376
LUADLUSC	ZNF627|199692	1	mod7	-0.395629997742067	6.2154034465454e-06	4.08440797915841e-05	0.212432878001835
LUADLUSC	ZNF468|90333	1	mod7	-0.616338362238631	8.37972500059968e-06	5.4100680705626e-05	0.207152451135988
