rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	0.780219952324768	2.84489083608695e-18	2.6172995692e-16	0.624703509305534
BRCA	ZNF83|55769	1	mod3	0.877772710596939	2.79462089133812e-21	1.02842048801243e-18	0.620582747219222
BRCA	ZNF841|284371	1	mod3	0.926740918429484	2.47009993607172e-20	4.54498388237197e-18	0.602500942097006
BRCA	ZNF432|9668	1	mod7	0.891492071692553	5.57558313834684e-17	3.4196909915194e-15	0.59519146598783
BRCA	ZNF655|79027	1	mod3	1.35907952413912	1.37160432357726e-19	1.6825013035881e-17	0.5876795933135
BRCA	ZNF141|7700	1	mod7	0.785406106737082	1.45455860571234e-16	6.69096958627675e-15	0.585201460664328
BRCA	ZNF662|389114	1	mod7	0.736657151049785	2.17352260919689e-16	8.88729244649393e-15	0.580945137156649
BRCA	ZNF483|158399	1	mod7	0.554926702664913	7.09267417278123e-16	2.61010409558349e-14	0.568160310880219
BRCA	ZNF33A|7581	1	mod7	0.807917465869218	2.50061547803591e-15	7.66855413264345e-14	0.554117063993076
BRCA	ZNF10|7556	1	mod7	0.663482300546673	5.45134709977301e-15	1.43292552336891e-13	0.545207912050779
BRCA	ZNF417|147687	1	mod7	0.71267842221119	6.34078366012791e-15	1.55560559128471e-13	0.543459975855927
BRCA	ZNF529|57711	1	mod3	1.07012979949855	3.54032947029699e-17	2.60568249013859e-15	0.535820476483619
BRCA	ZNF12|7559	1	mod7	0.950548634691988	2.65863337904268e-14	6.11485677179816e-13	0.526551622415145
BRCA	ZNF776|284309	1	mod7	0.706400721816351	4.14734576946292e-14	8.97778378330797e-13	0.521182804682425
BRCA	ZNF37A|7587	1	mod7	0.897202485229469	5.85809335934642e-14	1.19765464235527e-12	0.516971865127462
BRCA	ZNF431|170959	1	mod7	0.815703386126831	6.21267442585234e-14	1.20329694142824e-12	0.516251712963127
BRCA	ZNF493|284443	1	mod7	0.649074367584778	6.90728819705497e-14	1.27094102825811e-12	0.514950275781269
BRCA	ZNF121|7675	1	mod7	0.617278686050123	8.12068311315136e-14	1.42305304078081e-12	0.512956405883931
