rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.893847317509528	5.20468234545796e-18	1.27688206875235e-16	0.55441257919263
BRCA	ZNF32|7580	1	mod3	-1.0389313171978	3.31035468557414e-12	1.43318885210739e-11	0.407938862306141
BRCA	ZNF18|7566	1	mod7	-0.94267576238783	9.89017757582981e-08	1.98884445240731e-07	0.306713646435301
BRCA	ZNF768|79724	1	mod3	-0.537616240791832	5.4811174923475e-07	9.51439262822585e-07	0.237513067056168
BRCA	ZNF747|65988	1	mod3	-0.916653224880003	2.01431677439673e-06	3.27994943795573e-06	0.216584598382263
BRCA	ZNF205|7755	1	mod3	-0.383819026285752	7.43882665364871e-06	1.10382589054142e-05	0.195089037353373
BRCA	ZNF584|201514	1	mod3	-1.0548815327756	3.45260940020278e-05	4.75865265645927e-05	0.169224809925931
BRCA	ZNF71|58491	1	mod3	-0.678982527997164	5.42270115793081e-05	7.33659568425933e-05	0.161497722487869
LUADLUSC	ZNF511|118472	1	mod7	-0.587197835505636	1.72735067229317e-08	1.32430218209143e-07	0.310378708840918
LUADLUSC	ZNF32|7580	1	mod7	-0.459122169047974	1.81647011058938e-07	1.15251896671878e-06	0.272614229063255
