rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF141|7700	1	mod7	0.823600937004897	3.73135559085364e-24	4.73507005376599e-22	0.734284770531397
BRCA	ZNF780B|163131	1	mod7	0.790793611178026	5.00532314211285e-24	4.73507005376599e-22	0.732285016287276
BRCA	ZNF662|389114	1	mod7	0.773339224450774	6.43351909479074e-24	4.73507005376599e-22	0.7305641928467
BRCA	ZNF841|284371	1	mod3	0.956006325101373	8.81924776584525e-28	3.24548317783105e-25	0.72456811260946
BRCA	ZNF655|79027	1	mod7	1.32217156732393	2.55256705909522e-21	1.56557446291174e-19	0.686132085491192
BRCA	ZNF83|55769	1	mod3	0.856769873960372	5.30917505640004e-24	4.73507005376599e-22	0.668160128323062
BRCA	ZNF431|170959	1	mod7	0.86759682277405	2.7850883488286e-20	1.46416073195561e-18	0.666418253208874
BRCA	ZNF417|147687	1	mod7	0.731197096235525	1.34314691307231e-19	5.63609777929433e-18	0.652774625377051
BRCA	ZNF33A|7581	1	mod7	0.820757028091563	1.37839347863177e-19	5.63609777929433e-18	0.652545431718553
BRCA	ZNF493|284443	1	mod7	0.678247643526783	4.6564440181734e-19	1.68489493478403e-17	0.641603858531001
BRCA	ZNF587|84914	1	mod7	0.497985406578207	5.03637072897401e-19	1.68489493478403e-17	0.64088730645614
BRCA	ZNF432|9668	1	mod7	0.864099336143647	6.8511150621683e-19	2.10100861906495e-17	0.63806227901407
BRCA	ZNF529|57711	1	mod7	1.01586664317117	9.26103895640317e-19	2.62158641227413e-17	0.63527397024921
BRCA	ZNF776|284309	1	mod7	0.729070887615652	1.12146239787258e-18	2.94784401726507e-17	0.633492279393293
BRCA	ZNF10|7556	1	mod7	0.659831156369335	7.52714159997342e-18	1.73124256799389e-16	0.615294602909735
BRCA	ZNF121|7675	1	mod7	0.628899285328893	1.64483959804811e-17	3.5605939534218e-16	0.607566891762909
BRCA	ZNF84|7637	1	mod7	0.939018742130791	2.28946434681805e-17	4.43433094541601e-16	0.604252021709315
BRCA	ZNF12|7559	1	mod7	0.949746866816559	3.54679336268245e-17	6.5260997873357e-16	0.599821477352032
BRCA	ZNF483|158399	1	mod7	0.530704845574255	6.92637559042904e-17	1.21376486537042e-15	0.592952295459205
BRCA	ZNF562|54811	1	mod7	0.631272923270189	2.30231546885375e-16	3.25866189437762e-15	0.58033158286395
BRCA	ZNF708|7562	1	mod7	0.751644825759089	2.52887817651409e-16	3.44676729243402e-15	0.579329297033174
BRCA	ZNF525|170958	1	mod7	0.603086559352742	2.74883571912342e-16	3.49270545639166e-15	0.578436717085308
BRCA	ZNF91|7644	1	mod7	0.608303134406544	2.75240375639561e-16	3.49270545639166e-15	0.578422819746225
BRCA	ZNF320|162967	1	mod7	0.802664325664807	5.26414942749982e-16	6.45735663106644e-15	0.571418901372108
BRCA	ZNF273|10793	1	mod7	0.633134975679933	5.80156163208796e-16	6.88701509873667e-15	0.570359126794947
