rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF429|353088	1	mod3	0.588680229437232	1.20580398250333e-14	2.6430901461315e-12	0.474470193329089
BRCA	ZNF260|339324	1	mod3	0.643354925749498	1.43646203594103e-14	2.6430901461315e-12	0.472510735451516
BRCA	ZNF83|55769	1	mod3	0.541505778880785	3.94142714234485e-14	4.83177298804464e-12	0.461071506530806
BRCA	ZNF439|90594	1	mod3	0.3933517268782	5.25192716091809e-14	4.83177298804464e-12	0.457774355591617
BRCA	ZNF286A|57335	1	mod3	0.502595121102925	8.03303348093765e-14	5.21372971354879e-12	0.452856970638442
BRCA	ZNF345|25850	1	mod3	0.734793839123866	8.50064627209042e-14	5.21372971354879e-12	0.452199005082837
BRCA	ZNF273|10793	1	mod7	0.451590535624639	9.04166523556569e-12	1.75122779299378e-10	0.451258835197273
BRCA	ZNF667|63934	1	mod3	0.402862047923927	2.06879790774993e-13	1.08759661435997e-11	0.441754373236476
BRCA	ZNF10|7556	1	mod7	0.445511199749637	2.63558142635231e-11	3.34446194792293e-10	0.43622946033389
BRCA	ZNF525|170958	1	mod3	0.43109720132381	4.99912602805973e-13	2.29959797290748e-11	0.431202225680183
BRCA	ZNF506|440515	1	mod3	0.925261448668938	7.92703540283863e-13	2.99701987425325e-11	0.425611821611954
BRCA	ZNF85|7639	1	mod3	0.633704690783772	8.14407574525339e-13	2.99701987425325e-11	0.425282625199372
BRCA	ZNF662|389114	1	mod3	0.511225892081951	9.38429815553478e-13	3.13947429203345e-11	0.423552126050991
BRCA	ZNF45|7596	1	mod7	0.842775901645384	9.02509672780116e-11	8.30308898957707e-10	0.418445702963644
BRCA	ZNF311|282890	1	mod3	0.525210008990744	1.58293599437426e-12	4.85433704941439e-11	0.4171255305216
BRCA	ZNF204P|7754	1	mod3	0.51527282259408	1.92778960470248e-12	5.45712749638857e-11	0.41468492948638
BRCA	ZNF443|10224	1	mod7	0.437721731465253	1.37428523990769e-10	1.20413563877627e-09	0.412247492058473
BRCA	ZNF84|7637	1	mod3	0.679237074960898	4.14879803091466e-12	1.09054119669757e-10	0.405099859930849
BRCA	ZNF610|162963	1	mod3	0.553317827969046	4.46512863112467e-12	1.09544489083592e-10	0.404173018546094
BRCA	ZNF43|7594	1	mod3	0.48602634860312	5.16244216702181e-12	1.18736169841502e-10	0.402338541633496
BRCA	ZNF286B|729288	1	mod3	0.566796772362356	6.92535018041069e-12	1.4991346272889e-10	0.398607963010852
BRCA	ZNF814|730051	1	mod3	0.452037257836134	8.832106764555e-12	1.75122779299378e-10	0.395502645362436
BRCA	ZNF223|7766	1	mod3	0.596074328701297	1.04943869737154e-11	1.77858843622404e-10	0.393291445394354
BRCA	ZFP14|57677	1	mod3	0.533277779172704	1.05622498825615e-11	1.77858843622404e-10	0.393208643878689
BRCA	ZNF700|90592	1	mod3	0.630132244780871	1.06328656513394e-11	1.77858843622404e-10	0.393123035004781
BRCA	ZNF135|7694	1	mod3	0.581026226050617	1.43368973050377e-11	2.29390356880603e-10	0.389271101451121
BRCA	ZNF136|7695	1	mod3	0.644887843444093	1.54940165430025e-11	2.37574920326038e-10	0.388266962152114
BRCA	ZNF33A|7581	1	mod7	0.507455546939607	6.87172773855893e-10	4.59781055961761e-09	0.387933971004324
BRCA	ZNF177|7730	1	mod3	0.564712010617668	1.85073932535768e-11	2.72428828692651e-10	0.385961866713537
BRCA	ZNF214|7761	1	mod3	0.529911410291948	2.25141640742661e-11	3.18662014589612e-10	0.383410288857728
BRCA	ZNF493|284443	1	mod3	0.456875195973933	2.37377285365719e-11	3.23536448202165e-10	0.382719516347383
BRCA	ZNF836|162962	1	mod3	0.644091066866648	2.60841503551965e-11	3.34446194792293e-10	0.381487285225288
BRCA	ZNF334|55713	1	mod3	0.287774193672714	2.74605088762993e-11	3.36848908882605e-10	0.380814095609327
BRCA	ZNF540|163255	1	mod3	0.453373992647818	2.99471887283606e-11	3.55502111356023e-10	0.379677630952738
BRCA	ZNF780B|163131	1	mod3	0.48346968658113	3.28399618736612e-11	3.77659561547104e-10	0.378466550991702
BRCA	ZNF169|169841	1	mod7	0.564128379354229	1.46055641751997e-09	8.5315041531325e-09	0.376216428990589
BRCA	ZFP90|146198	1	mod3	0.857138686786441	4.30675808162737e-11	4.80268780011779e-10	0.374892517898409
BRCA	ZNF529|57711	1	mod3	0.639865283195457	4.61385302470021e-11	4.99381739144022e-10	0.373981423577454
BRCA	ZNF184|7738	1	mod7	0.575543627662349	1.77070648726899e-09	9.66039802404992e-09	0.373189868773261
BRCA	ZNF793|390927	1	mod3	0.354925353976746	6.52802086402049e-11	6.86374765131297e-10	0.369371535034615
BRCA	ZNF761|388561	1	mod3	0.704369657635992	6.85343317347199e-11	7.00573168843803e-10	0.368722764254589
BRCA	ZNF93|81931	1	mod7	0.346471241957792	2.42548653265071e-09	1.25715358312037e-08	0.368214337638575
BRCA	ZNF567|163081	1	mod3	0.701846342568873	7.45526514067098e-11	7.41496641018087e-10	0.367598706729512
BRCA	ZNF682|91120	1	mod3	0.496086247700475	8.34678590763321e-11	8.08320319476058e-10	0.366087234518307
BRCA	ZNF227|7770	1	mod3	0.793057731697194	8.80671940256184e-11	8.30308898957707e-10	0.365368288239034
BRCA	ZNF483|158399	1	mod3	0.360724297381881	1.16537110653576e-10	1.04599162732965e-09	0.361601170876394
BRCA	ZNF304|57343	1	mod7	0.638898669802526	3.85311895106466e-09	1.89059703198906e-08	0.360827399745355
BRCA	ZNF250|58500	1	mod7	0.53946274564106	4.35827317060239e-09	2.08291496984634e-08	0.358847572816461
BRCA	ZNF300|91975	1	mod3	0.449770033592411	1.43426511072042e-10	1.22746409475608e-09	0.358795302636852
BRCA	RBAK|57786	1	mod7	0.574278743965161	4.57389662636001e-09	2.15794097243652e-08	0.358069936104005
BRCA	ZNF841|284371	1	mod3	0.510882644813182	1.58441628745528e-10	1.32514816768987e-09	0.357445551458255
BRCA	ZNF549|256051	1	mod3	0.660214113422525	1.76670016966724e-10	1.4447681387501e-09	0.355966167676616
BRCA	ZNF254|9534	1	mod3	0.492751787222768	1.82710533578822e-10	1.46168426863057e-09	0.355508789893036
BRCA	ZNF320|162967	1	mod3	0.557040857434662	2.1447936931711e-10	1.6793278278446e-09	0.35332358661333
BRCA	ZNF433|163059	1	mod7	0.553383828326284	6.22674319249976e-09	2.79104609626615e-08	0.353081141672716
BRCA	ZNF681|148213	1	mod3	0.350701221620173	3.57966517859035e-10	2.7444099702526e-09	0.346294153509576
BRCA	ZNF37A|7587	1	mod3	0.596240757148076	3.7702981553771e-10	2.83157085954851e-09	0.345578094844841
BRCA	ZNF141|7700	1	mod3	0.481372237623829	4.78571467353861e-10	3.52228599972442e-09	0.342277268099205
BRCA	ZNF789|285989	1	mod7	0.622035633726943	1.47509039354333e-08	5.90036157417331e-08	0.33893968708248
BRCA	ZNF440|126070	1	mod3	0.556283942963078	6.37759503977278e-10	4.5173963843428e-09	0.338281838174874
BRCA	ZNF14|7561	1	mod3	0.49343938398181	6.38327749961482e-10	4.5173963843428e-09	0.338269410838046
BRCA	ZNF555|148254	1	mod7	0.681765443726049	1.5769118588278e-08	6.23982326934012e-08	0.337833219854121
BRCA	ZNF211|10520	1	mod3	0.595832433272192	6.78252838144496e-10	4.59781055961761e-09	0.337422339730535
BRCA	ZNF257|113835	1	mod3	0.42070933959827	6.8083904003649e-10	4.59781055961761e-09	0.337369167960904
BRCA	ZNF398|57541	1	mod7	1.2022445751143	1.65058473427385e-08	6.38333952425077e-08	0.337075319931171
BRCA	ZNF625|90589	1	mod3	0.570336228251895	7.59925597569597e-10	4.99379678402878e-09	0.33583205829887
BRCA	ZNF600|162966	1	mod3	0.576335021591122	7.96107669667564e-10	5.13978284978357e-09	0.335180449508548
BRCA	ZNF180|7733	1	mod7	0.573972259508462	1.86151393673595e-08	7.0589126830563e-08	0.335075315400011
BRCA	ZNF776|284309	1	mod7	0.423475061689163	2.18757759487497e-08	8.05028554913989e-08	0.332382203971035
BRCA	ZNF224|7767	1	mod3	0.559578094264387	9.84190675727905e-10	6.24452014944602e-09	0.332201720574995
BRCA	ZNF264|9422	1	mod3	0.750271071953953	1.02430206894732e-09	6.38886714190869e-09	0.331639259377122
BRCA	ZNF607|84775	1	mod7	0.421180875833802	2.64111410717789e-08	9.34548068693714e-08	0.329225701336211
BRCA	ZNF799|90576	1	mod3	0.723772696849892	1.29912568411322e-09	7.96797086256111e-09	0.328283456743391
BRCA	ZNF30|90075	1	mod7	0.687475772968109	2.84220167501276e-08	9.9612401562352e-08	0.327992588439497
BRCA	ZNF28|7576	1	mod3	0.551601231630111	1.41161606063229e-09	8.38148697811914e-09	0.327107231471479
BRCA	ZNF91|7644	1	mod3	0.403398832675988	1.41209834957442e-09	8.38148697811914e-09	0.327102389091277
BRCA	ZNF528|84436	1	mod3	0.504970600016313	1.49115763857356e-09	8.57415642179795e-09	0.326329738779385
BRCA	ZNF248|57209	1	mod7	0.62819019488434	3.14053892856212e-08	1.07404598774714e-07	0.326311814573235
BRCA	ZNF461|92283	1	mod3	0.669708199092795	1.58475266969357e-09	8.97213819149591e-09	0.325465334336145
BRCA	ZNF606|80095	1	mod7	0.436098449086055	3.44846025625509e-08	1.16425080211181e-07	0.324733277455196
BRCA	ZNF226|7769	1	mod3	0.665496671740302	1.77455676607729e-09	9.66039802404992e-09	0.323856284378515
BRCA	ZNF720|124411	1	mod3	0.893686859990885	1.78507354792227e-09	9.66039802404992e-09	0.323772136858206
BRCA	ZFP37|7539	1	mod3	0.562746841850967	2.04768289817633e-09	1.09209754569404e-08	0.321814841605031
BRCA	ZNF12|7559	1	mod3	0.604695257646698	2.40579466499428e-09	1.25715358312037e-08	0.319509614988469
BRCA	ZNF708|7562	1	mod3	0.446991145769983	2.77406208982001e-09	1.41785395701911e-08	0.317466304906896
BRCA	ZNF860|344787	1	mod3	0.337999377618275	3.03915409162902e-09	1.53206672016367e-08	0.316153995740492
BRCA	ZNF557|79230	1	mod3	0.550315699794082	3.24299670710391e-09	1.61273349758681e-08	0.315219104416159
BRCA	ZNF490|57474	1	mod3	0.593074216427725	3.99504748759707e-09	1.93444404662595e-08	0.312207584930551
BRCA	HKR1|284459	1	mod7	0.429908986667795	7.64180967652444e-08	2.32412062889338e-07	0.311165116066685
BRCA	ZNF675|171392	1	mod3	0.40205239037146	5.07604892962181e-09	2.36453924822889e-08	0.308734350404457
BRCA	ZNF418|147686	1	mod3	0.385526735071029	6.05155516217082e-09	2.76316169434988e-08	0.306174528719381
BRCA	ZNF195|7748	1	mod3	0.536163840486233	6.08195916419403e-09	2.76316169434988e-08	0.306101418538729
