rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.800002727621119	1.50793540639886e-15	3.81377788974229e-14	0.497206263835988
BRCA	ZNF32|7580	1	mod3	-0.886632325215564	9.54977238776954e-10	3.37618380556052e-09	0.3326256907444
BRCA	ZNF205|7755	1	mod3	-0.423384560876994	8.99055755801541e-08	1.90708889790121e-07	0.265764619268525
BRCA	ZNF768|79724	1	mod3	-0.531283623377407	1.33368155839991e-07	2.74061590401125e-07	0.25968261096849
BRCA	ZNF747|65988	1	mod3	-0.894726251039346	8.2362383258063e-07	1.49611969634242e-06	0.231017590885656
BRCA	ZNF777|27153	1	mod3	-0.510233397706316	7.13054369082025e-06	1.14362803867029e-05	0.195793014852448
BRCA	ZNF71|58491	1	mod3	-0.653535825772326	3.81794330652385e-05	5.36450467489159e-05	0.167507889446291
BRCA	ZNF584|201514	1	mod3	-0.959045414876832	7.2093242952323e-05	9.75448394952221e-05	0.156596577231475
LUADLUSC	ZNF511|118472	1	mod7	-0.613949199231552	1.00291872485065e-08	7.85264022861788e-08	0.318843821460442
LUADLUSC	ZNF32|7580	1	mod7	-0.469383601159393	2.43882091906603e-07	1.35982742153985e-06	0.267755203336475
