rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF841|284371	1	mod7	0.859969917038268	1.21039124042306e-20	3.67065881067206e-18	0.673428257851404
BRCA	ZNF417|147687	1	mod7	0.699255049655112	1.54386077791356e-19	1.27105462542853e-17	0.651540588863925
BRCA	ZNF780B|163131	1	mod7	0.695077897054069	6.04032577332912e-18	3.3099781129474e-16	0.617442765167795
BRCA	ZNF529|57711	1	mod3	1.00956009690182	2.23284205742142e-20	3.67065881067206e-18	0.603357394749286
BRCA	ZNF83|55769	1	mod7	0.775483195968872	1.09747245868566e-16	5.15479739830084e-15	0.588161164413105
BRCA	ZNF655|79027	1	mod3	1.20717997238043	1.54635141609211e-19	1.27105462542853e-17	0.586622627730066
BRCA	ZNF662|389114	1	mod7	0.661859734078678	1.62709852726557e-16	6.68713168166964e-15	0.584017863921422
BRCA	ZNF483|158399	1	mod7	0.494909369827589	1.15450504971966e-15	3.32798564998438e-14	0.562782917193004
BRCA	ZNF224|7767	1	mod7	0.852048755838069	1.21463748755547e-15	3.32798564998438e-14	0.56221872568045
BRCA	ZNF141|7700	1	mod3	0.763161178243912	3.73591356058758e-18	2.45664738918733e-16	0.557552630324289
BRCA	ZNF432|9668	1	mod7	0.755986533545981	1.54630502775152e-14	3.17754123899915e-13	0.533015393897677
BRCA	ZNF708|7562	1	mod3	0.706434261888161	3.08679780907874e-16	1.12766911041548e-14	0.513902411726133
BRCA	ZNF493|284443	1	mod3	0.648681590078459	1.15862481500984e-15	3.32798564998438e-14	0.500018351928327
BRCA	ZNF33A|7581	1	mod7	0.682707018158116	4.04056149810537e-13	5.31395317059221e-12	0.492749478357585
BRCA	ZNF611|81856	1	mod3	0.941425456552531	3.08610226140032e-15	7.24766794011786e-14	0.489485006524908
BRCA	ZNF234|10780	1	mod7	0.979354879830204	8.76118674270596e-13	1.10791285042607e-11	0.482712551254871
BRCA	ZNF549|256051	1	mod7	0.830842930695876	1.03639487821802e-12	1.26205274056922e-11	0.480508397988402
BRCA	ZNF587|84914	1	mod7	0.410984044640471	1.41459162758774e-12	1.55033602549997e-11	0.476402757991414
BRCA	ZNF829|374899	1	mod3	0.745027482509829	1.30406502899786e-14	2.85840656005812e-13	0.47359409433764
BRCA	ZNF10|7556	1	mod7	0.552804518525047	2.06891203556815e-12	2.10928403824698e-11	0.47134243641003
BRCA	ZNF81|347344	1	mod7	0.483670989105056	2.18663023850798e-12	2.10928403824698e-11	0.470601909607016
BRCA	ZNF445|353274	1	mod7	0.846657890859496	2.21190243055955e-12	2.10928403824698e-11	0.470448009863449
BRCA	ZNF354B|117608	1	mod7	0.81422005600558	2.23357477692173e-12	2.10928403824698e-11	0.470317392049669
BRCA	ZNF121|7675	1	mod7	0.529425634409499	2.30194285123102e-12	2.10928403824698e-11	0.469913296731868
BRCA	ZNF701|55762	1	mod7	0.948848630121476	2.37367239941023e-12	2.10928403824698e-11	0.469501727816873
BRCA	ZNF621|285268	1	mod3	0.899006140025493	1.90044613516076e-14	3.67555269753992e-13	0.469362483047447
BRCA	ZNF431|170959	1	mod7	0.696461164596528	2.52260121715737e-12	2.18263449509021e-11	0.468684609779303
BRCA	ZNF585B|92285	1	mod7	0.776594477225142	2.77157762055934e-12	2.27815392910425e-11	0.467418285702943
BRCA	ZNF37A|7587	1	mod3	0.860943129327276	2.34832094206833e-14	4.28944354554692e-13	0.466970200195182
BRCA	ZNF304|57343	1	mod7	0.866163490682691	3.21757363037436e-12	2.58024323230743e-11	0.465404869985618
BRCA	ZNF264|9422	1	mod3	1.10296138280534	2.91849278651842e-14	5.05034484737557e-13	0.46450190382509
BRCA	ZNF84|7637	1	mod3	0.901942132609146	3.35049182103375e-14	5.50800818270372e-13	0.462928615785638
BRCA	ZNF776|284309	1	mod7	0.595551833736341	4.34291125936949e-12	3.39975542342386e-11	0.461335473712751
