rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-1.08569927919441	6.72585491842355e-23	3.53587801425695e-21	0.649638966750003
BRCA	ZNF32|7580	1	mod3	-1.29390268694472	9.13603341141601e-16	7.30882672913281e-15	0.50254066387029
BRCA	ZNF18|7566	1	mod7	-1.30546804194967	5.22232485597475e-11	1.61497104789807e-10	0.42641529615286
BRCA	ZNF768|79724	1	mod3	-0.660733219676249	2.5438550269068e-08	5.47449502866493e-08	0.284932250083364
BRCA	ZNF747|65988	1	mod3	-1.13411780916763	1.0539949260862e-07	2.08532329462216e-07	0.263317876445586
BRCA	ZNF205|7755	1	mod3	-0.493387935858513	1.68691106836694e-07	3.30203868701613e-07	0.256037450428755
BRCA	ZNF777|27153	1	mod2	-0.582916289657106	1.10991574901164e-05	1.80729644086851e-05	0.186595091704445
BRCA	ZNF584|201514	1	mod3	-1.22957905954847	1.56786572099825e-05	2.48695941951446e-05	0.182606464191543
BRCA	ZNF394|84124	1	mod3	-0.870059882858418	1.67621523768162e-05	2.63798034588396e-05	0.181480238970121
BRCA	ZNF71|58491	1	mod3	-0.802009212395844	1.94614229855236e-05	3.02185808382813e-05	0.178959390851022
BRCA	ZSCAN21|7589	1	mod3	-0.981945223840356	3.36062029053025e-05	5.08952871616682e-05	0.169685325638498
COADREAD	ZNF32|7580	1	mod3	-0.497686051309409	1.67079577289745e-07	1.53713211106565e-05	0.629914496558718
HNSC	ZNF511|118472	1	mod7	-0.823212098715076	5.03787677742523e-08	1.85393865409249e-05	0.610014289547713
KICHKIRCKIRP	ZNF511|118472	1	mod7	-0.412624547202371	2.69834448758327e-06	2.91094151395574e-05	0.182151156353235
LUADLUSC	ZNF511|118472	1	mod7	-0.851416337568997	5.349634595439e-18	1.23041595695097e-16	0.582659994231175
LUADLUSC	ZNF32|7580	1	mod7	-0.663387102601374	6.64785747377503e-15	7.89165016241681e-14	0.508199521604427
LUADLUSC	ZNF627|199692	1	mod7	-0.466621433749641	3.95803377983841e-07	1.52080807817831e-06	0.259705655558091
LUADLUSC	ZNF468|90333	1	mod7	-0.639537370179219	1.5652286974361e-05	4.68296065574377e-05	0.196016334635121
THCA	ZNF511|118472	1	mod15	-0.958286977552834	4.26910116734816e-09	4.02828007585672e-08	0.582084091799552
THCA	ZNF32|7580	1	mod11	-0.868778594873526	2.10367428659743e-09	2.34591556808441e-08	0.508332128874999
THCA	ZNF768|79724	1	mod11	-0.983412786422545	1.70014345982467e-07	1.09015685131429e-06	0.41798576283858
THCA	ZNF446|55663	1	mod11	-0.771756941130977	2.53767127859646e-06	1.24515070736466e-05	0.354798231984627
