rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF780B|163131	1	mod7	0.714765854558856	1.34244950989891e-10	4.940214196428e-08	0.412594623607886
BRCA	ZNF708|7562	1	mod7	0.737832896597159	8.31139755390198e-10	7.65940299741522e-08	0.384997848093893
BRCA	ZNF720|124411	1	mod6	1.49794107461051	6.81931397317841e-10	7.65940299741522e-08	0.384213582093938
BRCA	ZNF493|284443	1	mod7	0.626645681857881	1.32638355299985e-09	8.13515245839909e-08	0.377725764139881
BRCA	ZNF701|55762	1	mod6	1.06098259819498	1.12111704461492e-09	8.13515245839909e-08	0.376563555209917
BRCA	ZNF587|84914	1	mod7	0.457138777046684	1.85391609842096e-09	9.74630177455591e-08	0.372466045467048
BRCA	ZNF417|147687	1	mod7	0.661389645385322	2.40605229315575e-09	1.10678405485165e-07	0.368342012539012
BRCA	ZNF141|7700	1	mod7	0.692351965391603	4.63063052259533e-09	1.68639419141467e-07	0.357871275548177
BRCA	ZNF91|7644	1	mod7	0.570787289253042	6.97639101467572e-09	1.95419695392248e-07	0.351233573411793
BRCA	ZNF714|148206	1	mod6	0.505300371535767	6.94561951039688e-09	1.95419695392248e-07	0.347720973892673
BRCA	ZNF254|9534	1	mod7	0.668210313358023	8.88584821726536e-09	2.17999476263577e-07	0.347285081715808
BRCA	ZNF260|339324	1	mod7	0.750330741547695	1.13877570474419e-08	2.47040990426664e-07	0.34321277938663
BRCA	ZNF121|7675	1	mod7	0.567069154634138	1.32783211788048e-08	2.47040990426664e-07	0.340679556051976
BRCA	ZNF273|10793	1	mod7	0.58905716323454	1.34261407840578e-08	2.47040990426664e-07	0.340496610778074
BRCA	ZNF678|339500	1	mod6	0.64762700357919	1.2699088589294e-08	2.47040990426664e-07	0.337904446962433
BRCA	ZNF10|7556	1	mod7	0.588221920973223	1.63407276489161e-08	2.75716904022337e-07	0.337242270559702
BRCA	ZNF841|284371	1	mod7	0.763856289836093	1.78771170862392e-08	2.86033873379827e-07	0.335748712587067
BRCA	ZNF662|389114	1	mod7	0.628065619799826	2.19432651172489e-08	3.29434798846674e-07	0.332330707947358
BRCA	ZNF655|79027	1	mod7	1.10747172636308	2.23800814433882e-08	3.29434798846674e-07	0.332001099711194
BRCA	ZNF432|9668	1	mod6	0.727111436206139	2.34635790791958e-08	3.32099888505541e-07	0.327775383594103
BRCA	ZNF33A|7581	1	mod7	0.699626514855682	3.01372461588642e-08	4.10720483650154e-07	0.327006344964901
BRCA	ZNF529|57711	1	mod7	0.876812983376634	3.12504715820769e-08	4.10720483650154e-07	0.326395175209074
BRCA	ZNF320|162967	1	mod7	0.729253637184348	3.33437275406636e-08	4.16968740494096e-07	0.325301460320722
BRCA	ZNF681|148213	1	mod7	0.471259658319734	3.39920168881057e-08	4.16968740494096e-07	0.32497630994294
BRCA	ZNF431|170959	1	mod7	0.728726194406155	3.54819820730257e-08	4.21205464608821e-07	0.324251404030196
BRCA	ZNF83|55769	1	mod7	0.720871304974618	4.25627414076048e-08	4.89471526187456e-07	0.321168733664353
BRCA	ZNF611|81856	1	mod6	0.900956304693755	4.40453411908363e-08	4.91172289643265e-07	0.317235068859955
BRCA	ZNF264|9422	1	mod3	1.16349984840262	2.97056405492805e-09	1.2146306357928e-07	0.316482448515153
BRCA	ZNF829|374899	1	mod7	0.70864914967924	6.00185007533454e-08	6.31051665063746e-07	0.315310649481913
BRCA	ZNF776|284309	1	mod7	0.618831908480301	6.19546668346157e-08	6.33314372087183e-07	0.314767102407969
BRCA	ZNF37A|7587	1	mod3	0.89478448274068	5.04085220259821e-09	1.68639419141467e-07	0.308835495464388
BRCA	ZNF737|100129842	1	mod6	0.413009315151117	8.32954489354804e-08	8.28452032655589e-07	0.306415370213438
BRCA	ZNF721|170960	1	mod3	0.88397884119996	7.43444493340076e-09	1.95419695392248e-07	0.303166246676874
BRCA	ZNF483|158399	1	mod7	0.455247788848472	1.38035813754809e-07	1.33676788057288e-06	0.300920285167826
BRCA	ZNF562|54811	1	mod7	0.543496454217888	1.75976156600975e-07	1.66049296485023e-06	0.296672600640736
BRCA	ZNF84|7637	1	mod3	0.921635641292581	1.21357628364769e-08	2.47040990426664e-07	0.295954729315661
BRCA	ZNF43|7594	1	mod7	0.595833042539795	2.03747524472182e-07	1.82875826843325e-06	0.294098059173648
BRCA	ZNF429|353088	1	mod6	0.650665543107746	1.93767158407881e-07	1.78265785735251e-06	0.291836555997265
BRCA	ZNF660|285349	1	mod2	1.03018667260779	1.64830757839441e-08	2.75716904022337e-07	0.288799335975479
BRCA	ZNF765|91661	1	mod6	1.01598802565379	2.30993955453847e-07	1.97687850248874e-06	0.288767028692779
BRCA	ZNF525|170958	1	mod7	0.512573797788551	2.84958301615697e-07	2.3832876135131e-06	0.288171802155393
BRCA	ZNF107|51427	1	mod7	0.332836949046953	2.97298903999391e-07	2.42815813864293e-06	0.287419644652254
BRCA	ZNF439|90594	1	mod7	0.433065774220693	3.04969611880706e-07	2.42815813864293e-06	0.286967347860775
BRCA	ZNF257|113835	1	mod6	0.5535183892268	3.10118023141896e-07	2.42815813864293e-06	0.28359488562937
BRCA	ZNF793|390927	1	mod7	0.41856200635398	6.22308278790602e-07	4.67366217540697e-06	0.274198331048371
BRCA	ZNF154|7710	1	mod3	0.440223451044437	5.32658367058696e-08	5.76524350228235e-07	0.273768098232425
BRCA	ZNF136|7695	1	mod6	0.730690579611501	5.9813900367345e-07	4.58573236149645e-06	0.271938631565525
BRCA	ZNF12|7559	1	mod7	0.768651471216104	7.44304218641886e-07	5.07229541592989e-06	0.270961335673194
BRCA	ZNF283|284349	1	mod6	0.930163894352625	6.39489256627306e-07	4.70664092877697e-06	0.270742940410965
BRCA	ZNF44|51710	1	mod6	0.795290571311774	7.38163855413156e-07	5.07229541592989e-06	0.26817029193922
BRCA	ZNF135|7694	1	mod6	0.722195188550299	7.39508923741904e-07	5.07229541592989e-06	0.268137601008765
BRCA	ZNF286A|57335	1	mod7	0.525619072434024	9.84498240596898e-07	6.24647159551135e-06	0.265878250892096
BRCA	ZNF28|7576	1	mod6	0.720933192577418	9.07343671180096e-07	5.89129248633227e-06	0.264456503489555
BRCA	ZNF81|347344	1	mod6	0.452367018476298	9.12509977502553e-07	5.89129248633227e-06	0.264354084738249
BRCA	ZNF93|81931	1	mod7	0.44035371843009	1.10480614987771e-06	6.89099429076268e-06	0.263773705588613
BRCA	ZNF549|256051	1	mod7	0.772699051612969	1.17587471176103e-06	7.09380153980425e-06	0.26263348906549
BRCA	ZNF557|79230	1	mod6	0.734881179239922	1.23237006282044e-06	7.31471263093422e-06	0.25891548114055
BRCA	ZNF233|353355	1	mod7	0.514452889346899	1.50424845102433e-06	8.2621407459247e-06	0.2581138367956
BRCA	ZKSCAN1|7586	1	mod6	0.364661335694474	1.29157736964586e-06	7.54445193697901e-06	0.258062994153882
BRCA	ZNF675|171392	1	mod6	0.476326799982243	1.32774823047778e-06	7.63455232524724e-06	0.257560813821795
BRCA	ZNF585B|92285	1	mod6	0.716331180517223	1.4255899165863e-06	8.0142889852199e-06	0.256266699630836
BRCA	ZNF700|90592	1	mod7	0.728745987486913	1.67039933842191e-06	8.90879647158352e-06	0.256183762394133
BRCA	ZNF713|349075	1	mod6	0.485641254780967	1.43734530713183e-06	8.0142889852199e-06	0.256117102055861
BRCA	ZNF430|80264	1	mod6	0.611457643023461	1.63712515770558e-06	8.85973614758311e-06	0.253742794000574
BRCA	ZNF551|90233	1	mod3	0.552560724839754	2.17066847871714e-07	1.90191904801883e-06	0.252107887109792
BRCA	ZNF667|63934	1	mod7	0.408994663417922	2.46523877050491e-06	1.2259565777646e-05	0.248974783156252
BRCA	ZSCAN29|146050	1	mod6	0.963964910182241	2.2232591763069e-06	1.15233715053654e-05	0.24813344485239
BRCA	ZNF486|90649	1	mod6	0.387232083497063	2.31856457258664e-06	1.18079195940381e-05	0.247361228421014
BRCA	ZNF813|126017	1	mod6	0.582301897762936	2.34233187599126e-06	1.18079195940381e-05	0.247173494192353
BRCA	ZNF670|93474	1	mod7	0.916889298969713	2.8421393964587e-06	1.38355717105263e-05	0.246324614861732
BRCA	ZNF506|440515	1	mod7	1.13115188201801	2.85734633152173e-06	1.38355717105263e-05	0.246225053418897
BRCA	ZNF674|641339	1	mod6	0.868583384504849	3.15409515545437e-06	1.50741171065871e-05	0.241678276009394
BRCA	ZNF814|730051	1	mod6	0.500820202017444	3.23946567527451e-06	1.52836329295002e-05	0.241183364087653
BRCA	ZNF761|388561	1	mod6	0.851996460859382	3.50831907863176e-06	1.61538043605228e-05	0.239704227259628
BRCA	ZNF134|7693	1	mod6	0.685720458331304	3.51169660011366e-06	1.61538043605228e-05	0.239686360206588
BRCA	ZNF717|100131827	1	mod6	0.658955204954163	3.63879756190536e-06	1.65318210219898e-05	0.239025943400234
BRCA	ZNF99|7652	1	mod6	0.947423947462997	4.21638389097401e-06	1.89223081936394e-05	0.236284126878148
BRCA	ZNF548|147694	1	mod7	0.825501180652891	5.08640387629774e-06	2.2021136782089e-05	0.23539852338345
BRCA	ZNF625|90589	1	mod6	0.631544354742513	4.68396325365921e-06	2.07674515342962e-05	0.234321721290293
BRCA	ZNF300|91975	1	mod3	0.576647392333224	6.8208097415704e-07	4.92168232332923e-06	0.234031229813803
BRCA	ZNF568|374900	1	mod6	0.81765205048339	5.38457063799181e-06	2.30409534276859e-05	0.2317140194542
BRCA	RBAK|57786	1	mod3	0.778408826498832	8.02494760030833e-07	5.36941948529721e-06	0.231433550719989
BRCA	ZNF680|340252	1	mod6	0.514396650751632	5.58357559781454e-06	2.36178829884569e-05	0.231033849000356
BRCA	ZNF860|344787	1	mod7	0.384920825261947	6.46683387934709e-06	2.64421651955526e-05	0.230851464997244
BRCA	ZNF268|10795	1	mod6	0.675410472724201	5.85513523516932e-06	2.44851109834353e-05	0.230143036727227
BRCA	ZIK1|284307	1	mod3	0.64292732647223	1.15589986566955e-06	7.08951917610659e-06	0.225575102321916
BRCA	ZNF621|285268	1	mod6	0.72960510895723	7.81987222120084e-06	3.16232195318891e-05	0.224696524914944
BRCA	ZNF304|57343	1	mod6	0.729033381684149	8.11858258667694e-06	3.24743303467078e-05	0.223988516405468
BRCA	ZNF214|7761	1	mod6	0.543641898857527	8.54956907036729e-06	3.38305528805932e-05	0.22301071044747
BRCA	ZNF573|126231	1	mod6	0.524457834498046	9.36275064319303e-06	3.66541727307983e-05	0.221290642320867
BRCA	ZNF606|80095	1	mod6	0.521774344277996	1.03485746624696e-05	3.92605719153486e-05	0.2193917482884
BRCA	ZNF229|7772	1	mod7	0.426053925911292	1.1796133971048e-05	4.34097730134567e-05	0.21936844796969
BRCA	ZNF80|7634	1	mod3	0.624316685820438	1.79507581438081e-06	9.43696999560199e-06	0.218457222497045
BRCA	ZNF727|442319	1	mod6	0.43919020336595	1.098955741428e-05	4.12669094740311e-05	0.218249973674236
BRCA	ZNF530|348327	1	mod6	0.995496082819067	1.15834612281741e-05	4.3057714464324e-05	0.217248865014915
BRCA	ZNF749|388567	1	mod7	0.50334327893755	1.46599527990271e-05	5.23773070877863e-05	0.215181209524866
BRCA	ZNF41|7592	1	mod6	0.86222986648137	1.41586708837666e-05	5.15880285665952e-05	0.21342074834333
BRCA	ZNF354B|117608	1	mod6	0.674794178991645	1.43147341500397e-05	5.1645315364849e-05	0.213211265241955
BRCA	ZNF223|7766	1	mod6	0.591606622043045	1.54102133078447e-05	5.4393336324803e-05	0.211800903985967
BRCA	ZNF418|147686	1	mod7	0.437109154494504	1.74687847275038e-05	6.01969096904485e-05	0.211790624602581
BRCA	ZNF782|158431	1	mod6	0.51381863364608	1.55198378100661e-05	5.4393336324803e-05	0.211665219771863
BRCA	ZNF480|147657	1	mod6	0.752679731444281	1.75029058067337e-05	6.01969096904485e-05	0.209360609276453
BRCA	ZFP14|57677	1	mod6	0.540280161222408	1.80835313145601e-05	6.1617958553316e-05	0.208734199536907
BRCA	ZNF45|7596	1	mod6	0.867164853821411	1.8417430530625e-05	6.21799489474311e-05	0.208382841208057
BRCA	ZNF445|353274	1	mod6	0.692962397197612	1.86647717778518e-05	6.2442145584086e-05	0.208126569760409
BRCA	ZNF484|83744	1	mod6	0.892602671707482	1.89975600758964e-05	6.29829018732421e-05	0.207786969645709
BRCA	ZNF626|199777	1	mod6	0.433343608201738	2.05684241420071e-05	6.69838945509612e-05	0.206258853940533
BRCA	ZNF440|126070	1	mod6	0.583957985172007	2.98514051507792e-05	9.55244964824934e-05	0.199062747985064
BRCA	ZNF208|7757	1	mod3	0.334184408674767	9.70296411530161e-06	3.75862188887473e-05	0.190658068166606
BRCA	ZIM3|114026	1	mod2	5.72346739244512	2.03765253253468e-05	6.69514403547109e-05	0.176456117326928
BRCA	ZNF492|57615	1	mod3	0.701144960224176	2.73889684691786e-05	8.84135122513836e-05	0.173167627760292
ESCASTAD	ZNF674|641339	1	mod2	2.01854466237099	1.45316760611035e-07	5.3476567904861e-05	0.494499308931671
ESCASTAD	PRDM9|56979	1	mod3	7.11618165736195	4.53087255364958e-07	8.33680549871522e-05	0.474767853882042
KICHKIRCKIRP	ZNF334|55713	1	mod7	0.678772715603794	5.64156256413373e-12	2.07609502360121e-09	0.351608420340919
KICHKIRCKIRP	ZNF780B|163131	1	mod7	0.719925712456457	9.93775974311249e-10	7.31419117093079e-08	0.288891366889346
