rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF44|51710	1	mod7	0.806268128385211	7.47771661659516e-07	2.45603776052972e-05	0.270877120770664
BRCA	ZNF876P|642280	1	mod3	0.91021245116405	7.84909305180492e-08	1.03120617747732e-05	0.267848211042433
BRCA	ZNF776|284309	1	mod7	0.538046387926292	2.37388995490713e-06	3.62402825799732e-05	0.249676787796317
BRCA	ZNF10|7556	1	mod3	0.534921041079405	5.64532807141526e-07	2.45603776052972e-05	0.237043845832493
BRCA	ZNF493|284443	1	mod3	0.528199994678912	5.95253394070537e-07	2.45603776052972e-05	0.236200934801409
BRCA	ZNF737|100129842	1	mod3	0.385990490112797	1.13219383616499e-06	2.97493040342185e-05	0.225908815252773
BRCA	ZNF799|90576	1	mod6	0.846117342487905	8.41818486931969e-06	4.9069308633679e-05	0.223303575706149
BRCA	ZNF273|10793	1	mod3	0.513307953388946	1.72103708440749e-06	3.62402825799732e-05	0.219140756049723
BRCA	ZNF700|90592	1	mod3	0.688830148012589	1.97386022834022e-06	3.62402825799732e-05	0.216914586372698
BRCA	ZNF680|340252	1	mod6	0.483573378102101	1.36500217889633e-05	7.01024282721589e-05	0.214119564613905
BRCA	ZNF154|7710	1	mod3	0.360119759720941	2.48260746265898e-06	3.62402825799732e-05	0.213177978075874
BRCA	ZNF557|79230	1	mod3	0.663057923942232	2.78560731974512e-06	3.6597036844743e-05	0.211295886952457
BRCA	ZNF606|80095	1	mod6	0.495771271546822	1.90679108029457e-05	8.63835687626426e-05	0.207715926022586
BRCA	ZNF254|9534	1	mod3	0.55391237144842	3.52600706625563e-06	3.89740909813887e-05	0.207431847783566
BRCA	ZNF431|170959	1	mod3	0.584059245859558	3.55984601415938e-06	3.89740909813887e-05	0.207274932712407
BRCA	ZNF793|390927	1	mod3	0.389488849977144	3.99219474013803e-06	4.03454342338722e-05	0.205389772606551
BRCA	ZNF568|374900	1	mod6	0.747543098709164	2.42124413994468e-05	9.35590264195657e-05	0.203114046402003
BRCA	ZNF136|7695	1	mod3	0.684296873263451	4.94485707576967e-06	4.64036065752258e-05	0.20186012948534
BRCA	ZNF780B|163131	1	mod3	0.517942715620471	5.34824927986635e-06	4.68431843839468e-05	0.200563473437179
BRCA	ZNF43|7594	1	mod3	0.501570030410029	6.30020450649331e-06	4.9069308633679e-05	0.197849312801662
BRCA	ZNF320|162967	1	mod3	0.610690650401343	7.00714244165569e-06	4.9069308633679e-05	0.19608322908392
BRCA	ZNF713|349075	1	mod3	0.459345298222954	7.76864388658136e-06	4.9069308633679e-05	0.194366961522068
BRCA	ZNF177|7730	1	mod3	0.589457787677997	7.85833035760302e-06	4.9069308633679e-05	0.194175819889558
BRCA	ZNF418|147686	1	mod3	0.451740016254691	7.89185179125473e-06	4.9069308633679e-05	0.194104928498495
BRCA	ZNF486|90649	1	mod3	0.387091633067327	7.95564265012677e-06	4.9069308633679e-05	0.193970837114984
BRCA	ZNF91|7644	1	mod3	0.45564254553509	8.59036756267384e-06	4.9069308633679e-05	0.192691412318381
BRCA	ZNF529|57711	1	mod3	0.665858747681706	1.20739309904614e-05	6.60942191113806e-05	0.186997815753717
BRCA	ZNF714|148206	1	mod3	0.387308167783335	1.43410954476878e-05	7.01024282721589e-05	0.184107437924815
BRCA	ZNF587|84914	1	mod3	0.3460290562997	1.44069084887725e-05	7.01024282721589e-05	0.184030421244525
BRCA	ZNF83|55769	1	mod3	0.497845919194471	1.83533941769876e-05	8.61161070642686e-05	0.179949802867357
BRCA	ZNF662|389114	1	mod3	0.486747999635284	2.1477452565686e-05	8.77872233410131e-05	0.177291907673866
BRCA	ZNF708|7562	1	mod3	0.491197287823547	2.18310383829334e-05	8.77872233410131e-05	0.177015418251905
BRCA	ZNF506|440515	1	mod3	0.878052657409239	2.18761872085865e-05	8.77872233410131e-05	0.176980431466497
BRCA	ZNF345|25850	1	mod3	0.676236516209695	2.20505397405704e-05	8.77872233410131e-05	0.176845985763881
ESCASTAD	ZIM3|114026	1	mod3	4.4836369469782	2.74709407123039e-08	1.01093061821278e-05	0.542066042035468
ESCASTAD	ZNF534|147658	1	mod2	1.60516570439238	4.10524310492782e-07	7.55364731306719e-05	0.468861389412739
KICHKIRCKIRP	ZNF311|282890	1	mod3	0.801842433903041	5.15816358633614e-15	1.8982041997717e-12	0.395652764620248
KICHKIRCKIRP	ZNF44|51710	1	mod3	0.623518934578863	5.36120068119545e-14	9.86460925339963e-12	0.372307521537027
KICHKIRCKIRP	ZNF177|7730	1	mod3	0.980371514502618	8.66209222604936e-12	1.06254997972872e-09	0.318573619473307
KICHKIRCKIRP	ZNF320|162967	1	mod3	0.591404489987424	3.28653335568056e-10	3.02361068722612e-08	0.27749783740297
KICHKIRCKIRP	ZNF160|90338	1	mod3	0.876997163132312	6.29346806989963e-10	4.63199249944613e-08	0.269918587267347
KICHKIRCKIRP	ZNF10|7556	1	mod3	0.720578789108608	9.07756991533889e-10	5.56757621474119e-08	0.265612907317054
KICHKIRCKIRP	ZNF157|7712	1	mod2	1.09153351978791	2.1682231958904e-09	1.13986590869667e-07	0.253490373603325
KICHKIRCKIRP	ZNF425|155054	1	mod3	0.748218893016613	2.64903713899538e-09	1.21855708393787e-07	0.252889229169241
KICHKIRCKIRP	ZNF334|55713	1	mod3	0.723383774108946	3.46871321370246e-09	1.41831829182501e-07	0.249654699264927
KICHKIRCKIRP	ZNF300|91975	1	mod3	0.588353535012603	4.38591340201183e-09	1.48090496028841e-07	0.246829382657311
KICHKIRCKIRP	ZNF662|389114	1	mod3	0.686479311260838	4.42661808781863e-09	1.48090496028841e-07	0.246717937202118
KICHKIRCKIRP	ZNF204P|7754	1	mod3	0.611922040338913	5.27453879061539e-09	1.61752522912205e-07	0.244600839930139
KICHKIRCKIRP	ZNF491|126069	1	mod3	1.13018283547944	2.31914123878495e-08	5.68962650581907e-07	0.22649560866373
KICHKIRCKIRP	ZNF75D|7626	1	mod3	1.38751720919548	2.62056080335443e-08	6.02728984771519e-07	0.224984455137525
KICHKIRCKIRP	ZNF808|388558	1	mod7	0.670699063773586	1.29695088727781e-07	2.51198908693807e-06	0.224696097116384
KICHKIRCKIRP	ZNF823|55552	1	mod3	0.837787781623089	7.45206386534678e-08	1.6131526484986e-06	0.211952258569222
KICHKIRCKIRP	HKR1|284459	1	mod3	1.15854805391532	1.20829778023673e-07	2.47029768403953e-06	0.205860709283988
KICHKIRCKIRP	ZNF763|284390	1	mod3	0.624447846172791	1.80728854559886e-07	3.11415544504718e-06	0.200755013010151
KICHKIRCKIRP	ZNF514|84874	1	mod3	0.603890963218376	1.8617233638869e-07	3.11415544504718e-06	0.200377577164837
KICHKIRCKIRP	ZNF620|253639	1	mod7	0.933923622264886	9.05130604598089e-07	1.14857952583482e-05	0.197684747415644
KICHKIRCKIRP	ZNF415|55786	1	mod3	0.604532409572175	2.69552006137226e-07	4.31283209819562e-06	0.195657550575655
KICHKIRCKIRP	ZNF497|162968	1	mod3	0.547599755682257	4.42886881936982e-07	6.79093218970039e-06	0.189287342150179
KICHKIRCKIRP	ZNF69|7620	1	mod3	0.592326805187337	4.70965152059286e-07	6.93260703831269e-06	0.188495796475442
KICHKIRCKIRP	ZNF611|81856	1	mod7	0.609876686835381	2.99227803409492e-06	3.33684338347554e-05	0.180668039008243
KICHKIRCKIRP	ZNF701|55762	1	mod7	0.746444139630618	3.85105451657018e-06	4.04910874885094e-05	0.177039744372645
KICHKIRCKIRP	ZNF700|90592	1	mod3	0.958380983568849	1.36539743737089e-06	1.62085889339512e-05	0.174686834524815
KICHKIRCKIRP	ZNF713|349075	1	mod7	0.613619675661329	4.9833491228807e-06	4.70223712107717e-05	0.173319869843686
KICHKIRCKIRP	ZNF23|7571	1	mod3	0.933188465625269	1.63393346712666e-06	1.87902348719566e-05	0.172338624833452
KICHKIRCKIRP	ZNF844|284391	1	mod7	0.397750878423366	1.07494667439249e-05	8.59957339513993e-05	0.162146621498449
KICHKIRCKIRP	ZNF239|8187	1	mod3	0.724401824438662	3.63575718573172e-06	3.93517248338021e-05	0.161812683433389
KICHKIRCKIRP	ZNF433|163059	1	mod3	0.572266681029019	4.35455029012702e-06	4.33101218045065e-05	0.15942396591129
KICHKIRCKIRP	ZNF599|148103	1	mod3	1.06255883815801	4.96086078329033e-06	4.70223712107717e-05	0.157694614660711
KICHKIRCKIRP	ZNF883|169834	1	mod3	0.380043380508357	5.25490666018825e-06	4.83451412737319e-05	0.156929834201494
KICHKIRCKIRP	ZNF132|7691	1	mod3	0.607897783315433	5.87408414688946e-06	5.27234869769591e-05	0.155448935888977
KICHKIRCKIRP	ZNF133|7692	1	mod3	0.764831849410466	6.51386897641973e-06	5.70738996029157e-05	0.154072676934152
KICHKIRCKIRP	ZNF273|10793	1	mod3	0.667636760179051	8.111835884273e-06	6.94222233816852e-05	0.151146470030416
KICHKIRCKIRP	ZNF251|90987	1	mod3	0.717931402656216	1.03150513687684e-05	8.43541978601507e-05	0.147932928611894
KICHKIRCKIRP	ZNF559|84527	1	mod3	0.833988483205513	1.12397381417521e-05	8.8004758216272e-05	0.146782549609974
LUADLUSC	ZNF337|26152	1	mod3	0.49224620860075	2.15513920776516e-07	5.31654288144606e-05	0.228766536092404
LUADLUSC	ZNF600|162966	1	mod3	0.679354177136379	3.3519018878163e-07	5.31654288144606e-05	0.222384201541588
LUADLUSC	ZNF662|389114	1	mod3	0.431557924967151	4.33413821857016e-07	5.31654288144606e-05	0.218649366920407
LUADLUSC	ZNF789|285989	1	mod3	0.576416703257228	8.02446744205777e-07	5.76144178202804e-05	0.209634445866847
LUADLUSC	ZNF44|51710	1	mod3	0.776863125375984	8.83591871837927e-07	5.76144178202804e-05	0.208216599005804
LUADLUSC	ZNF169|169841	1	mod3	0.657115850477058	9.39365507939354e-07	5.76144178202804e-05	0.207314552037002
LUADLUSC	ZNF780B|163131	1	mod3	0.543928229832446	1.38964287598384e-06	7.20274785195787e-05	0.201522900899644
LUADLUSC	ZNF83|55769	1	mod3	0.480037891671682	1.56581475042562e-06	7.20274785195787e-05	0.199750513047193
LUADLUSC	ZNF23|7571	1	mod3	0.661057523228338	2.09961101715005e-06	8.58507615901352e-05	0.195380576107535
