rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF808|388558	1	mod2	0.872052398484997	2.32102220074201e-08	8.54136169873059e-06	0.283727647522115
BRCA	ZNF141|7700	1	mod3	0.609216169759675	4.53073948722842e-07	7.86150439778634e-05	0.240533847277001
BRCA	ZNF431|170959	1	mod3	0.638015484096906	6.40883510689104e-07	7.86150439778634e-05	0.235024647834212
BRCA	ZNF655|79027	1	mod3	0.916588727820242	9.36930470826736e-07	8.61976033160597e-05	0.228951670370298
ESCASTAD	ZNF333|84449	1	mod2	1.06231110191926	3.83969496825102e-09	1.41300774831637e-06	0.575167128088319
ESCASTAD	ZNF382|84911	1	mod2	0.940167028400522	1.10391683204091e-08	2.03120697095527e-06	0.553102429715585
ESCASTAD	ZNF660|285349	1	mod2	1.17614982161572	1.67290033959614e-08	2.05209108323793e-06	0.544115815819823
ESCASTAD	ZNF483|158399	1	mod2	0.688943327747435	9.37938436352462e-08	8.62903361444265e-06	0.504949573108097
ESCASTAD	ZNF154|7710	1	mod2	0.80438870085007	1.44226681221099e-07	1.06150837378729e-05	0.494680807032562
ESCASTAD	ZIM3|114026	1	mod3	3.97164735236404	2.40587063034093e-07	1.12613621744868e-05	0.490747176251498
ESCASTAD	ZNF578|147660	1	mod3	1.08550408295309	2.45995655206828e-07	1.12613621744868e-05	0.490193902248918
ESCASTAD	ZNF25|219749	1	mod2	0.677657862584823	2.25893459544441e-07	1.12613621744868e-05	0.483756288000944
ESCASTAD	ZNF471|57573	1	mod2	0.669579502627091	3.0601527648062e-07	1.12613621744868e-05	0.47623741802303
ESCASTAD	ZNF548|147694	1	mod2	1.24285889844469	4.04517883387528e-07	1.35329619169646e-05	0.46923376637183
ESCASTAD	ZNF135|7694	1	mod2	0.739192019902825	8.2631763744612e-07	2.3391145429244e-05	0.450900205436015
ESCASTAD	ZNF248|57209	1	mod2	0.921449990548703	1.11889454969014e-06	2.94109424489979e-05	0.442940520692929
ESCASTAD	ZNF780B|163131	1	mod2	0.923759181010917	1.24422929143304e-06	3.0525091949824e-05	0.440126805157131
ESCASTAD	ZNF674|641339	1	mod2	1.93789015380184	1.40894959309714e-06	3.24058406412343e-05	0.436815029398313
ESCASTAD	ZNF534|147658	1	mod3	1.43190363129864	1.96685457825347e-06	4.02112491554042e-05	0.435857866726363
ESCASTAD	ZNF566|84924	1	mod2	1.09719686447121	1.60969242570019e-06	3.48451066269217e-05	0.43324655050874
ESCASTAD	ZIM2|23619	1	mod3	0.828634015964271	2.78292825520167e-06	4.6083696542958e-05	0.426270840604188
ESCASTAD	ZNF793|390927	1	mod2	0.804478014282763	2.50626476684513e-06	4.6083696542958e-05	0.421232101027843
ESCASTAD	ZNF10|7556	1	mod2	0.653925986409315	2.56254590033476e-06	4.6083696542958e-05	0.420623244658397
ESCASTAD	ZNF573|126231	1	mod2	1.15414712007368	2.80327247392973e-06	4.6083696542958e-05	0.418155532326723
ESCASTAD	ZNF84|7637	1	mod2	0.805270625650337	2.88023103393487e-06	4.6083696542958e-05	0.417409251547164
ESCASTAD	ZNF665|79788	1	mod3	1.01103341762784	5.6996562094053e-06	8.0933028466623e-05	0.405984777053943
ESCASTAD	ZNF667|63934	1	mod2	0.734954516080089	4.97741628041938e-06	7.63203829664305e-05	0.402143458517182
ESCASTAD	ZNF197|10168	1	mod2	1.52055090563424	5.71809440253315e-06	8.0933028466623e-05	0.398213667304006
ESCASTAD	ZNF615|284370	1	mod2	0.933883329751319	6.8309160727934e-06	9.30424569084249e-05	0.393141403699361
ESCASTAD	ZNF677|342926	1	mod2	0.93988316101063	7.55797179041029e-06	9.30424569084249e-05	0.390238799553993
ESCASTAD	ZFP28|140612	1	mod2	0.707283731539026	7.58498290014334e-06	9.30424569084249e-05	0.390136187966427
ESCASTAD	ZNF354A|6940	1	mod2	1.15022620197804	7.93665330412643e-06	9.32047319234307e-05	0.388831227622901
ESCASTAD	ZNF470|388566	1	mod2	1.02042734701653	8.10475929768963e-06	9.32047319234307e-05	0.388226854593088
LUADLUSC	ZNF160|90338	1	mod3	0.687175232782166	2.68666884232999e-08	9.88694133977435e-06	0.258232855848716
LUADLUSC	ZNF662|389114	1	mod3	0.449050686339633	1.09982888426461e-07	1.40715541451672e-05	0.238398757838273
LUADLUSC	ZNF514|84874	1	mod3	0.37232544491331	1.14713756618211e-07	1.40715541451672e-05	0.237798863264996
LUADLUSC	ZNF337|26152	1	mod3	0.469702132709141	7.9579881008807e-07	7.32134905281025e-05	0.209756790106689
