rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF84|7637	1	mod3	0.658626366657763	3.46027299919831e-09	1.27338046370498e-06	0.314284013279962
BRCA	ZNF248|57209	1	mod3	0.682136301194028	6.96975454551396e-09	1.28243483637457e-06	0.30411097956232
BRCA	ZNF780B|163131	1	mod3	0.462447991201659	2.41375783546166e-08	2.83039610308444e-06	0.285719273168984
BRCA	ZNF141|7700	1	mod3	0.479844480016119	3.38511903506025e-08	2.83039610308444e-06	0.280634927877125
BRCA	ZFP14|57677	1	mod3	0.494259388745609	3.84564687919082e-08	2.83039610308444e-06	0.278708795445593
BRCA	ZNF540|163255	1	mod3	0.425144047609389	4.75740112603575e-08	2.91582072533307e-06	0.275485501666828
BRCA	ZNF605|100289635	1	mod3	0.573530208217176	5.54639811884007e-08	2.91582072533307e-06	0.273152647979945
BRCA	ZNF223|7766	1	mod3	0.54339642227514	6.95734531554218e-08	2.95842887359249e-06	0.269694413597375
BRCA	ZNF616|90317	1	mod3	0.569864695764092	8.28376184584337e-08	2.95842887359249e-06	0.267021730733207
BRCA	ZNF461|92283	1	mod3	0.667310602877999	8.49615375474821e-08	2.95842887359249e-06	0.266633243058108
BRCA	ZNF420|147923	1	mod3	0.607904891715215	8.84312978519494e-08	2.95842887359249e-06	0.266018631563825
BRCA	ZNF345|25850	1	mod3	0.612135106706861	1.39818056562235e-07	3.95792652422328e-06	0.258951185069682
BRCA	ZNF169|169841	1	mod3	0.570974947279043	1.53155465872216e-07	4.02580081721253e-06	0.257538313813571
BRCA	ZNF302|55900	1	mod2	0.69672532854128	1.33440292644491e-07	3.95792652422328e-06	0.25729047028666
BRCA	ZNF836|162962	1	mod3	0.575127976941457	2.33306226543483e-07	5.49857857631969e-06	0.250980073713975
BRCA	ZNF493|284443	1	mod3	0.406885379490823	2.41048886327381e-07	5.49857857631969e-06	0.250469215416235
BRCA	ZNF224|7767	1	mod3	0.534025912192673	2.54010423362594e-07	5.49857857631969e-06	0.24964902064526
BRCA	ZNF225|7768	1	mod3	0.630380152536154	2.88117859611144e-07	5.89040957427228e-06	0.247672695118997
BRCA	ZNF717|100131827	1	mod3	0.524287238744194	4.06938129912583e-07	7.83469529772632e-06	0.242232843465665
BRCA	ZNF12|7559	1	mod3	0.57876950653171	4.25798657485126e-07	7.83469529772632e-06	0.241516511767172
BRCA	ZNF525|170958	1	mod3	0.354176613859091	4.63985357543024e-07	8.13079102742061e-06	0.240156910475349
BRCA	ZNF585A|199704	1	mod3	0.550420188033355	5.36174728265031e-07	8.96874090916052e-06	0.237862904576611
BRCA	ZNF253|56242	1	mod3	0.450191122795327	6.87004517679245e-07	1.09920722828679e-05	0.233916469204965
BRCA	ZNF260|339324	1	mod3	0.497075874931376	7.39298646214923e-07	1.13359125752955e-05	0.232745090317832
BRCA	ZNF182|7569	1	mod3	0.717477107308416	9.57757894105413e-07	1.40397294199447e-05	0.22859880122181
BRCA	ZNF780A|284323	1	mod3	0.429834619025546	9.91937404670006e-07	1.40397294199447e-05	0.228035727371561
BRCA	ZNF91|7644	1	mod3	0.369614732116387	1.08538279222442e-06	1.47933654643921e-05	0.226588427669154
BRCA	ZNF615|284370	1	mod3	0.579698222860235	1.20806474400319e-06	1.58774223497562e-05	0.224863835020385
BRCA	ZNF606|80095	1	mod3	0.437869724571639	1.93900962698783e-06	2.46053635424663e-05	0.217204220050331
BRCA	ZNF33A|7581	1	mod3	0.45290812149783	2.07709311430867e-06	2.54790088688531e-05	0.21608522963847
BRCA	ZNF529|57711	1	mod3	0.534435276699865	2.18343833931716e-06	2.59195260925392e-05	0.215272179316395
BRCA	ZNF429|353088	1	mod3	0.434221425858232	2.50848358234693e-06	2.84771236924187e-05	0.213008664766143
BRCA	ZNF430|80264	1	mod3	0.454257895485598	2.59938034133381e-06	2.84771236924187e-05	0.212427213367081
BRCA	ZNF551|90233	1	mod3	0.351446798916749	2.65652883050693e-06	2.84771236924187e-05	0.212071786231397
BRCA	ZNF286A|57335	1	mod3	0.37834910606978	2.70842209031156e-06	2.84771236924187e-05	0.211755491864217
BRCA	ZNF674|641339	1	mod3	0.641968586925369	2.81742017027295e-06	2.88002950739013e-05	0.21111008636791
BRCA	ZFP37|7539	1	mod3	0.500813824444369	2.95876879893538e-06	2.89499024947021e-05	0.210308725523482
BRCA	ZNF175|7728	1	mod3	0.517682707340641	2.9893921054312e-06	2.89499024947021e-05	0.210140074564273
BRCA	ZNF841|284371	1	mod3	0.42984015862238	3.24634656765291e-06	3.06321932537505e-05	0.208788373475122
BRCA	ZNF273|10793	1	mod3	0.37347800263705	3.55201555184016e-06	3.26785430769294e-05	0.207311112714033
BRCA	ZNF626|199777	1	mod3	0.357357007758008	3.90632638762537e-06	3.50616612352717e-05	0.2057476680341
BRCA	ZNF264|9422	1	mod3	0.646651552307531	4.53736479144182e-06	3.88569876649637e-05	0.203280125366072
BRCA	ZNF154|7710	1	mod3	0.262913086536353	4.60171132109697e-06	3.88569876649637e-05	0.20304775944772
BRCA	ZNF675|171392	1	mod3	0.358576474119457	4.71909548776518e-06	3.88569876649637e-05	0.202631975512916
BRCA	ZNF234|10780	1	mod3	0.615593894876923	4.78775864028553e-06	3.88569876649637e-05	0.202393452246687
BRCA	ZNF37A|7587	1	mod3	0.502029662290482	4.85712345812046e-06	3.88569876649637e-05	0.20215588128234
BRCA	ZNF283|284349	1	mod3	0.652157657480608	5.3761799286574e-06	4.20943449733175e-05	0.200477286958448
BRCA	ZNF765|91661	1	mod3	0.668148214033805	5.53346141521731e-06	4.24232041833327e-05	0.200000027448876
BRCA	ZNF549|256051	1	mod3	0.543761247972921	5.79269922639545e-06	4.35043533737454e-05	0.199241755767169
BRCA	ZNF483|158399	1	mod3	0.293269016331598	6.54632920756393e-06	4.81809829676705e-05	0.19721327201364
BRCA	ZNF776|284309	1	mod3	0.382215872692333	6.75207410154996e-06	4.87208484190272e-05	0.19669936884714
BRCA	ZNF227|7770	1	mod3	0.63916999370066	7.11479300531149e-06	4.96478054047813e-05	0.195829781090431
BRCA	ZNF701|55762	1	mod3	0.585053111511417	7.26051316712506e-06	4.96478054047813e-05	0.195492644573252
BRCA	ZNF567|163081	1	mod3	0.563371645648668	7.2852757930929e-06	4.96478054047813e-05	0.195436016102011
BRCA	ZNF214|7761	1	mod3	0.416120704135983	7.44128876693199e-06	4.97889866587449e-05	0.195083531268796
BRCA	ZNF793|390927	1	mod3	0.283564482606648	7.6864856154696e-06	5.05111911873717e-05	0.194543972658647
