rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.930176116146713	2.04525179521019e-17	4.42736859198441e-16	0.54121800506303
BRCA	ZNF32|7580	1	mod3	-1.09187239593121	3.8128450808972e-12	2.15879869330216e-11	0.406163275554043
BRCA	ZNF18|7566	1	mod7	-1.05438085260456	9.53474307949858e-08	2.14619402981613e-07	0.307346963134704
BRCA	ZNF747|65988	1	mod3	-1.02792426487516	3.30529356969297e-07	7.09992044440593e-07	0.245513365441272
BRCA	ZNF71|58491	1	mod3	-0.876820377062604	3.93183460886293e-07	8.31560423023883e-07	0.242776109391276
BRCA	ZNF768|79724	1	mod3	-0.545954696501053	1.55393568429008e-06	3.05801246961899e-06	0.220796119094094
BRCA	ZNF205|7755	1	mod3	-0.428795997942045	1.68426652802157e-06	3.26215832795757e-06	0.219491036050205
BRCA	ZNF584|201514	1	mod3	-1.152920629983	1.6044492410719e-05	2.69606082518017e-05	0.18221786406324
BRCA	ZNF746|155061	1	mod3	-0.92190821590151	1.81324135495866e-05	2.97889651171779e-05	0.18015434902157
COADREAD	ZNF511|118472	1	mod3	-1.15263239707423	1.70625326398312e-07	1.25580240229158e-05	0.629369301291728
LUADLUSC	ZNF511|118472	1	mod7	-0.799924245680725	3.43360795910046e-13	4.67988047758877e-12	0.46152829081036
LUADLUSC	ZNF32|7580	1	mod7	-0.61831921956156	5.0839856888002e-11	4.92343877231177e-10	0.396182293633526
LUADLUSC	ZNF627|199692	1	mod7	-0.487440701254023	5.46112195100409e-07	2.57652933073014e-06	0.254310905967083
LUADLUSC	ZNF468|90333	1	mod7	-0.679228345481017	1.36941641546088e-05	5.47766566184353e-05	0.198409004910818
