rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF141|7700	1	mod3	0.950750824949622	7.88821131560114e-26	2.90286176414122e-23	0.69674676878026
BRCA	ZNF780B|163131	1	mod7	0.846419551676753	1.44137517933205e-20	1.32606516498549e-18	0.671971269310454
BRCA	ZNF841|284371	1	mod3	0.951911889628788	8.85782418752441e-23	1.62983965050449e-20	0.647569914135268
BRCA	ZNF432|9668	1	mod7	0.958073408138291	1.95128453745156e-18	7.9785856642464e-17	0.628288033051866
BRCA	ZNF655|79027	1	mod3	1.39106318016333	1.22890225844407e-21	1.50745343702473e-19	0.627186484120111
BRCA	ZNF33A|7581	1	mod7	0.892384061970108	5.76940032902323e-18	1.93012665552777e-16	0.617889237978308
BRCA	ZNF662|389114	1	mod7	0.790670424584303	1.08544254424389e-17	3.18982633813581e-16	0.611694789304352
BRCA	ZNF587|84914	1	mod7	0.543436813943039	1.12684082597189e-17	3.18982633813581e-16	0.611324830837594
BRCA	ZNF431|170959	1	mod7	0.920521368831473	3.18883811311055e-17	6.51940236458156e-16	0.600902782190377
BRCA	ZNF37A|7587	1	mod3	1.08570571797714	4.21742002046819e-20	2.6632562860643e-18	0.597933244081034
BRCA	ZNF417|147687	1	mod3	0.811235753892529	4.3422656838005e-20	2.6632562860643e-18	0.597682671966962
BRCA	ZNF493|284443	1	mod3	0.788055115517655	6.51006317888777e-20	3.42243321404386e-18	0.594188437325681
BRCA	ZNF483|158399	1	mod3	0.626515599106701	1.06931968974276e-18	4.91887057281671e-17	0.569204567410016
BRCA	ZNF611|81856	1	mod3	1.12433283922282	2.29163112484077e-18	8.43320253941403e-17	0.562141336052126
BRCA	ZNF121|7675	1	mod7	0.673046119165824	1.87343837784034e-15	2.55342712238979e-14	0.557374420397201
BRCA	ZNF83|55769	1	mod3	0.81428413766204	1.52955862420837e-17	3.91887724184197e-16	0.544050991105657
BRCA	ZNF91|7644	1	mod3	0.719915215669375	1.59736844096819e-17	3.91887724184197e-16	0.543629117952381
BRCA	ZNF720|124411	1	mod3	1.60087635222202	1.86145952192621e-17	4.28135690043028e-16	0.542138024194165
BRCA	ZNF10|7556	1	mod7	0.690381619364582	8.8829813021109e-15	1.12721969626787e-13	0.53953720363355
BRCA	ZNF776|284309	1	mod7	0.743311093939464	2.47000058205238e-14	2.75442489150083e-13	0.527434494645535
BRCA	ZNF701|55762	1	mod3	1.20471151020322	1.12838489005195e-16	2.18550336599536e-15	0.524211784401385
BRCA	ZNF43|7594	1	mod3	0.765987425160946	1.4757162156854e-16	2.71531783686113e-15	0.521483837678497
BRCA	ZKSCAN1|7586	1	mod3	0.52941438441638	2.90803819690463e-16	5.09599074505192e-15	0.514519612961577
BRCA	ZNF829|374899	1	mod3	0.861947061741278	4.32412707902949e-16	7.23308529583115e-15	0.510400499700822
BRCA	ZNF12|7559	1	mod3	1.0521993377707	7.36662066413531e-16	1.17865930626165e-14	0.504815194358307
BRCA	ZNF81|347344	1	mod3	0.6145591927034	8.89791176904254e-16	1.36434647125319e-14	0.502820261003059
BRCA	ZNF678|339500	1	mod3	0.765589209466749	1.03297529347813e-15	1.52053963199981e-14	0.501238543336734
BRCA	ZNF84|7637	1	mod3	1.0406297508493	1.65988711929786e-15	2.34937869192928e-14	0.496177842085132
BRCA	ZNF135|7694	1	mod7	0.935434631049818	5.04030597763748e-13	3.37242290867381e-12	0.489901898216366
BRCA	ZNF708|7562	1	mod3	0.76656783582329	3.79937183389401e-15	4.99346012454642e-14	0.487221613015739
BRCA	ZNF713|349075	1	mod7	0.633309457965348	1.2533617959011e-12	7.95236449813111e-12	0.478003544324244
BRCA	ZNF41|7592	1	mod7	1.19740465957338	1.70845002115836e-12	1.04784934631046e-11	0.473896420371914
BRCA	ZNF525|170958	1	mod3	0.625464197216575	1.29712234740505e-14	1.5911367461502e-13	0.473653837278095
BRCA	ZNF260|339324	1	mod3	0.889984492715587	1.52403694238185e-14	1.80917933805329e-13	0.471846634318309
BRCA	ZNF320|162967	1	mod3	0.887385894305756	2.16395375474379e-14	2.48854681795536e-13	0.467895786524686
BRCA	ZNF273|10793	1	mod7	0.63900033508771	3.22970549508102e-12	1.90166649456991e-11	0.465353991959724
BRCA	ZNF529|57711	1	mod3	0.981530600225579	4.63803386363822e-14	5.0199895935849e-13	0.459204553754402
BRCA	ZNF75D|7626	1	mod3	1.41840884451291	6.20678617018351e-14	6.52599231607866e-13	0.455846561923028
BRCA	ZNF445|353274	1	mod7	0.972381629354491	6.68664474470607e-12	3.5585232248429e-11	0.455427014422724
BRCA	ZNF813|126017	1	mod3	0.773462815313925	7.02863834106262e-14	7.09945512068325e-13	0.454407189820628
BRCA	ZNF585B|92285	1	mod3	0.924324192436935	7.13803911590435e-14	7.09945512068325e-13	0.454228151071543
BRCA	ZNF791|163049	1	mod3	0.872862485792416	7.35889222026104e-14	7.12650615014753e-13	0.453874761863662
BRCA	ZNF793|390927	1	mod7	0.498874246353685	8.33405376112356e-12	4.31962223111757e-11	0.452387639313128
BRCA	ZNF347|84671	1	mod3	0.891171840944293	9.24872916561556e-14	8.72700598191417e-13	0.451216743423658
BRCA	ZNF737|100129842	1	mod3	0.512730436748025	9.84404308661125e-14	9.05651963968235e-13	0.450489165286031
BRCA	ZNF430|80264	1	mod3	0.83141306595336	1.02404886549074e-13	9.19146298781935e-13	0.450028169209692
BRCA	ZNF721|170960	1	mod3	0.938881810031827	1.05003255664914e-13	9.20028525825916e-13	0.449735412839169
BRCA	ZNF254|9534	1	mod3	0.763724890033432	1.48763839742272e-13	1.27314169825944e-12	0.445649454583824
BRCA	ZNF429|353088	1	mod3	0.789082191922885	1.59121120227843e-13	1.33083118736014e-12	0.444856644621784
BRCA	ZNF621|285268	1	mod3	0.972514842939613	1.98472821747847e-13	1.6230666311824e-12	0.44224582943894
BRCA	ZNF224|7767	1	mod3	0.892728406049798	2.16610594420906e-13	1.73288475536725e-12	0.441209382154993
BRCA	ZNF660|285349	1	mod3	1.1069052603632	2.2290468711046e-13	1.74529627354573e-12	0.440869498105107
BRCA	ZNF169|169841	1	mod7	0.850034816671432	2.02801080333953e-11	9.56805096960189e-11	0.439947147516705
BRCA	ZNF268|10795	1	mod3	0.922160578408015	2.62043108194583e-13	2.00899716282514e-12	0.438946190755898
BRCA	ZNF345|25850	1	mod3	1.00174038776817	2.70550664849416e-13	2.03189070744051e-12	0.438565556766576
BRCA	ZNF717|100131827	1	mod3	0.886351116628294	2.87731533587882e-13	2.11770408720681e-12	0.437831365912132
BRCA	ZNF765|91661	1	mod3	1.2417891830957	3.11097629704368e-13	2.24478289669034e-12	0.436898950970277
BRCA	ZNF214|7761	1	mod3	0.782319474433654	3.33568390484943e-13	2.36063784035498e-12	0.436064836167869
BRCA	ZNF136|7695	1	mod3	0.944195769311323	3.85775070730606e-13	2.6785891703559e-12	0.434321892289806
BRCA	ZFP14|57677	1	mod3	0.775605349169865	3.95153068208199e-13	2.69289498334476e-12	0.434033484601604
BRCA	ZNF605|100289635	1	mod7	0.824083554523174	3.63519320338337e-11	1.63140377907937e-10	0.431634936272086
BRCA	ZNF506|440515	1	mod3	1.28239412391566	7.28983622040056e-13	4.79046380197751e-12	0.426631923558816
BRCA	RBAK|57786	1	mod7	0.873312498227136	5.19610731769548e-11	2.22345057315342e-10	0.426488124658512
BRCA	ZNF844|284391	1	mod3	0.625751031015104	1.09584161586052e-12	7.07490727432755e-12	0.421653198910189
BRCA	ZNF761|388561	1	mod3	1.03624352092954	1.67376356173813e-12	1.04397456054175e-11	0.416435640826691
BRCA	ZNF134|7693	1	mod7	0.864841360161367	1.20859938948925e-10	4.58520180754686e-10	0.414147834551712
BRCA	ZNF562|54811	1	mod3	0.627107024432461	2.08682359553182e-12	1.25893620189461e-11	0.413700557403614
BRCA	ZNF354B|117608	1	mod3	0.808565912930608	3.25557035755175e-12	1.90166649456991e-11	0.408148194527455
BRCA	ZNF714|148206	1	mod3	0.541137687076465	3.81309551806087e-12	2.15879869330216e-11	0.406162449135294
BRCA	ZSCAN29|146050	1	mod3	1.26252593200728	5.22417978391725e-12	2.91287600072962e-11	0.402188013948716
BRCA	ZNF440|126070	1	mod3	0.839417499444286	5.32514458241811e-12	2.92485553183562e-11	0.40194555853078
BRCA	ZFP90|146198	1	mod3	1.22432749708052	6.6418592007099e-12	3.5585232248429e-11	0.399140087593619
BRCA	ZNF528|84436	1	mod3	0.772869892851195	6.76893004725552e-12	3.5585232248429e-11	0.39889887233273
BRCA	ZNF814|730051	1	mod7	0.616955176100155	3.90130104602043e-10	1.31713649994084e-09	0.396593478400403
BRCA	ZNF846|162993	1	mod3	1.01467567671763	9.32580756257987e-12	4.7665238653186e-11	0.394806042830027
