rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-0.863432379273049	2.34953215590637e-12	1.57389915274558e-10	0.412225115862959
BRCA	ZNF32|7580	1	mod3	-0.852246022329879	1.76437213930416e-06	5.27877192897503e-06	0.218737258384122
BRCA	ZNF768|79724	1	mod3	-0.568554969987696	2.7226386561419e-06	7.76690717411024e-06	0.211669879379446
BRCA	ZNF205|7755	1	mod3	-0.427602873937421	8.46096136534352e-06	2.10380660976109e-05	0.192944539246471
BRCA	ZNF71|58491	1	mod3	-0.802656940862994	1.8475721321695e-05	4.27270777278419e-05	0.179837612799996
KICHKIRCKIRP	ZNF215|7762	1	mod3	-0.380826484747303	7.75351412499601e-07	9.20417160644688e-06	0.182052240795653
PRAD	ZNF761|388561	1	mod3	-0.333399150419156	3.34881715675523e-08	2.31581235056798e-06	0.473543316490083
PRAD	ZNF677|342926	1	mod3	-1.19768258763121	6.79645555430609e-08	3.57299377712091e-06	0.458130769723454
PRAD	ZNF582|147948	1	mod6	-1.73813598387989	3.94459536675867e-07	1.20967591247266e-05	0.446182975591669
PRAD	ZNF813|126017	1	mod3	-0.453136975472601	1.37292274990869e-07	6.31544464957999e-06	0.442394550425454
PRAD	ZNF649|65251	1	mod3	-0.716179126855193	1.99984296041033e-07	7.35942209431002e-06	0.433799501932643
PRAD	ZNF613|79898	1	mod3	-0.501630361523414	1.36599950532505e-06	3.1417988622476e-05	0.387910602506257
PRAD	ZNF350|59348	1	mod3	-0.51377624406259	1.96200241236126e-06	4.24715816322909e-05	0.378883223085317
PRAD	ZNF583|147949	1	mod3	-1.11415286747194	2.65663891487458e-06	5.1454901088097e-05	0.371231902506479
PRAD	ZNF615|284370	1	mod3	-0.598012247257711	3.16500598562318e-06	5.82361101354665e-05	0.366772394255932
