rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF141|7700	1	mod3	0.820320235538032	4.92887224786292e-14	9.18412329214253e-12	0.458505246952857
BRCA	ZNF720|124411	1	mod3	1.56562725206466	4.99137135442529e-14	9.18412329214253e-12	0.458360255976794
BRCA	ZNF83|55769	1	mod3	0.781703796984303	1.82964433568302e-13	2.24436371843783e-11	0.443208435904387
BRCA	ZNF701|55762	1	mod3	1.134372654246	2.62244112866163e-12	1.57389915274558e-10	0.410854526801602
BRCA	ZNF776|284309	1	mod7	0.686759039383141	1.635511429903e-10	3.66778626403816e-09	0.409663935453291
BRCA	ZNF780B|163131	1	mod3	0.74033133972711	2.95603953864022e-12	1.57389915274558e-10	0.409357503170137
BRCA	ZNF841|284371	1	mod3	0.804826864232628	2.99382991011388e-12	1.57389915274558e-10	0.409198476468301
BRCA	ZNF587|84914	1	mod7	0.466103225875889	1.68791807643114e-10	3.66778626403816e-09	0.409194517692491
BRCA	ZNF417|147687	1	mod3	0.709035925773262	4.67316963373813e-12	2.14965803151954e-10	0.403597900966521
BRCA	ZNF655|79027	1	mod3	1.18037285948153	6.6169698821379e-12	2.70560546291861e-10	0.399187863394354
BRCA	ZNF493|284443	1	mod3	0.673318653939996	2.24769264534796e-11	8.27150893488049e-10	0.383431883766066
BRCA	ZNF273|10793	1	mod7	0.606260608451864	1.06529954409555e-09	1.18797040068837e-08	0.381146238113521
BRCA	ZNF483|158399	1	mod3	0.543621044087216	3.19682549032675e-11	1.06948343676386e-09	0.378820121115745
BRCA	ZNF611|81856	1	mod3	0.977787258565685	4.01459556014137e-11	1.23114263844335e-09	0.375820439942429
BRCA	ZNF829|374899	1	mod3	0.772667197606857	1.08595435486547e-10	3.07408617377301e-09	0.362552390763068
BRCA	ZNF33A|7581	1	mod7	0.716119230776031	3.57007182613468e-09	3.2844660800439e-08	0.362050671482632
BRCA	ZNF43|7594	1	mod3	0.676598172927425	1.34525105726599e-10	3.5360884933849e-09	0.359662478666288
BRCA	ZNF264|9422	1	mod3	1.1453950373049	1.69435778501763e-10	3.66778626403816e-09	0.356534540052606
BRCA	ZNF81|347344	1	mod3	0.549089688851926	1.92194059402526e-10	3.92930077000719e-09	0.354819783050303
BRCA	ZNF429|353088	1	mod3	0.747026798921377	2.28827139779407e-10	4.43202039151693e-09	0.352438934915365
BRCA	ZNF814|730051	1	mod7	0.605517938836677	8.71465683064092e-09	6.41398742735172e-08	0.347603415726438
BRCA	ZNF662|389114	1	mod3	0.681363914989694	3.38694469117752e-10	6.15139659566657e-09	0.347057092881997
BRCA	ZNF678|339500	1	mod3	0.677091447167491	3.51030783991842e-10	6.15139659566657e-09	0.346563983258649
BRCA	ZNF260|339324	1	mod3	0.809436049550586	3.92738768867042e-10	6.50284908832995e-09	0.34501421308189
BRCA	ZNF268|10795	1	mod3	0.868966699546121	4.06428068020622e-10	6.50284908832995e-09	0.344540568358887
BRCA	ZNF136|7695	1	mod3	0.892484451763967	4.53472355171876e-10	6.95324277930209e-09	0.343024276612342
BRCA	ZNF121|7675	1	mod3	0.588874265084684	5.93258559527737e-10	8.73276599624829e-09	0.339290392837957
BRCA	ZNF430|80264	1	mod3	0.764258098809367	7.43316886394746e-10	1.05207928535872e-08	0.336141416966057
BRCA	ZNF224|7767	1	mod3	0.827232442870201	8.13003135620307e-10	1.05892694216524e-08	0.334886057643915
BRCA	ZNF431|170959	1	mod3	0.742685399355079	8.17136047230037e-10	1.05892694216524e-08	0.33481495748964
BRCA	ZNF12|7559	1	mod3	0.910840375831145	8.42106477007146e-10	1.05892694216524e-08	0.334392737335657
BRCA	ZNF91|7644	1	mod3	0.600225273890391	8.63255659373841e-10	1.05892694216524e-08	0.334044619525788
BRCA	ZNF37A|7587	1	mod3	0.861908785095511	9.22679913811381e-10	1.06504075309503e-08	0.333109473063508
BRCA	ZNF529|57711	1	mod3	0.889082690798393	9.26122393995675e-10	1.06504075309503e-08	0.333057124347066
BRCA	ZNF84|7637	1	mod3	0.902273433493359	1.17286058211726e-09	1.26944910064457e-08	0.329729003027029
BRCA	ZNF134|7693	1	mod7	0.808383639811678	2.63927168915796e-08	1.6461897993392e-07	0.329237418267129
BRCA	ZNF737|100129842	1	mod3	0.462336452722634	1.78331078925683e-09	1.87502391556147e-08	0.323786207194523
BRCA	ZNF621|285268	1	mod3	0.879318014175864	2.39160140275972e-09	2.44474810059882e-08	0.31959437642549
BRCA	ZNF708|7562	1	mod3	0.659310547782045	2.56398652922385e-09	2.55012714257939e-08	0.318596738655396
BRCA	ZNF300|91975	1	mod3	0.62127961014079	3.11650460258708e-09	3.01808866776854e-08	0.315792199901729
BRCA	ZNF28|7576	1	mod3	0.797037400756604	3.28472794146756e-09	3.09943559605144e-08	0.315034832496916
BRCA	ZNF432|9668	1	mod3	0.741942185398273	3.91315898754052e-09	3.51229879857295e-08	0.31250719116271
BRCA	ZNF254|9534	1	mod3	0.679449115321888	4.11054286144507e-09	3.60161850717092e-08	0.311795098687979
BRCA	ZNF135|7694	1	mod7	0.781111219778643	7.79959079402748e-08	3.82699921626949e-07	0.310813339610788
BRCA	ZNF345|25850	1	mod3	0.895462683755086	4.7231303064571e-09	4.0421208204098e-08	0.30978119933766
BRCA	ZNF717|100131827	1	mod3	0.792190981413373	4.92768160967036e-09	4.12133370990612e-08	0.309165471919481
BRCA	ZNF619|285267	1	mod7	0.796157232191717	8.83962294922422e-08	4.17048877604425e-07	0.308655142715049
BRCA	ZNF761|388561	1	mod3	0.948746614174832	5.13201590805467e-09	4.19684856480915e-08	0.308574925134214
BRCA	ZNF506|440515	1	mod3	1.15604044906725	5.92894976559708e-09	4.74315981247766e-08	0.306473049284358
BRCA	ZNF445|353274	1	mod7	0.835898261896285	1.01719265301375e-07	4.56496215011049e-07	0.306227229486229
BRCA	ZNF525|170958	1	mod3	0.532837130566372	7.08780931024795e-09	5.54960388547073e-08	0.303865245699785
BRCA	ZNF41|7592	1	mod7	1.00489166367749	1.17730200640474e-07	5.09702515714051e-07	0.303690838783578
BRCA	ZNF585B|92285	1	mod3	0.8014036473726	8.14336876995076e-09	6.24324939029558e-08	0.301831077810029
BRCA	ZNF845|91664	1	mod3	0.871127141138266	8.46183738574723e-09	6.35501256725507e-08	0.301268002320562
BRCA	ZNF486|90649	1	mod3	0.481903988798674	9.02252331893125e-09	6.51036976738569e-08	0.300325367254167
BRCA	ZNF765|91661	1	mod3	1.09442627372914	9.23611518053561e-09	6.5363276662252e-08	0.29998130968585
BRCA	ZNF573|126231	1	mod7	0.598105919502994	1.49394553234388e-07	6.2474085898017e-07	0.299539636798894
BRCA	ZNF234|10780	1	mod3	1.00092017215733	9.79370253787283e-09	6.80015572440981e-08	0.299118640479438
BRCA	ZNF660|285349	1	mod3	0.966750794204504	1.11004740349459e-08	7.56476749048165e-08	0.297272095182648
BRCA	ZNF772|400720	1	mod7	0.571207484674917	2.31946848840406e-07	9.08047238013504e-07	0.291813409846247
BRCA	ZKSCAN1|7586	1	mod3	0.423736311039798	1.65371204254005e-08	1.10648369391771e-07	0.291365241825274
BRCA	ZNF713|349075	1	mod7	0.518192893988106	2.40306801386052e-07	9.30872662211231e-07	0.291188178002593
BRCA	ZNF625|90589	1	mod3	0.780899219987925	1.76330964211708e-08	1.15874633624837e-07	0.290410084400445
BRCA	ZNF562|54811	1	mod3	0.555055581881044	2.2924671272413e-08	1.48004895232421e-07	0.286491435081448
BRCA	ZNF681|148213	1	mod3	0.469364108531763	2.34967235744946e-08	1.49082659920931e-07	0.286122385845375
BRCA	ZNF700|90592	1	mod3	0.788754931119708	2.68428479252576e-08	1.6463613394158e-07	0.284125845833323
BRCA	ZNF439|90594	1	mod3	0.455718499158115	2.81175668036156e-08	1.69627288257878e-07	0.283428903556462
BRCA	ZNF182|7569	1	mod3	1.06620973922333	3.04813132634733e-08	1.80158793446493e-07	0.282214865585164
BRCA	ZFP90|146198	1	mod3	1.09455481969487	3.09301795788622e-08	1.80158793446493e-07	0.281994797211234
BRCA	ZNF214|7761	1	mod3	0.668900455363023	3.1331964077651e-08	1.80158793446493e-07	0.281800452639259
BRCA	ZNF606|80095	1	mod7	0.592189845949362	4.35393134235237e-07	1.61843104442997e-06	0.280618633060507
BRCA	ZNF813|126017	1	mod3	0.645490264148203	3.58779467288426e-08	2.03124375326371e-07	0.279757427987976
BRCA	ZNF304|57343	1	mod7	0.818768102375574	5.11999570522777e-07	1.86550338566715e-06	0.277711747573798
BRCA	ZNF283|284349	1	mod3	1.0262567137149	4.15744646064437e-08	2.31809135987443e-07	0.277529240498076
BRCA	ZNF484|83744	1	mod3	1.05498148400197	4.57914982867642e-08	2.51511512978048e-07	0.276065015192441
BRCA	ZFP14|57677	1	mod3	0.65700464508907	4.81422941022044e-08	2.60534768082518e-07	0.275305218240989
BRCA	ZNF354B|117608	1	mod3	0.704088688262985	5.39433122239884e-08	2.87697665194605e-07	0.27357579848161
BRCA	ZNF675|171392	1	mod3	0.55507936387758	6.20156096848385e-08	3.23112368403216e-07	0.271450909820865
BRCA	ZNF257|113835	1	mod3	0.555559724620782	6.23396145560553e-08	3.23112368403216e-07	0.271371398998551
BRCA	ZNF382|84911	1	mod3	1.03614367403954	7.17801090697501e-08	3.66876113023167e-07	0.269216821723263
BRCA	ZNF107|51427	1	mod3	0.354644397413548	7.563882552045e-08	3.81302572486652e-07	0.268415278478957
BRCA	ZNF441|126068	1	mod3	0.612828644412395	7.68106114183924e-08	3.81977094621195e-07	0.268179801728307
BRCA	ZNF836|162962	1	mod3	0.793648123760148	8.19905044938874e-08	3.97006653338823e-07	0.267179409740407
BRCA	ZNF347|84671	1	mod3	0.728065937369008	8.72830574789094e-08	4.17048877604425e-07	0.266219363678716
BRCA	ZNF791|163049	1	mod3	0.709460117087486	9.41521485882105e-08	4.3858216051217e-07	0.26505516293306
BRCA	ZNF667|63934	1	mod3	0.459209037993703	9.59835016020593e-08	4.41524107369473e-07	0.264758847401185
BRCA	ZNF551|90233	1	mod3	0.524461722358788	1.00738370809198e-07	4.56496215011049e-07	0.264014663452684
BRCA	ZSCAN29|146050	1	mod3	1.0872715896084	1.03018986354039e-07	4.5675887925646e-07	0.263669871879903
BRCA	ZNF320|162967	1	mod3	0.707178648334417	1.0988922420011e-07	4.81419458400482e-07	0.262674727579555
BRCA	ZNF549|256051	1	mod3	0.832056310814377	1.24081947943418e-07	5.29813767153083e-07	0.260799067929471
BRCA	ZNF10|7556	1	mod3	0.561210977947353	1.25254885169343e-07	5.29813767153083e-07	0.260653607970751
BRCA	ZNF44|51710	1	mod3	0.845442378966313	1.51590600156674e-07	6.26801582670292e-07	0.257697692831263
BRCA	ZNF530|348327	1	mod3	1.15074956012585	1.64259310481295e-07	6.71638069523518e-07	0.256451291560464
BRCA	ZNF225|7768	1	mod3	0.856626567600531	1.72638561635855e-07	6.98142754747195e-07	0.255677723939331
BRCA	ZNF714|148206	1	mod3	0.452935816897235	2.25213596826596e-07	9.00854387306383e-07	0.251532122527607
BRCA	ZNF557|79230	1	mod3	0.723339135584328	2.29925306234587e-07	9.08047238013504e-07	0.251208385855733
BRCA	ZNF699|374879	1	mod3	0.609127594261542	2.78675384013017e-07	1.06825563871657e-06	0.248195827921861
BRCA	ZNF85|7639	1	mod3	0.711578623796025	2.94107373771837e-07	1.11578879946429e-06	0.247349516009318
BRCA	ZNF286A|57335	1	mod3	0.544009097728025	3.47245210894758e-07	1.3039412000946e-06	0.244736264964728
BRCA	ZNF311|282890	1	mod3	0.584911397466618	5.10578886226046e-07	1.86550338566715e-06	0.238639557166783
BRCA	ZNF221|7638	1	mod3	0.642220638124143	5.18964803427728e-07	1.87234360452357e-06	0.23838097352893
BRCA	ZNF567|163081	1	mod3	0.830595609607726	5.49185479220576e-07	1.96213841119584e-06	0.237481966868107
BRCA	ZNF154|7710	1	mod3	0.379848649006252	5.68361912238032e-07	2.01112676638073e-06	0.236936359139808
BRCA	ZNF846|162993	1	mod3	0.835274359678272	5.84323022423161e-07	2.03401682590821e-06	0.23649584267643
BRCA	ZNF782|158431	1	mod3	0.61620145479674	5.85885281375734e-07	2.03401682590821e-06	0.236453361909513
BRCA	ZNF75D|7626	1	mod3	1.08578357860281	5.9817558607705e-07	2.057276782022e-06	0.236122992910903
BRCA	ZNF721|170960	1	mod3	0.723126167887751	6.0928159304824e-07	2.07607061334956e-06	0.235830140644817
BRCA	ZNF99|7652	1	mod3	1.03211345788793	6.22306898938448e-07	2.08503596440457e-06	0.23549328394274
BRCA	ZIK1|284307	1	mod3	0.609251252855865	6.23244445881801e-07	2.08503596440457e-06	0.235469305122078
BRCA	ZNF626|199777	1	mod3	0.510454152009679	6.54792597606439e-07	2.17084392719972e-06	0.234682410954424
BRCA	ZNF233|353355	1	mod7	0.475556593607213	5.75064633388119e-06	1.54469916121772e-05	0.233077046204316
BRCA	ZNF197|10168	1	mod3	1.03133067332502	8.81223145904733e-07	2.89544747940127e-06	0.229934752508063
BRCA	ZNF223|7766	1	mod3	0.669131782623356	9.56988323429738e-07	3.11656374355879e-06	0.228611705053609
BRCA	ZNF674|641339	1	mod3	0.892606715899217	9.84325657371562e-07	3.17747229748013e-06	0.228159456107941
BRCA	ZNF540|163255	1	mod3	0.516239961697184	1.05313680209855e-06	3.37003776671535e-06	0.227073537495777
BRCA	ZNF177|7730	1	mod3	0.635710661896669	1.15293415353112e-06	3.65758421120218e-06	0.225616481296904
BRCA	ZNF418|147686	1	mod3	0.486723903415937	1.19005664895071e-06	3.74308416080222e-06	0.225105906287135
BRCA	ZNF461|92283	1	mod3	0.817829902225899	1.28381639615525e-06	4.00376638800959e-06	0.223882918487732
BRCA	ZNF844|284391	1	mod3	0.483401131005259	1.40421257141229e-06	4.34243887630018e-06	0.222435189907768
BRCA	ZNF727|442319	1	mod3	0.463038365394159	1.53721479275624e-06	4.71412536445248e-06	0.220971285573568
BRCA	ZNF169|169841	1	mod3	0.706051851863357	1.61722256147279e-06	4.91849506299162e-06	0.220149487561584
BRCA	ZNF426|79088	1	mod3	0.674427644954917	1.70311322623536e-06	5.13725956766075e-06	0.219310572445205
BRCA	ZNF440|126070	1	mod3	0.656795332453134	1.90123058407508e-06	5.6423617333841e-06	0.21752402514783
BRCA	ZNF793|390927	1	mod3	0.400889678683205	1.91927538675739e-06	5.65034673861375e-06	0.217370501946191
BRCA	ZNF354C|30832	1	mod3	0.406195224566346	2.13686323853589e-06	6.24099739508896e-06	0.215623366056264
BRCA	ZNF93|81931	1	mod7	0.386279775529589	1.51940506096233e-05	3.56140804098176e-05	0.214490040244056
BRCA	RBAK|57786	1	mod3	0.694272559223055	2.3584426366062e-06	6.83391252181954e-06	0.214015320013475
BRCA	ZNF682|91120	1	mod3	0.556703094932321	2.56313336490722e-06	7.36900842410826e-06	0.212656647583164
BRCA	ZNF680|340252	1	mod7	0.48784623153886	1.68114044043805e-05	3.91556760810887e-05	0.212533573688786
BRCA	ZNF677|342926	1	mod3	0.72433882435598	2.94701511099053e-06	8.34231969880396e-06	0.210373912183786
BRCA	ZNF585A|199704	1	mod3	0.691919556747815	2.99141638940284e-06	8.40336817786446e-06	0.210128986169003
BRCA	ZNF665|79788	1	mod3	0.59427305925051	3.05415593086036e-06	8.51461653451979e-06	0.209788924442833
BRCA	ZNF229|7772	1	mod3	0.460804842404079	3.28440552436847e-06	9.08767844336539e-06	0.20859715913482
BRCA	ZNF876P|642280	1	mod3	0.802894557759477	3.36470339697704e-06	9.2403794782653e-06	0.208200772829946
BRCA	ZNF528|84436	1	mod3	0.592312127162971	3.59720570817125e-06	9.80571630079274e-06	0.207103384993089
BRCA	ZNF596|169270	1	mod3	0.765328907718562	4.19715992134086e-06	1.13570209636282e-05	0.204565175627501
BRCA	ZNF253|56242	1	mod7	0.528100290033312	3.01129039331997e-05	6.51855802789265e-05	0.201182018762288
BRCA	ZNF670|93474	1	mod3	0.798687227883965	5.97784549821362e-06	1.59409213285697e-05	0.198720353568023
BRCA	ZFP30|22835	1	mod3	0.54332962240165	6.17047693879639e-06	1.63362267156624e-05	0.19819445877768
BRCA	ZFP37|7539	1	mod3	0.649021968676361	6.45309545882421e-06	1.69624223489093e-05	0.197451398217299
BRCA	ZNF226|7769	1	mod3	0.764189985816098	6.63847694326997e-06	1.72105121829872e-05	0.196981173282641
BRCA	ZNF333|84449	1	mod3	0.873121590401756	6.64101285321787e-06	1.72105121829872e-05	0.196974830790304
BRCA	ZNF605|100289635	1	mod3	0.648340559349169	7.41814998044406e-06	1.90726638983382e-05	0.195135347938459
BRCA	ZNF732|654254	1	mod3	0.661482395999181	7.46321630804538e-06	1.90726638983382e-05	0.195034573029617
BRCA	ZNF480|147657	1	mod3	0.766956114694624	7.57211671555134e-06	1.90920692765732e-05	0.194793504340264
BRCA	ZNF519|162655	1	mod3	0.617525539435451	7.57457096298826e-06	1.90920692765732e-05	0.194788110829912
BRCA	ZNF471|57573	1	mod3	0.574635808196332	8.34855782684641e-06	2.08997910223094e-05	0.193167516526728
BRCA	ZNF514|84874	1	mod3	0.576472654766234	8.73900046895211e-06	2.15835716280159e-05	0.192405262528878
BRCA	ZNF286B|729288	1	mod3	0.578545389118372	9.18744826336386e-06	2.2539873072786e-05	0.191570039594662
BRCA	ZNF235|9310	1	mod3	0.787746720857328	9.26685281981106e-06	2.25841181304005e-05	0.191426339508235
BRCA	ZNF808|388558	1	mod3	0.695347368768703	1.02729787363066e-05	2.48714222036896e-05	0.189703575655753
BRCA	ZNF568|374900	1	mod3	0.760835838273645	1.12481711235442e-05	2.70544246631652e-05	0.188185372372338
BRCA	ZNF175|7728	1	mod3	0.652221014941524	1.24601620840882e-05	2.97749327723666e-05	0.186469534215179
BRCA	ZNF860|344787	1	mod3	0.378961752542636	1.50246733041736e-05	3.56140804098176e-05	0.183323912080686
BRCA	ZNF420|147923	1	mod3	0.674788551394073	1.51025359789157e-05	3.56140804098176e-05	0.18323689942819
BRCA	ZNF468|90333	1	mod3	0.58618978038326	1.8576990316453e-05	4.27270777278419e-05	0.179745287419267
BRCA	ZNF570|148268	1	mod3	0.675294389166325	1.90467174087849e-05	4.35353540772227e-05	0.179323419732268
BRCA	ZNF180|7733	1	mod3	0.672080652975141	2.04941510826949e-05	4.65546148051342e-05	0.17808502781797
BRCA	ZNF550|162972	1	mod3	0.442690759338589	2.09127149805499e-05	4.69588396598792e-05	0.177742937912819
BRCA	ZNF208|7757	1	mod3	0.299263203128391	2.09273089788592e-05	4.69588396598792e-05	0.177731132234797
BRCA	ZNF248|57209	1	mod3	0.696747797246447	2.13798665784584e-05	4.76835812174103e-05	0.177369004779923
BRCA	ZNF227|7770	1	mod3	0.807179168477561	2.5186707040039e-05	5.5835591510448e-05	0.174591306960904
BRCA	ZNF80|7634	1	mod3	0.517312562632846	2.55384464585236e-05	5.62763371062076e-05	0.174355889074336
BRCA	ZNF334|55713	1	mod3	0.285623186896349	2.75881524694179e-05	6.04311911234867e-05	0.173044470792317
BRCA	ZNF23|7571	1	mod3	1.029726273405	2.80476038754483e-05	6.10740723441714e-05	0.172763694147469
BRCA	ZNF92|168374	1	mod3	0.257696641387742	3.10097698835192e-05	6.67344755388015e-05	0.171055401414867
CHOLLIHC	ZNF84|7637	1	mod3	1.0005696795757	2.39440152528578e-07	8.81139761305166e-05	0.381602089355217
ESCASTAD	ZNF674|641339	1	mod2	2.44023744859764	8.08011550108467e-09	2.97348250439916e-06	0.559735302243891
KICHKIRCKIRP	ZNF814|730051	1	mod3	0.534915324859893	1.02578046781983e-15	3.77487212157699e-13	0.411264715308554
KICHKIRCKIRP	ZNF418|147686	1	mod3	0.523925567030744	1.88129916724428e-14	3.46159046772947e-12	0.382855904994739
KICHKIRCKIRP	ZNF382|84911	1	mod3	0.793558068128484	6.80482071836137e-12	8.31571409810795e-10	0.321220233970751
KICHKIRCKIRP	ZNF841|284371	1	mod3	0.65442253972336	9.03881967185647e-12	8.31571409810795e-10	0.318105712089063
KICHKIRCKIRP	ZNF233|353355	1	mod3	0.42291894824495	1.46363687953956e-11	1.07723674334112e-09	0.312787000774676
KICHKIRCKIRP	ZNF154|7710	1	mod3	0.375094751286307	5.92473189684979e-11	3.6338355634012e-09	0.297134559881784
KICHKIRCKIRP	ZNF417|147687	1	mod3	0.624692252090858	8.3337379184159e-11	4.38116507711008e-09	0.293264522782388
KICHKIRCKIRP	ZNF721|170960	1	mod3	0.847840850746291	1.43919166061774e-10	6.62028163884159e-09	0.287025410449961
KICHKIRCKIRP	ZNF432|9668	1	mod3	0.5726480579437	1.32499825043824e-09	5.41777062401413e-08	0.261142791950784
KICHKIRCKIRP	ZNF354B|117608	1	mod7	0.550049727415494	1.51682838776484e-08	3.79605972357826e-07	0.253597818476504
KICHKIRCKIRP	ZNF471|57573	1	mod3	0.568090424533054	2.84928059303531e-09	1.04853525823699e-07	0.252016185422638
KICHKIRCKIRP	ZNF546|339327	1	mod3	0.548727052224851	4.35672769523546e-09	1.45752344713332e-07	0.246909919449266
KICHKIRCKIRP	ZNF493|284443	1	mod7	0.570419610435506	3.58562583231046e-08	6.94479108573815e-07	0.24212928046514
KICHKIRCKIRP	ZNF790|388536	1	mod3	0.519205790541117	1.01908692300635e-08	3.12519989721947e-07	0.236596549297859
KICHKIRCKIRP	ZNF789|285989	1	mod7	0.6724527659779	6.37974319542619e-08	1.17387274795842e-06	0.234359895319445
KICHKIRCKIRP	ZNF83|55769	1	mod7	0.520797629683946	7.47923450833893e-08	1.31064680908035e-06	0.23220343844932
KICHKIRCKIRP	ZNF671|79891	1	mod3	0.319307811981066	1.53525029007337e-08	3.79605972357826e-07	0.231577658390422
KICHKIRCKIRP	ZNF234|10780	1	mod3	0.669700029796897	1.54730695254549e-08	3.79605972357826e-07	0.231481563344125
KICHKIRCKIRP	ZNF235|9310	1	mod3	0.712297249018699	1.99728356131962e-08	4.59375219103512e-07	0.228339791054845
KICHKIRCKIRP	ZNF577|84765	1	mod7	0.482073294479393	1.2745532192721e-07	2.03928515083536e-06	0.224934665704665
