rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod7	-0.98397571013144	5.47287407532947e-12	1.06000929459013e-10	0.458177150714585
BRCA	ZNF32|7580	1	mod7	-1.11673078966778	1.00111087700595e-08	4.88897543844839e-08	0.345330755991194
BRCA	ZNF205|7755	1	mod3	-0.493280733909332	9.18503301925273e-07	2.25339476739e-06	0.229270355612581
BRCA	ZNF768|79724	1	mod3	-0.595989246747819	3.47266649163351e-06	7.7923248104947e-06	0.207682224363283
BRCA	ZNF71|58491	1	mod3	-0.905712540612809	4.2238735981185e-06	9.19754724324029e-06	0.204460631081338
BRCA	ZNF747|65988	1	mod3	-1.04612759400955	5.30146670319344e-06	1.11945630505962e-05	0.200708827903741
BRCA	ZNF746|155061	1	mod3	-1.06400037812349	1.04563848875287e-05	2.07997277762734e-05	0.189407512399782
ESCASTAD	ZNF215|7762	1	mod2	-0.896310038804284	3.02401236711373e-07	2.78209137774463e-05	0.476533620521621
LUADLUSC	ZNF511|118472	1	mod7	-0.530004313069329	7.08408425047241e-07	5.01335193110355e-06	0.249924901920659
LUADLUSC	ZNF32|7580	1	mod7	-0.409882887331747	5.44785807214066e-06	3.08432580084271e-05	0.214753009848955
