rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF655|79027	1	mod7	1.42415719770132	1.39155725340037e-16	4.45482055164641e-14	0.58566807877333
BRCA	ZNF417|147687	1	mod7	0.803411685477518	2.42109812589479e-16	4.45482055164641e-14	0.579794686163325
BRCA	ZNF780B|163131	1	mod7	0.816071048959919	4.25205125720196e-16	5.21584954216774e-14	0.573737689613199
BRCA	ZNF141|7700	1	mod7	0.830049161933349	4.02051431945311e-15	3.38676523453385e-13	0.548708997696263
BRCA	ZNF841|284371	1	mod7	0.944128032975298	4.60158319909491e-15	3.38676523453385e-13	0.54715993849574
BRCA	ZNF493|284443	1	mod7	0.708915921262998	6.50701160387629e-14	3.99096711704413e-12	0.515683735903073
BRCA	ZNF662|389114	1	mod7	0.755415332486601	8.18852153645554e-14	4.15091826342178e-12	0.512853696564356
BRCA	ZNF432|9668	1	mod7	0.902127873341526	9.02373535526474e-14	4.15091826342178e-12	0.511653000309915
BRCA	ZNF431|170959	1	mod7	0.876626482655171	2.1920544290103e-13	8.06676029875791e-12	0.500545711887372
BRCA	ZNF529|57711	1	mod7	1.04554249032597	3.36897632973727e-13	1.12707571758483e-11	0.495079141194029
BRCA	ZNF83|55769	1	mod7	0.863566133377261	4.39567706714074e-13	1.34800763392316e-11	0.491666315654801
BRCA	ZNF483|158399	1	mod7	0.558050017197856	9.0061742142063e-13	2.54944008525225e-11	0.482351345937208
BRCA	ZNF701|55762	1	mod7	1.1661345363819	1.24948106559562e-12	3.28435022956563e-11	0.478044503683704
BRCA	ZNF587|84914	1	mod7	0.492870111411034	4.1765735372304e-12	9.04105330412228e-11	0.461867067890685
BRCA	ZNF224|7767	1	mod7	0.938258476771371	4.94401460316977e-12	1.01077631887026e-10	0.459567274924738
BRCA	ZNF121|7675	1	mod7	0.634272207559013	7.06953863138984e-12	1.30079510817573e-10	0.45466011298409
BRCA	ZNF708|7562	1	mod7	0.775678092010139	7.46637727712179e-12	1.30839373237182e-10	0.453906908284501
BRCA	ZNF37A|7587	1	mod3	1.05852727786776	1.15526596997629e-13	4.72375418834748e-12	0.448618122917593
BRCA	ZNF33A|7581	1	mod7	0.792737586577316	1.15434033083695e-11	1.93089655339998e-10	0.447861806672676
BRCA	ZNF776|284309	1	mod7	0.710836440209651	1.6284563674188e-11	2.56089723248417e-10	0.443041872046
BRCA	ZNF91|7644	1	mod7	0.620431039643974	1.67015036901142e-11	2.56089723248417e-10	0.442686153462683
BRCA	ZNF829|374899	1	mod7	0.807605038456849	2.52249637382406e-11	3.71311466226902e-10	0.436853285554788
BRCA	ZNF81|347344	1	mod7	0.566710728888928	2.77097413888171e-11	3.92199416580181e-10	0.435516051071439
BRCA	ZNF585B|92285	1	mod7	0.910407338302895	3.29830765460674e-11	4.41262766494928e-10	0.433028311056512
BRCA	ZNF273|10793	1	mod7	0.64298507081346	3.35743409289619e-11	4.41262766494928e-10	0.432773995854475
BRCA	ZNF354B|117608	1	mod7	0.950065186975093	3.62881186452925e-11	4.48358049095032e-10	0.431660138364476
BRCA	ZNF720|124411	1	mod7	1.52875738138372	5.61088590987513e-11	6.57264715878731e-10	0.425375843427202
BRCA	ZNF10|7556	1	mod7	0.639424541635336	5.71534535546723e-11	6.57264715878731e-10	0.425108378440914
BRCA	ZNF84|7637	1	mod7	0.91478766151988	7.1242159093433e-11	7.94458016557071e-10	0.421904135025063
BRCA	ZNF717|100131827	1	mod7	0.853650101637642	9.42263116385937e-11	1.01986125538243e-09	0.417813244742253
BRCA	ZNF12|7559	1	mod7	0.923413421645645	9.85143199036043e-11	1.03580770641504e-09	0.417159590710859
BRCA	ZNF445|353274	1	mod7	0.968240868071121	1.1600020484299e-10	1.17704767244481e-09	0.414753656213184
BRCA	ZNF264|9422	1	mod3	1.30692222809059	1.96060177767316e-12	4.81000969455814e-11	0.414475478006227
BRCA	ZNF573|126231	1	mod7	0.700242064535351	1.18344467066462e-10	1.17704767244481e-09	0.414458386910686
BRCA	ZNF678|339500	1	mod7	0.698782941653315	1.22925504633797e-10	1.1904364659273e-09	0.413897506299114
BRCA	ZNF169|169841	1	mod7	0.857537781575756	1.46937776672105e-10	1.38648979013678e-09	0.411255492181097
BRCA	ZNF737|100129842	1	mod7	0.472891897499788	1.53654673213787e-10	1.41362299356684e-09	0.41059185520207
BRCA	ZNF660|285349	1	mod3	1.2001302797056	3.02639840213113e-12	6.96071632490161e-11	0.409062993747379
BRCA	ZNF549|256051	1	mod7	0.931041788960897	1.98825202640086e-10	1.78457742857443e-09	0.406751498890679
BRCA	ZNF611|81856	1	mod7	1.00399439172475	2.03896826695926e-10	1.7865245767643e-09	0.406374877797696
BRCA	ZNF844|284391	1	mod7	0.625251443552227	2.21775447096896e-10	1.89798522166646e-09	0.405116453287252
BRCA	ZKSCAN1|7586	1	mod7	0.444257612338954	4.27326022159951e-10	3.49457724788582e-09	0.395208402352378
BRCA	ZNF136|7695	1	mod7	0.871994333529928	7.28859097012366e-10	5.83087277609893e-09	0.387026301360983
BRCA	ZNF430|80264	1	mod7	0.752136667537409	9.01333301738514e-10	7.02924462642476e-09	0.383742263399711
BRCA	ZFP14|57677	1	mod7	0.727882046053801	1.17557918999161e-09	8.82883963095742e-09	0.379611350702731
BRCA	ZNF234|10780	1	mod7	1.05713312670547	1.21190827873862e-09	8.91964493151624e-09	0.379136382051615
BRCA	ZNF347|84671	1	mod3	0.91696037958593	3.65509279153559e-11	4.48358049095032e-10	0.377057595453319
BRCA	ZNF791|163049	1	mod7	0.803010022861706	1.64959089162735e-09	1.19029303552719e-08	0.374305084117537
