rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF141|7700	1	mod3	0.847039069581143	4.87769101680154e-18	1.79499029418297e-15	0.555028802942548
BRCA	ZNF780B|163131	1	mod7	0.696242802102546	7.5998382843238e-15	5.59348097726232e-13	0.541356574057963
BRCA	ZNF841|284371	1	mod3	0.867126085562272	2.48914794569606e-17	4.58003222008076e-15	0.539292968390121
BRCA	ZNF33A|7581	1	mod7	0.747179689795499	6.47164110898533e-14	2.64618214234067e-12	0.515750649914476
BRCA	ZNF493|284443	1	mod7	0.618462084522763	1.13795346130993e-13	3.80697157965504e-12	0.508773724527967
BRCA	ZNF655|79027	1	mod3	1.24699471044744	6.69383929239313e-16	8.21110953200224e-14	0.505823843038539
BRCA	ZNF720|124411	1	mod3	1.51677091554587	3.40089472208014e-15	3.12882314431373e-13	0.488428918326889
BRCA	ZNF701|55762	1	mod7	1.03095956568673	7.73003567769211e-13	1.77790820586919e-11	0.484349459276899
BRCA	ZNF273|10793	1	mod7	0.593343221031496	1.28028798579476e-12	2.35909556674987e-11	0.477722711513064
BRCA	ZNF84|7637	1	mod7	0.853647759020203	1.43097744543661e-12	2.50761761866986e-11	0.476250159998734
BRCA	ZNF417|147687	1	mod3	0.718062574026246	1.80108652798149e-14	1.10466640382865e-12	0.469967879019748
BRCA	ZNF529|57711	1	mod7	0.893101818774046	2.60132195917879e-12	4.3513021862627e-11	0.468271517392747
BRCA	ZNF708|7562	1	mod3	0.749315192163568	2.29707758996067e-14	1.11572313275569e-12	0.467220112688487
BRCA	ZNF83|55769	1	mod3	0.752743037310727	2.42548507120802e-14	1.11572313275569e-12	0.466603771673992
BRCA	ZNF432|9668	1	mod7	0.749500936866249	5.62024827717036e-12	8.99239724347257e-11	0.45781310711464
BRCA	ZNF345|25850	1	mod3	1.01588487969985	8.16436560207723e-14	3.00448654156442e-12	0.452668464977727
BRCA	ZNF662|389114	1	mod7	0.620332082737583	1.11811414416741e-11	1.64586402021443e-10	0.448306386090552
BRCA	ZNF829|374899	1	mod3	0.803455042742805	1.56105553961775e-13	4.7872369881611e-12	0.445082132404482
BRCA	ZNF37A|7587	1	mod3	0.932799066164113	1.86732768974299e-13	5.28597376788786e-12	0.442967383797282
BRCA	ZNF91|7644	1	mod7	0.543643566920152	1.93681912252787e-11	2.74134398880868e-10	0.440597421003601
BRCA	ZNF43|7594	1	mod3	0.700149507146755	3.01672141204766e-13	7.92966771166813e-12	0.437266536089796
BRCA	ZNF483|158399	1	mod7	0.463024689753339	3.94590260515601e-11	5.3781191062867e-10	0.430457304675185
BRCA	ZNF525|170958	1	mod7	0.529124372827151	5.90313179741244e-11	7.49087069464751e-10	0.424639334986858
BRCA	ZNF506|440515	1	mod3	1.27664461123113	8.79581527230791e-13	1.85353274024344e-11	0.424343386421838
BRCA	ZNF611|81856	1	mod3	0.974670889929798	9.06619275119074e-13	1.85353274024344e-11	0.423973600828102
BRCA	ZNF776|284309	1	mod7	0.609747942986052	6.80057684862213e-11	8.34204093430981e-10	0.422581650283362
BRCA	ZNF75D|7626	1	mod3	1.35859730445881	1.28211715584232e-12	2.35909556674987e-11	0.419724590489803
BRCA	ZNF10|7556	1	mod7	0.555821972924734	1.03829375268033e-10	1.19403781558238e-09	0.416386869593661
BRCA	RBAK|57786	1	mod7	0.785589111638577	1.50451357167068e-10	1.60307651475399e-09	0.410904738669998
BRCA	ZNF439|90594	1	mod7	0.440575915648204	1.52466516348884e-10	1.60307651475399e-09	0.410707159168492
BRCA	ZNF700|90592	1	mod7	0.781766267312267	1.8684547679672e-10	1.90997598503314e-09	0.407679721012821
BRCA	ZNF260|339324	1	mod7	0.692632305739327	2.32363945775074e-10	2.3110792444656e-09	0.404417059095935
BRCA	ZNF765|91661	1	mod3	1.18638967277473	6.09737261245163e-12	9.34930467242583e-11	0.400227629592075
BRCA	ZNF283|284349	1	mod7	0.973293213936971	3.28487553052302e-10	3.09957485957044e-09	0.399200948198848
BRCA	ZNF224|7767	1	mod7	0.763884006070834	4.36683734061867e-10	4.01308498620616e-09	0.394878489150639
BRCA	ZNF667|63934	1	mod7	0.437815245721412	4.47110012050143e-10	4.01308498620616e-09	0.394518933094237
BRCA	ZFP14|57677	1	mod7	0.649442503191977	5.36148836746397e-10	4.69768504577796e-09	0.39174470163176
BRCA	ZNF681|148213	1	mod7	0.439788769058907	5.4949642409689e-10	4.69967807109687e-09	0.391368125945001
BRCA	ZNF793|390927	1	mod7	0.424443913726135	6.04749893226775e-10	4.9455102379434e-09	0.389898737042844
BRCA	ZNF268|10795	1	mod7	0.76099363947297	6.34865732700686e-10	5.07892586160549e-09	0.389152133702742
BRCA	ZNF587|84914	1	mod7	0.397073762892733	6.58220812655903e-10	5.1537289161143e-09	0.38859656327686
BRCA	ZNF429|353088	1	mod7	0.646451108573985	7.1793445725156e-10	5.41861035273708e-09	0.387259174079901
BRCA	ZNF12|7559	1	mod7	0.780766441219187	7.49503143813072e-10	5.51634313846421e-09	0.386595401749082
BRCA	ZNF445|353274	1	mod7	0.818764191632923	8.60801847048721e-10	6.17316867762264e-09	0.384455099142654
BRCA	ZNF461|92283	1	mod7	0.883038468511372	9.22106877510094e-10	6.40255341365499e-09	0.383388953165859
BRCA	ZNF721|170960	1	mod7	0.755699924674223	1.27281038306784e-09	8.51625856307213e-09	0.378370481108167
BRCA	ZNF107|51427	1	mod7	0.324617049765896	1.29824592493508e-09	8.53133036385911e-09	0.37806114456051
BRCA	ZNF121|7675	1	mod7	0.505335378317328	1.67016632329634e-09	1.05969173616044e-08	0.374110105813165
BRCA	ZNF441|126068	1	mod3	0.678355807752328	4.94124695690333e-11	6.4942102862158e-10	0.373073346673652
BRCA	ZNF223|7766	1	mod7	0.679479549399478	1.79914317981347e-09	1.10347448361893e-08	0.37293883704667
BRCA	ZNF717|100131827	1	mod7	0.70592628881293	2.11586891532895e-09	1.27645862432959e-08	0.370378408570507
BRCA	ZNF549|256051	1	mod7	0.779204771001465	2.26266274096191e-09	1.34299982044191e-08	0.369316371131337
BRCA	ZNF621|285268	1	mod3	0.88429498896346	7.81310190097176e-11	9.27490806308906e-10	0.366971799668704
BRCA	ZNF430|80264	1	mod7	0.645936185469564	2.63716995570552e-09	1.51637272453067e-08	0.366884934729643
