rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF224|7767	1	mod3	0.974239938316687	4.39770073814824e-11	1.61835387163855e-08	0.374616241044408
BRCA	ZNF273|10793	1	mod7	0.672160397961749	1.69734151319607e-09	1.24924335371231e-07	0.373856149325975
BRCA	ZNF626|199777	1	mod7	0.637688268701237	2.59728484118907e-09	1.42128428232973e-07	0.36712725854958
BRCA	ZNF720|124411	1	mod3	1.53555470784348	1.81360765657987e-10	3.33703808810695e-08	0.355609692766947
BRCA	ZNF141|7700	1	mod3	0.787270185312567	5.40197706135268e-10	6.62642519525929e-08	0.340594682253936
BRCA	ZNF780B|163131	1	mod7	0.698398138400353	2.21526763639644e-08	6.23197938332594e-07	0.332171900613748
BRCA	ZNF841|284371	1	mod3	0.803105689006949	1.26904526975464e-09	1.16752164817427e-07	0.328614920077235
BRCA	ZNF737|100129842	1	mod3	0.510063499268127	2.70352988486633e-09	1.42128428232973e-07	0.317836197951338
BRCA	ZNF91|7644	1	mod3	0.635903205982129	7.83764488341762e-09	3.60531664637211e-07	0.302392312729452
BRCA	ZNF701|55762	1	mod3	1.07478308634353	1.09588016971257e-08	4.06879156864503e-07	0.297461675175991
BRCA	ZNF525|170958	1	mod3	0.586904494031552	1.10564988278398e-08	4.06879156864503e-07	0.297330685817871
BRCA	ZNF429|353088	1	mod3	0.757313154409161	1.57086259389306e-08	4.95691939107659e-07	0.292129429489009
BRCA	ZNF493|284443	1	mod3	0.65394601748947	1.61638675795976e-08	4.95691939107659e-07	0.291704764179964
BRCA	ZNF81|347344	1	mod3	0.548511261853218	2.43871712712411e-08	6.23197938332594e-07	0.285565107115693
BRCA	ZNF483|158399	1	mod3	0.52500149873693	2.54020898776873e-08	6.23197938332594e-07	0.284953763839279
BRCA	ZNF83|55769	1	mod3	0.693826964757121	3.17434483535777e-08	7.30099312132287e-07	0.28160393354364
BRCA	ZNF682|91120	1	mod3	0.711436003977491	3.50683476017184e-08	7.59126583378374e-07	0.280101971148664
BRCA	ZNF765|91661	1	mod3	1.17347916709637	3.98942907060301e-08	8.15616609989948e-07	0.278153633255685
BRCA	ZNF225|7768	1	mod3	0.993427973289331	4.21276852878141e-08	8.15946746627137e-07	0.277329057384364
BRCA	ZNF573|126231	1	mod7	0.644139990955681	5.2583098971637e-07	5.22988660042228e-06	0.277232648161195
BRCA	ZNF717|100131827	1	mod3	0.833269272520397	4.63640021839616e-08	8.53097640184893e-07	0.275876511210985
BRCA	ZNF678|339500	1	mod3	0.671358218472806	4.97841052537487e-08	8.53432386145104e-07	0.274795858806657
BRCA	ZNF700|90592	1	mod3	0.863158644874798	5.10204143891095e-08	8.53432386145104e-07	0.274423064214199
BRCA	ZNF37A|7587	1	mod3	0.862504344859342	7.26646956192958e-08	1.16263512990873e-06	0.269029401373859
BRCA	ZNF260|339324	1	mod3	0.792411143384269	8.47187097650165e-08	1.29902021639692e-06	0.26667717349495
BRCA	ZNF43|7594	1	mod3	0.644406530749576	1.06709760083777e-07	1.5707676684332e-06	0.263127446572974
BRCA	ZNF417|147687	1	mod3	0.63587012336867	1.16332435008443e-07	1.61963640471481e-06	0.261795423732933
BRCA	ZNF621|285268	1	mod3	0.88503873758212	1.21511230889236e-07	1.61963640471481e-06	0.261122648037868
BRCA	ZNF587|84914	1	mod3	0.459009474737053	1.23233204706562e-07	1.61963640471481e-06	0.260905167289966
BRCA	ZNF264|9422	1	mod3	1.0875500753634	1.37233746045571e-07	1.7414489153369e-06	0.25924019194898
BRCA	ZNF28|7576	1	mod3	0.796808324061709	1.93088960590153e-07	2.36855791657254e-06	0.253934489736143
BRCA	ZNF234|10780	1	mod3	1.0206003004551	2.3564820922759e-07	2.79737229018558e-06	0.250823816374904
BRCA	ZNF585B|92285	1	mod3	0.811572167222286	2.54024020738027e-07	2.92127623848731e-06	0.249648181973797
BRCA	ZNF354B|117608	1	mod7	0.812080171232427	2.42175380222238e-06	1.54447711880864e-05	0.249305727598822
BRCA	ZFP14|57677	1	mod3	0.694264829929727	2.8331534455224e-07	3.15939535743104e-06	0.24793662617471
BRCA	ZNF606|80095	1	mod3	0.692796186537422	3.38159515937123e-07	3.66007946661357e-06	0.245153973926769
BRCA	ZNF557|79230	1	mod7	0.803596061376665	3.24142160009867e-06	1.9554805718628e-05	0.243868669993345
BRCA	ZNF655|79027	1	mod3	1.02284227552532	4.19521057993417e-07	4.41096426690221e-06	0.241751418765276
BRCA	ZNF836|162962	1	mod3	0.837103158327124	4.76731997026803e-07	4.87326041405176e-06	0.23972744278964
BRCA	ZNF445|353274	1	mod7	0.824977706325692	4.42720598730038e-06	2.32744543332363e-05	0.23801653924506
BRCA	ZNF611|81856	1	mod3	0.862598339183651	6.0674366591125e-07	5.87583339619316e-06	0.235896598087869
BRCA	ZNF41|7592	1	mod7	0.991025377551325	5.00744809858189e-06	2.47447380444525e-05	0.235693988606554
BRCA	ZNF33A|7581	1	mod3	0.702238740017012	6.74057598238201e-07	6.25671688869793e-06	0.234219997122263
