rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod3	-1.20957006807776	2.26039599847769e-18	8.31825727439788e-16	0.562269510457635
BRCA	ZNF32|7580	1	mod7	-1.34330040510006	1.52532528839536e-10	3.54634099668133e-09	0.410700730058977
BRCA	ZNF768|79724	1	mod3	-0.903469650460542	5.56779540311376e-11	1.57611439103528e-09	0.371489003833215
BRCA	ZNF777|27153	1	mod2	-0.861078253128048	1.81677960824287e-08	1.71429460470097e-07	0.287360641900819
BRCA	ZNF282|8427	1	mod2	-0.926091641896321	2.01579519648725e-08	1.82659337110618e-07	0.285820948855204
BRCA	ZNF205|7755	1	mod7	-0.687057790905737	6.40771484440862e-07	3.57278645870057e-06	0.273670532093291
BRCA	ZNF747|65988	1	mod3	-1.33354350345806	1.939148824666e-07	1.29746684995834e-06	0.25386795414914
BRCA	ZNF584|201514	1	mod3	-1.54940269804796	4.84687200200061e-06	1.89749882631513e-05	0.202190781193191
BRCA	ZNF213|7760	1	mod2	-0.745211044559558	9.45455279253242e-06	3.44482715609102e-05	0.189255025144966
ESCASTAD	ZNF215|7762	1	mod2	-0.927197622443833	1.34787082102727e-06	8.27181339456722e-05	0.43799765852004
KICHKIRCKIRP	ZNF300|91975	1	mod7	-0.855089764047425	1.87635764370702e-10	2.17567345617883e-08	0.309708402712995
KICHKIRCKIRP	ZNF883|169834	1	mod7	-0.576824716015502	9.66716954431227e-09	5.1396433702013e-07	0.259539962647294
KICHKIRCKIRP	ZNF239|8187	1	mod7	-1.134878995331	9.77649554114378e-09	5.1396433702013e-07	0.25939214926208
KICHKIRCKIRP	ZNF44|51710	1	mod7	-0.602612643111032	1.00231314583256e-07	4.61064047082979e-06	0.228218736394714
KICHKIRCKIRP	ZNF311|282890	1	mod7	-0.763552598457333	1.17680992947322e-07	4.81184504495719e-06	0.226026528161672
KICHKIRCKIRP	ZNF273|10793	1	mod7	-0.979706983630254	3.37957626659541e-07	1.13062187827919e-05	0.211480824318479
KICHKIRCKIRP	ZNF213|7760	1	mod7	-0.865686838549077	7.62836879095755e-07	1.87149314338158e-05	0.200094539994454
KICHKIRCKIRP	ZNF28|7576	1	mod7	-0.914317114721646	1.26601684144312e-06	2.74055410382981e-05	0.19293925021043
KICHKIRCKIRP	ZNF160|90338	1	mod7	-0.832502547918341	5.48866081318819e-06	9.18103263296933e-05	0.171922572871875
KICHKIRCKIRP	ZFP90|146198	1	mod7	-1.05366399711184	5.74259634127853e-06	9.18815414604566e-05	0.171267609299714
LUADLUSC	ZNF511|118472	1	mod7	-0.609957860479983	5.79229310795929e-06	4.02181861080947e-05	0.213674596370775
